#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:07:44 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11463682 RUSSIAN R A JIMTOWN CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11463682	1	2009-06-23 10:24:00	PDT	Yes	JFW	USGS	3.63	113	0001		-5.0	GOOD	-0.01	0.80	CLER	UNSP	1		WADE	QSCMM	VPAA	113	65.0	64.5	1.76	FIRM	GRVL	EVEN	STDY	UNEV	UNSP	DNST	130
USGS	11463682	2	2009-07-14 14:13:00	PDT	Yes	DCM	USGS	3.42	82.1	0001		1.2	GOOD	0.00	0.60	CLER	UNSP	1		WADE	QSCMM	VADV	82.1	62.0	47.8	1.72	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	DNST	155
USGS	11463682	3	2009-07-30 15:17:00	PDT	Yes	JFW	USGS	3.34	66.6	0001		-4.3	GOOD	0.01	0.40	UNSP	UNSP	1		WADE	QSCMM	VPAA	66.6	60.0	47.5	1.40	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	100
USGS	11463682	4	2009-09-11 10:57:00	PDT	Yes	DCM	USGS	3.51	99.0	0001		4.0	GOOD	0.00	0.77	UNSP	UNSP	1		WADE	QSCMM	VPAA	99.0	62.0	53.4	1.85	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	200
USGS	11463682	5	2009-09-25 13:19:00	PDT	Yes	JFW	USGS	3.41	76.4	0001		-4.0	FAIR	0.00	0.73	CLER	UNSP	1		WADE	QSCMM	VPAA	76.4	62.0	50.4	1.52	FIRM	GRVL	UNEV	STDY	UNSP	UNSP	DNST	160
USGS	11463682	6	2009-10-19 11:40:30	PDT	Yes	JFW	USGS	3.85	179	0001		2.3	GOOD	0.00	1.12	UNSP	MEAS	1		WADE	QSCMM	VPAA	179	68.0	77.2	2.32	FIRM	GRVL	EVEN	PULS	UNEV	UNSP	DNST	100
USGS	11463682	7	2009-11-04 14:58:00	PST	Yes	JFW	USGS	3.76	152	0001	0.00	0.0	GOOD	0.00	1.00	MAHV	MEAS	1		WADE	QSCMM	VPAA	152	67.6	72.0	2.11	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	100
USGS	11463682	8	2009-12-16 14:58:00	PST	Yes	KLD	USGS	5.19	573	0001	0.00	0.2	GOOD	-0.02	1.00	CLER	MEAS	1		WADE	QSCMM	VPAA	573	100	200	2.79	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	250
USGS	11463682	9	2009-12-18 14:13:00	PST	Yes	KLD	USGS	4.57	382	0001	0.00	2.1	GOOD	-0.01	0.80	CLER	MEAS	1		WADE	QSCMM	VPAA	382	83.0	131	2.92	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	11463682	10	2010-06-14 13:31:30	PDT	Yes	PMS	USGS	4.64	366	0001	-0.08	-1.6	GOOD	0.00	1.02	UNSP	MEAS	1		WADE	QSCMM	VADV	366	82.0	145	2.53	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	11463682	11	2010-06-21 15:04:00	PDT	Yes	KLD/WEL	USGS	4.48	303	0001	-0.19	1.3	GOOD	0.00	0.70	UNSP	MEAS	1		WADE	QSCMM	VPAA	333	83.0	122	2.74	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	200
USGS	11463682	12	2010-06-29 12:39:00	PDT	Yes	PMS	USGS	4.30	206	0001	-0.32	-1.9	GOOD	0.00	0.97	UNSP	MEAS	1		WADE	QSCMM	VADV	206	76.0	114	1.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11463682	13	2010-07-11 14:17:30	PDT	Yes	KLD	USGS	4.16	194	0001	-0.26	3.2	GOOD	0.00	0.75	CLER	MEAS	1		WADE	QSCMM	VPAA	194	68.5	96.9	2.00	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	UNSP	
USGS	11463682	14	2010-07-28 10:15:00	PDT	Yes	PMS	USGS	3.99	151	0001	-0.26	4.9	GOOD	0.00	0.90	CLER	MEAS	1		WADE	QSCMM	VADV	151	70.0	89.1	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11463682	15	2010-08-11 16:43:00	PDT	Yes	PMS/JFW	USGS	4.02	154	0001	-0.26	1.3	GOOD	0.00	1.20	CLER	MEAS	1		WADE	QSCMM	VADV	154	70.0	94.2	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	DNST	50
USGS	11463682	16	2010-08-30 18:45:00	PDT	Yes	DRP	USGS	4.06	153	0001	-0.26	-5.6	GOOD	0.00	0.70	CLER	MEAS	1		WADE	QSCMM	VADV	153	76.0	86.5	1.76	FIRM	GRVL	EVEN	STDY	UNEV	UNSP	DNST	150
USGS	11463682	17	2010-09-07 16:01:00	PDT	Yes	KLD	USGS	4.02	153	0001	-0.26	0.7	GOOD	-0.01	0.50	MALT	MEAS	1		WADE	QSCMM	VPAA	153	75.0	85.8	1.78	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	250
USGS	11463682	18	2010-09-24 10:46:30	PDT	Yes	JFW	USGS	4.04	149	0001	-0.26	-5.1	GOOD	0.00	1.55	CLER	MEAS	1		WADE	QSCMM	VADV	149	69.0	95.0	1.56	FIRM	GRVL	EVEN	STDY	UNSP	UNSP	DNST	150
USGS	11463682	19	2010-10-06 10:32:00	PDT	Yes	PMS	USGS	4.07	166	0001	-0.26	1.2	GOOD	0.00	0.97	MALT	MEAS	1		WADE	QSCMM	VADV	166	70.0	96.6	1.71	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	50
USGS	11463682	20	2010-10-19 10:23:00	PDT	Yes	KLD	USGS	5.03	511	0001	0.00	-1.7	GOOD	0.00	1.20	CLER	UNSP	1		WADE	QSCMM	VPAA	511	89.5	176	2.90	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	11463682	21	2010-11-15 15:47:00	PST	Yes	PMS	USGS	4.97	501	0001	0.00	0.0	GOOD	0.00	0.90	CLER	UNSP	1		WADE	QSCMM	VADV	501	87.0	159	3.15	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	11463682	22	2011-05-10 14:28:00	PDT	Yes	PMS	USGS	5.20	425	0002	0.00	-0.7	GOOD	0.00	0.90	FILL	MEAS	1		WADE	QSCMM	VADV	425	83.0	136	3.14	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	220.00
USGS	11463682	23	2011-05-23 17:19:30	PDT	Yes	JAK/PMS	USGS	5.08	388	0002	0.00	1.8	GOOD	0.00	1.55	FILL	MEAS	1		WADE	QSCMM	VADV	388	80.0	110	3.51	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	24	2011-07-08 12:07:30	PDT	Yes	JAK	USGS	4.48	193	0002	0.00	-2.0	GOOD	0.01	1.75	CLER	UNSP	1		WADE	QSCMM	VPAA	193	74.0	74.9	2.58	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	25	2011-07-18 15:35:30	PDT	Yes	PMS	USGS	4.44	188	0002	0.00	0.0	GOOD	0.00	0.72	CLER	MEAS	1		WADE	QSCMM	VADV	188	75.0	72.3	2.60	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	300.00
USGS	11463682	26	2011-08-25 12:29:30	PDT	Yes	DRP	USGS	4.30	141	0002	-0.06	-2.1	GOOD	-0.01	0.65	CLER	MEAS	1		WADE	QSCMM	VADV	141	73.0	61.4	2.29	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	125.00
USGS	11463682	27	2011-08-29 14:22:30	PDT	Yes	PMS	USGS	4.30	147	0002	-0.06	2.1	GOOD	0.00	0.58	MALT	MEAS	1		WADE	QSCMM	VADV	147	74.0	73.7	2.00	FIRM	UNSP	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	11463682	28	2011-10-12 14:40:30	PDT	Yes	PMS/MJW	USGS	4.57	209	0002	-0.04	-0.5	GOOD	-0.02	0.95	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	213	77.0	89.4	2.38	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	180.00
USGS	11463682	29	2011-11-29 12:39:00	PST	Yes	PMS	USGS	4.81	301	0002	0.00	3.8	GOOD	0.00	0.70	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	301	80.0	107	2.80	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	30	2012-01-09 14:43:30	PST	Yes	PMS	USGS	4.51	193	0002	-0.05	0.5	GOOD	0.01	0.72	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	193	76.0	85.4	2.26	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	31	2012-02-27 12:41:00	PST	Yes	PMS	USGS	4.31	188	0002	0.11	2.7	GOOD	0.00	0.60	SCUR	MEAS	1	MAIN	WADE	QSCMM	VADV	188	75.0	68.0	2.77	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	11463682	32	2012-05-04 13:44:30	PDT	Yes	PMS	USGS	5.18	493	0002	0.17	0.2	GOOD	0.00	0.85	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	493	95.0	156	3.16	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	450.00
USGS	11463682	33	2012-05-30 09:09:30	PDT	Yes	PMS	USGS	4.49	226	0002	0.08	2.3	GOOD	0.00	0.68	SCUR	MEAS	1	MAIN	WADE	QSCMM	VADV	226	85.0	95.4	2.37	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	34	2012-06-26 10:24:30	PDT	Yes	PMS	USGS	4.23	150	0002	0.04	0.0	GOOD	0.00	0.58	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	150	79.0	70.8	2.12	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	35	2012-07-18 08:43:00	PDT	Yes	PMS	USGS	4.29	160	0002	0.00	3.9	GOOD	0.00	0.83	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	160	78.0	93.2	1.72	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	11463682	36	2012-08-28 11:30:30	PDT	Yes	PMS	USGS	4.22	139	0002	0.00	-0.7	GOOD	0.00	0.82	MAMD	MEAS	1	MAIN	WADE	QSCMM	VADV	139	78.0	69.9	1.98	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	37	2012-10-10 11:48:00	PDT	Yes	PMS	USGS	4.27	155	0002	0.00	3.3	GOOD	0.00	0.73	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	155	78.0	74.0	2.10	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	38	2012-11-19 09:22:30	PST	Yes	PMS	USGS	4.62	271	0002	0.13	0.0	GOOD	0.00	0.88	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	271	84.0	99.4	2.73	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	39	2013-02-14 11:58:00	PST	Yes	DRP	USGS	5.04	399	0002	0.09	-0.2	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	399	87.5	155	2.57	SOFT	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	40	2013-03-26 13:39:00	PDT	Yes	KLD	USGS	4.85	342	02.1	0.09	3.0	GOOD	0.02	0.80	CLER	MEAS	1	Main	WADE	QSCMM	VPAA	342	70.5	109	3.14	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	300.00
USGS	11463682	41	2013-05-07 13:13:00	PDT	Yes	PMS	USGS	4.30	163	02.1	0.00	4.5	FAIR	0.00	0.77	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	163	73.0	96.6	1.68	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	42	2013-06-05 12:12:00	PDT	Yes	DRP	USGS	3.91	89.1	02.1	0.00	3.1	GOOD	-0.01	0.80	CLER	MEAS	1	main	WADE	QSCMM	VADV	89.1	57.0	50.2	1.78	FIRM	GRVL	EVEN	STDY	UNEV	STND	DNST	250.00
USGS	11463682	43	2013-06-18 13:19:30	PDT	Yes	PMS	USGS	3.87	81.2	02.1	0.00	0.7	GOOD	0.00	0.55	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	81.2	62.0	66.9	1.21	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	44	2013-06-25 16:04:30	PDT	Yes	WDR	USGS	4.06	117	02.1	0.04	0.0	GOOD	0.01	1.00	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	117	60.8	66.6	1.76	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	45	2013-07-25 12:37:00	PDT	Yes	DRP	USGS	3.95	97.3	02.1	0.05	-2.7	GOOD			CLER	MEAS	1	Main	WADE	QSCMM	VADV	97.3	56.0	51.5	1.89	FIRM	CBLS	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	46	2013-07-29 11:44:30	PDT	Yes	PMS	USGS	3.99	106	02.1	0.05	-0.9	GOOD	0.00	0.62	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	106	62.0	63.5	1.66	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	47	2013-08-29 12:31:00	PDT	Yes	WDR	USGS	3.96	98.4	02.1	0.03	0.0	GOOD	-0.02	1.00	MAMD	MEAS	1	MAIN	WADE	QSCMM	VADV	98.4	57.1	61.5	1.60	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	230.00
USGS	11463682	48	2013-09-10 11:46:30	PDT	Yes	PMS	USGS	4.00	105	02.1	0.03	0.0	GOOD	0.00	0.75	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	105	66.0	73.9	1.42	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	49	2013-10-22 10:19:00	PDT	Yes	PMS	USGS	3.96	100	02.1	0.04	0.0	GOOD	0.00	0.70	MALT	MEAS	1	MAIN	WADE	QSCMM	VADV	100	64.0	70.9	1.41	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	50	2013-12-10 14:50:00	PST	Yes	PMS	USGS	4.16	125	02.1	-0.02	0.0	GOOD	0.00	0.70	MAMD	MEAS	1	MAIN	WADE	QSCMM	VADV	125	70.0	86.6	1.44	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	350.00
USGS	11463682	51	2014-01-07 10:18:30	PST	Yes	PMS	USGS	3.88	72.4	 2.2	-0.07	-0.1	GOOD	0.00	0.65	MAMD	MEAS	1	MAIN	WADE	QSCMM	VADV	72.4	63.0	67.5	1.07	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	52	2014-01-27 10:42:00	PST	Yes	PMS	USGS	3.53	33.1	 2.2	-0.07	-2.9	GOOD	0.00	0.57	MAMD	MEAS	1	MAIN	WADE	QSCMM	VADV	33.1	57.0	47.8	0.69	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	53	2014-02-20 13:01:00	PST	Yes	DCM	USGS	4.46	220	 3.0		-4.8	GOOD	0.00	1.30	CLER	MEAS	1	Main	WADE	QSCMM	VADV	220	71.0	124	1.77	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	11463682	54	2014-03-18 09:50:00	PDT	Yes	PMS	USGS	4.84	341	 3.0		2.7	GOOD	0.00	0.90	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	341	77.0	136	2.51	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	260.00
USGS	11463682	55	2014-04-25 13:10:34	PDT	Yes	WDR/PDJ	USGS	4.30	229	 3.0	0.10	6.0	FAIR	0.01	0.80	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	229	71.7	61.5	3.72	FIRM	GRVL	EVEN	PULS	UNEV	UNSP	DNST	350.00
USGS	11463682	56	2014-05-20 10:53:40	PDT	Yes	WEL	USGS	3.68	75.9	 3.0	0.00	2.7	GOOD	0.00	0.20	CLER	MEAS	1	main	WADE	QSCMM	VADV	75.9	54.0	50.6	1.50	FIRM	GRVL	EVEN	PULS	EVEN	STND	DNST	155.00
USGS	11463682	57	2014-06-04 09:58:30	PDT	Yes	PMS	USGS	3.86	108	 3.0		4.9	GOOD	0.00	0.75	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	108	61.0	62.9	1.72	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	58	2014-07-14 13:39:00	PDT	Yes	PMS	USGS	3.77	93.8	 3.0		6.8	FAIR	0.00	0.60	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	93.8	60.0	57.4	1.64	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	59	2014-08-19 15:00:30	PDT	Yes	KLD	USGS	3.80	93.3	 3.0		0.6	GOOD	0.02	1.00	MAHV	MEAS	1	Main	WADE	QSCMM	VADV	93.3	58.0	58.6	1.59	FIRM	GRVL	EVEN	STDY	UNEV	STND	UPST	300.00
USGS	11463682	60	2014-10-07 15:01:00	PDT	Yes	KLD	USGS	3.62	63.0	 3.0		-3.7	GOOD	0.00	0.80	MAMD	MEAS	1	Main	WADE	QSCMM	VADV	63.0	52.0	48.2	1.31	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	11463682	61	2014-11-12 15:35:30	PST	Yes	KLD	USGS	3.61	63.1	 3.0		-1.4	GOOD	0.01	0.60	MAMD	MEAS	1	Main	WADE	QSCMM	VADV	63.1	53.0	47.6	1.32	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	250.00
USGS	11463682	62	2015-01-08 11:01:00	PST	Yes	KLD	USGS	5.19	427	 4.0		3.9	GOOD	0.02	1.00	CLER	MEAS	1	Main	WADE	QSCMM	VADV	427	88.5	157	2.71	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	11463682	63	2015-01-08 12:11:00	PST	Yes	KLD	USGS	5.19	426	 4.0		3.6	GOOD	0.03	1.10	CLER	MEAS	1	Check Measurement	WADE	QSCMM	VADV	426	89.5	158	2.69	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	150.00
