#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:07:50 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11467000 RUSSIAN R NR GUERNEVILLE CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11467000	1A	1939-11-30		Yes	COL	USGS	4.34	113.0		0.00	0.00	GOOD	0.00	1.50		MEAS	1	Unspecified	WADE	QUNSP		113.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	2A	1939-12-10		Yes	DAH	USGS	4.54	162.0		0.00	0.00	GOOD	0.01	0.60		MEAS	1	Unspecified	WADE	QUNSP		162.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	3A	1939-12-11		Yes	MAT	USGS	10.58	3570		0.00	0.00	GOOD	-0.10	1.70		MEAS	1	Unspecified	CRAN	QUNSP		3570	254	1550	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	4A	1939-12-12		Yes	MAT	USGS	7.35	1330		0.00	1.00	EXCL	-0.10	1.25		MEAS	1	Unspecified	CRAN	QUNSP		1330	236	786	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	5A	1939-12-14		Yes	DAH/COL	USGS	5.65	523.0		0.00	-1.00	FAIR	-0.03	1.00		MEAS	1	Unspecified	WADE	QUNSP		523.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	6A	1939-12-22		Yes	COL	USGS	4.97	287.0		0.00	0.00	GOOD	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		287.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	7A	1939-12-28		Yes	DAH	USGS	4.92	274.0		0.00	1.00	GOOD	0.00	1.00		MEAS	1	Unspecified	WADE	QUNSP		274.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	8A	1940-01-02		Yes	COL	USGS	18.98	16900		0.00	0.00	GOOD	0.15	1.50		MEAS	1	Unspecified	CRAN	QUNSP		16900	355	4110	4.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	9A	1940-01-03		Yes	COL	USGS	15.06	10200		0.00	4.00	GOOD	-0.27	1.20		MEAS	1	Unspecified	CRAN	QUNSP		10200	289	2830	3.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	10A	1940-01-04		Yes	COL	USGS	16.66	13300		0.00	-1.00	GOOD	0.01	1.25		MEAS	1	Unspecified	CRAN	QUNSP		13300	301	3290	4.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	11A	1940-01-05		Yes	COL	USGS	13.38	8210		0.00	0.00	GOOD	-0.15	1.20		MEAS	1	Unspecified	CRAN	QUNSP		8210	268	2340	3.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	12A	1940-01-09		Yes	COL	USGS	21.63	22400		0.00	-1.00	GOOD	-0.16	1.50		MEAS	1	Unspecified	CRAN	QUNSP		22400	390	5060	4.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	13A	1940-01-10		Yes	COL	USGS	17.19	14300		0.00	0.00	GOOD	0.04	1.25		MEAS	1	Unspecified	CRAN	QUNSP		14300	303	3450	4.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	14A	1940-01-12		Yes	COL	USGS	14.46	9850		0.00	0.00	GOOD	-0.17	1.25		MEAS	1	Unspecified	CRAN	QUNSP		9850	274	2650	3.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	15A	1940-01-13		Yes	COL	USGS	12.02	5960		0.00	-5.00	GOOD	-0.08	1.25		MEAS	1	Unspecified	CRAN	QUNSP		5960	262	2080	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	16A	1940-01-15		Yes	COL	USGS	9.80	3410		0.00	0.00	GOOD	-0.03	0.90		MEAS	1	Unspecified	CRAN	QUNSP		3410	244	1410	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	17A	1940-01-18		Yes	COL	USGS	8.53	2050		0.00	-3.00	GOOD	-0.02	1.00		MEAS	1	Unspecified	CRAN	QUNSP		2050	236	1090	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	18A	1940-01-25		Yes	COL	USGS	9.77	3340		0.00	-1.00	GOOD	0.50	1.00		MEAS	1	Unspecified	CRAN	QUNSP		3340	242	1410	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	19A	1940-01-26		Yes	COL	USGS	21.82	23000		0.00	0.00	GOOD	0.06	1.50		MEAS	1	Unspecified	CRAN	QUNSP		23000	396	5110	4.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	20A	1940-01-27		Yes	COL	USGS	18.02	15700		0.00	-1.00	GOOD	-0.28	1.25		MEAS	1	Unspecified	CRAN	QUNSP		15700	310	3680	4.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	21A	1940-01-29		Yes	COL	USGS	11.61	5700		0.00	0.00	GOOD	-0.08	1.10		MEAS	1	Unspecified	CRAN	QUNSP		5700	264	1860	3.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	22A	1940-02-01		Yes	COL	USGS	12.09	6620		0.00	4.00	GOOD	-0.04	1.08		MEAS	1	Unspecified	CRAN	QUNSP		6620	262	2000	3.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	23A	1940-02-05		Yes	COL	USGS	13.21	8040		0.00	1.00	GOOD	-0.06	1.00		MEAS	1	Unspecified	CRAN	QUNSP		8040	268	2260	3.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	24A	1940-02-08		Yes	COL	USGS	11.50	5620		0.00	1.00	GOOD	-0.04	1.00		MEAS	1	Unspecified	CRAN	QUNSP		5620	256	1830	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	25A	1940-02-13		Yes	COL	USGS	8.93	2530		0.00	2.00	GOOD	0.00	0.90		MEAS	1	Unspecified	CRAN	QUNSP		2530	240	1160	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	26A	1940-02-14		Yes	COL	USGS	19.25	18200		0.00	1.00	GOOD	0.00	1.30		MEAS	1	Unspecified	CRAN	QUNSP		18200	360	4140	4.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	27A	1940-02-16		Yes	COL	USGS	13.46	8440		0.00	2.00	GOOD	-0.10	1.00		MEAS	1	Unspecified	CRAN	QUNSP		8440	270	2360	3.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11467000	28A	1940-02-17		Yes	COL	USGS	22.18	24100		0.00	1.00	GOOD	0.18	1.50		MEAS	1	Unspecified	CRAN	QUNSP		24100	395	5260	4.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
