#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:08:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11383800 SACRAMENTO R NR HAMILTON CITY CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11383800	200B	2009-03-27 12:20:30	PDT	Yes	CAJ/JEF	USGS	29.62	6590				GOOD		0.38	UNSP	UNSP	1		MBOT	QADCP	VADCP	6590	654	3020	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	200C	2009-09-22 13:10:30	PDT	Yes	CAJ/JEF	USGS	29.45	5940				GOOD		0.45	UNSP	UNSP	1		MBOT	QADCP	VADCP	5940	561	3090	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	1F	2010-09-29 10:38:00	PDT	Yes	DWR	USGS	29.55	7030				FAIR			CLER	MEAS	1		UNSP			7030				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	222F	2010-10-20 10:46:00	PDT	Yes	DWR	USGS	29.27	5930				UNSP			UNSP	UNSP	1		UNSP			5930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	2F	2010-10-20 10:46:00	PDT	Yes	DWR	USGS	29.27	6100				FAIR			CLER	MEAS	1		UNSP			6100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	223	2010-12-29 11:33:00	PST	Yes	DWR	USGS	37.16	42600				UNSP			UNSP	UNSP	1		UNSP			42600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	4F	2011-01-05 14:49:00	PST	Yes	DWR	USGS	32.74	19900				FAIR			CLER	MEAS	1		UNSP			19900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	3F	2011-01-06 11:33:00	PST	Yes	DWR	USGS	37.16	42600				POOR			CLER	MEAS	1		UNSP			42600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	5F	2011-03-16 10:07:00	PDT	Yes	DWR	USGS	35.59	34700				FAIR			CLER	MEAS	1		UNSP			34700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	224	2011-03-21 11:08:00	PDT	Yes	DWR	USGS	44.99	86800				UNSP			UNSP	UNSP	1		UNSP			86800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	6F	2011-03-21 11:08:00	PDT	Yes	DWR	USGS	44.99	86800				POOR			CLER	MEAS	1		UNSP			86800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	7F	2011-03-25 09:29:00	PDT	Yes	DWR	USGS	42.44	70100				FAIR			CLER	MEAS	1		UNSP			70100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	8F	2011-03-26 10:15:00	PDT	Yes	DWR	USGS	31.70	15000				GOOD			CLER	MEAS	1		UNSP			15000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	9F	2011-06-10 09:30:00	PDT	Yes	DWR	USGS	32.15	16900				FAIR			CLER	MEAS	1		UNSP			16900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	200D	2011-06-10 10:30:00	PDT	Yes	CAT/JEF	USGS	32.15	16600				GOOD	0.00	0.43	UNSP	UNSP	1		MBOT	QADCP	VADCP	16600	570	4670	3.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	10F	2011-07-14 10:33:00	PDT	Yes	DWR	USGS	30.66	11200				FAIR			CLER	MEAS	1		UNSP			11200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11383800	200E	2011-09-13 11:00:30	PDT	Yes	CAT/JEF	USGS	30.40	9220				GOOD	0.00	0.42	CLER	UNSP	1		MBOT	QADCP	VADCP	9220	571	3550	2.60	FIRM	CBLS	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	11383800	11F	2011-09-14 10:15:00	PDT	Yes	DWR	USGS	30.46	9730				FAIR			CLER	MEAS	1		UNSP			9730				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
