#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:08:21 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11390500 SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11390500	704	1987-09-09		Yes	?	USGS	29.03	6030	13.0	0.00	3.00	GOOD			CLER	MEAS	1	Unspecified	BOAT	QUNSP		6030			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	705	1987-10-28 14:00:00	PST	Yes	AJA/DH	USGS	26.23	3680	13.0	0.00	1.00	GOOD	0.01	1.50	CLER	MEAS	1	Unspecified	BOAT	QUNSP		3680	209	1800	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	706	1987-12-16 11:30:00	PST	Yes	AJA/MW	USGS	32.50	9150	13.0	0.00	1.00	GOOD	-0.04	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		9150	246	3090	2.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	707	1988-01-06 13:30:00	PST	Yes	AJA/BH	USGS	47.02	26890	13.0	0.00	-4.00	GOOD	-0.09	1.25	LGDB	MEAS	1	Unspecified	BOAT	QUNSP		26890	295	7090	3.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	708	1988-02-11 12:30:00	PST	Yes	AJA/SA	USGS	30.39	7260	13.0	0.200		GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		7260	234	2630	2.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	709	1988-03-11 12:05:00	PST	Yes	AJA/MW	USGS	29.07	6000	13.0	0.200	-1.00	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6000	230	2330	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	710	1988-04-14 13:00:00	PDT	Yes	AJA/DU	USGS	34.66	11270	13.0	0.130	-1.00	GOOD	-0.02	1.25	CLER	MEAS	1	Unspecified	BOAT	QUNSP		11270	252	3750	3.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	711	1988-05-26 13:30:00	PDT	Yes	AJA/MW	USGS	28.56	5650	13.0	0.200		GOOD	0.03	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5650	220	2240	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	712	1988-06-30 11:10:00	PDT	Yes	AJA/MW	USGS	30.80	7900	13.0	0.520	6.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		7900	234	2830	2.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	713	1988-08-17 14:45:00	PDT	Yes	AJA/DF	USGS	32.68	9470	13.0	0.240		GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		9470	245	3210	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	714	1988-10-12 15:20:00	PDT	Yes	AJA/MW	USGS	30.18	7010	14.0	0.00	-3.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	BOAT	QUNSP		7010	234	2720	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	715	1988-11-15 11:45:00	PST	Yes	AJA/MW	USGS	28.39	5750	14.0	0.00	3.00	GOOD	0.02	0.80	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5750	220	2320	2.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	716	1989-01-06 12:50:00	PST	Yes	AJA/RS	USGS	32.82	10300	14.0	0.00	5.00	GOOD	0.23	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		10300	248	3300	3.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	717	1989-02-08 13:45:00	PST	Yes	aja/mw	USGS	29.44	6330	14.0	0.00	-3.00	GOOD	0.02	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6330	232	2380	2.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	718	1989-03-08 12:52:00	PST	Yes	AJA/MW	USGS	39.95	17200	14.0	0.00	0.00	GOOD	-0.23	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		17200	264	5080	3.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	719	1989-03-14 13:15:00	PST	Yes	AJA/RS	USGS	45.39	23100	14.0	0.00	-2.00	GOOD	-0.04	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		23100	280	6440	3.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	720	1989-04-24 11:40:00	PDT	Yes	AJA/MW	USGS	28.20	5440	14.0	0.00	1.00	GOOD	0.05	0.80	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5440	218	2130	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	721	1989-05-31 13:45:00	PDT	Yes	AJA/MW	USGS	30.03	6910	14.0	0.00	-2.00	GOOD	-0.03	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6910	232	2570	2.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	722	1989-07-12 09:45:00	PDT	Yes	AJA/MW	USGS	28.09	5230	14.0	0.00	-1.00	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5230	212	2150	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11390500	723	1989-08-22 10:45:00	PDT	Yes	AJA/MW	USGS	29.71	6800	14.0	0.00	0.00	GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6800	230	2530	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
