#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:20 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14134000 SALMON RIVER NEAR GOVERNMENT CAMP, OREG.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14134000	366	1964-09-21		Yes	?	USGS	4.75	1300				Poor				UNSP	1	Imported Channel 1	OTHR	other		1300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	497	1981-02-18		Yes	BM	USGS	2.26	218				Fair	0.01	0.50		MEAS	1	Imported Channel 1	UNSP	other		218				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	513	1983-01-07		Yes	WAH	USGS	2.38	244				Unspecified	-0.01	0.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	244	21.0	47.3	5.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	524	1984-07-25		Yes	DCN	USGS	1.18	47.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		47.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	525	1984-10-18		Yes	WAH	USGS	0.79	24.5				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		24.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	526	1984-12-03		Yes	WAH	USGS	0.86	30.1				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		30.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	527	1985-03-01		Yes	LLH	USGS	0.84	24.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		24.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	528	1985-05-10		Yes	LLH	USGS	1.23	53.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		53.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14134000	529	1985-07-19		Yes	LLH	USGS	1.04	37.1				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		37.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
