#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:35 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05530990 SALT CREEK AT ROLLING MEADOWS, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05530990	1	1973-07-04		Yes	/	USGS	3.68	45.0	 1.0	0.00	-1.70	GOOD	-0.05	0.50		UNSP	1	Unspecified	UNSP			45.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	2	1973-08-09		Yes	/	USGS	2.41	0.940	 1.0	0.00	-1.10	FAIR	0.00	0.30		UNSP	1	Unspecified	UNSP			0.940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	3	1973-09-05		Yes	/	USGS	2.74	5.29	 1.0	0.00	-3.10	FAIR	0.00	0.30		UNSP	1	Unspecified	UNSP			5.29				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	4	1973-10-04		Yes	/	USGS	3.73	49.3	 2.0	-0.050	-0.200	GOOD	-0.06	0.50		UNSP	1	Unspecified	UNSP			49.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	5	1973-11-09		Yes	/	USGS	2.76	4.97	 2.0	0.00	-4.00	FAIR	0.00	0.40		UNSP	1	Unspecified	UNSP			4.97				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	6	1973-12-10		Yes	/	USGS	3.52	41.4	 2.0	0.00	2.00	GOOD	0.06	0.50		UNSP	1	Unspecified	UNSP			41.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	7	1974-01-09		Yes	/	USGS		11.1	 2.0	0.00		POOR				UNSP	1	Unspecified	UNSP			11.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	8	1974-01-29		Yes	/	USGS	5.61	168.0	 2.0	0.00	-3.40	GOOD	0.05	0.70		UNSP	1	Unspecified	UNSP			168.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	9	1974-02-06		Yes	/	USGS	3.35	32.5	 2.0	0.00	4.20	FAIR	0.03	0.30		UNSP	1	Unspecified	UNSP			32.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	10	1974-03-08		Yes	/	USGS	4.88	129.0	 2.0	0.00	4.90	GOOD	-0.05	0.40		UNSP	1	Unspecified	UNSP			129.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	11	1974-04-04		Yes	/	USGS	4.52	98.4	 2.0	0.00	1.00	GOOD	-0.03	0.50		UNSP	1	Unspecified	UNSP			98.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	12	1974-04-11		Yes	/	USGS	3.28	28.2	 2.0	0.00	2.60	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			28.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	13	1974-05-07		Yes	/	USGS	3.24	23.8	 2.0	-0.030	-0.800	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			23.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	14	1974-05-17		Yes	/	USGS	8.48	423.0	 2.0	0.00	0.00	GOOD	-0.04	0.90		UNSP	1	Unspecified	UNSP			423.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	15	1974-05-22		Yes	/	USGS	7.32	299.0	 2.0	0.00	-2.30	GOOD	0.00	0.80		UNSP	1	Unspecified	UNSP			299.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	16	1974-06-11		Yes	/	USGS	4.97	124.0	 3.0	0.00	-3.90	GOOD	-0.02	0.50		UNSP	1	Unspecified	UNSP			124.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	17	1974-06-20		Yes	/	USGS	3.06	16.1	 3.0	0.00	-4.20	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			16.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	18	1974-07-13		Yes	/	USGS	2.89	10.6	 3.0	0.00	-1.80	GOOD	0.03	0.40		UNSP	1	Unspecified	UNSP			10.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	19	1974-08-06		Yes	/	USGS	2.50	3.22	 3.0	0.00	0.600	GOOD	-0.01	0.50		UNSP	1	Unspecified	UNSP			3.22				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	20	1974-09-04		Yes	/	USGS	2.41	1.13	 3.0	-0.190	0.900	GOOD	0.00	0.30		UNSP	1	Unspecified	UNSP			1.13				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	21	1974-10-02		Yes	/	USGS	2.40	1.28	 3.0	-0.150	0.00	GOOD	0.00	0.30		UNSP	1	Unspecified	UNSP			1.28				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	22	1974-11-05		Yes	/	USGS	2.76	8.17	 4.0	0.00	-3.70	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			8.17				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	23	1974-12-05		Yes	/	USGS	2.61	4.84	 4.0	0.00	-2.60	GOOD	0.02	0.70		UNSP	1	Unspecified	UNSP			4.84				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	24	1975-01-08		Yes	/	USGS	3.60	42.8	 4.0	0.00	-2.70	GOOD	0.01	0.50		UNSP	1	Unspecified	UNSP			42.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	25	1975-01-23		Yes	/	USGS	2.94	12.7	 4.0	0.00	0.880	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			12.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	26	1975-02-04		Yes	/	USGS	3.08	20.4	 4.0	0.00	1.50	GOOD	-0.03	0.60		UNSP	1	Unspecified	UNSP			20.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	27	1975-03-04		Yes	/	USGS	2.92	14.9	 4.0	0.020	2.80	GOOD	0.03	0.50		UNSP	1	Unspecified	UNSP			14.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	28	1975-04-07		Yes	/	USGS	4.05	70.9	 4.0	0.00	3.50	GOOD	0.07	0.40		UNSP	1	Unspecified	UNSP			70.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	29	1975-04-18		Yes	/	USGS	10.82	954.0	 4.0	0.00	4.80	UNSP				UNSP	1	Unspecified	UNSP			954.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	30	1975-04-28		Yes	/	USGS	8.62	439.0	 4.0	0.00	-0.900	GOOD	-0.04	1.20		UNSP	1	Unspecified	UNSP			439.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	31	1975-05-05		Yes	/	USGS	5.11	130.0	 4.0	0.00	-1.50	GOOD	-0.08	0.60		UNSP	1	Unspecified	UNSP			130.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	32	1975-06-03		Yes	/	USGS	3.55	40.6	 4.0	0.00	-1.90	GOOD	-0.02	0.40		UNSP	1	Unspecified	UNSP			40.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	33	1975-07-10		Yes	/	USGS	2.57	4.36	 4.0	0.00	2.80	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			4.36				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	34	1975-08-06		Yes	/	USGS	2.75	6.40	 4.0	-0.070	-0.800	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			6.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	35	1975-09-05		Yes	/	USGS	3.37	33.9	 4.0	0.00	4.00	GOOD	-0.05	0.60		UNSP	1	Unspecified	UNSP			33.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	36	1975-10-03		Yes	/	USGS	2.36	0.430	 4.0	-0.190	2.40	GOOD	0.00	0.30		UNSP	1	Unspecified	UNSP			0.430				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	37	1975-11-12		Yes	/	USGS	2.74	6.97	 4.0	-0.040	0.700	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			6.97				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	38	1975-12-19		Yes	/	USGS	3.16	22.0	 4.0	-0.040	0.900	FAIR	0.00	0.40		UNSP	1	Unspecified	UNSP			22.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	39	1976-02-10		Yes	/	USGS	3.06	15.4	 4.0	0.00	0.800	GOOD	0.05	0.50		UNSP	1	Unspecified	UNSP			15.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	40	1976-03-04		Yes	/	USGS	6.38	225.0	 5.0	0.00	0.400	GOOD	-0.29	1.00		UNSP	1	Unspecified	UNSP			225.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	41	1976-03-05		Yes	/	USGS	9.56	505.0	 5.0	0.00		GOOD	0.01	0.80		UNSP	1	Unspecified	UNSP			505.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	42	1976-04-02		Yes	/	USGS	3.36	30.9	 5.0	0.00	-3.70	GOOD	0.05	0.50		UNSP	1	Unspecified	UNSP			30.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	43	1976-05-10		Yes	/	USGS	3.83	57.6	 5.0	0.00	1.90	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			57.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	44	1976-06-22		Yes	/	USGS	2.78	9.99	 5.0	0.030	0.500	GOOD	-0.03	0.50		UNSP	1	Unspecified	UNSP			9.99				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	45	1976-07-28		Yes	/	USGS	2.60	4.34	 5.0	-0.020	-1.80	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			4.34				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	46	1976-09-16		Yes	/	USGS	2.29	0.620	 5.0	-0.070	-1.60	FAIR	0.01	0.20		UNSP	1	Unspecified	UNSP			0.620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	47	1976-10-20		Yes	/	USGS	2.91	1.77	 5.0	-0.520	-38.0	POOR	0.02	0.80		UNSP	1	Unspecified	UNSP			1.77				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	48	1976-12-01		Yes	/	USGS	2.32	0.530	 5.0	0.00	0.430	POOR	0.00	0.30		UNSP	1	Unspecified	UNSP			0.530				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	49	1977-01-12		Yes	/	USGS	2.52	0.000	 5.0	0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	50	1977-02-24		Yes	/	USGS	3.67	41.7	 5.0	0.00	0.870	FAIR	-0.01	0.40		UNSP	1	Unspecified	UNSP			41.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	51	1977-04-06		Yes	/	USGS	3.08	19.2	 5.0	0.00	-4.50	GOOD	0.00	0.30		UNSP	1	Unspecified	UNSP			19.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05530990	52	1977-05-18		Yes	/	USGS	2.53	3.02	 5.0	-0.040	0.300	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			3.02				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
