#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:30 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05531300 SALT CREEK AT ELMHURST, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05531300	8	1989-05-17 14:05:00	CST	Yes	JJD/JDE	USGS	6.42	38.9	 1.0	0.00	-0.300	GOOD	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		38.9	48.0	45.8	0.850	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	9	1989-05-17 14:40:00	CST	Yes	JJD/JDE	USGS	6.42	39.4	 1.0	0.00	1.00	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.4	47.0	62.5	0.630	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	10	1989-05-25 12:15:00	CST	Yes	JJD	USGS	6.80	79.3	 1.0	0.00	-1.20	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		79.3	43.5	65.9	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	11	1989-05-25 12:45:00	CST	Yes	JJD	USGS	6.82	80.5	 1.0	0.00	-2.30	GOOD	0.01	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		80.5	43.5	66.3	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	12	1989-05-31 08:10:00	CST	Yes	JJD/SMS	USGS	6.55	55.6	 1.0	0.00	3.20	GOOD	0.02	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		55.6	32.5	51.0	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	13	1989-05-31 08:40:00	CST	Yes	JJD/SMS	USGS	6.56	53.4	 1.0	0.00	-2.90	GOOD	0.01	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		53.4	32.5	49.5	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	14	1989-05-31 19:45:00	CST	Yes	JJD/SMS	USGS	7.02	102.0	 1.0	0.00	-1.40	GOOD	-0.05	0.80	LGDB	MEAS	1	Unspecified	WADE	QUNSP		102.0	39.0	82.6	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	15	1989-06-01 16:50:00	CST	Yes	JJD/SMS	USGS	8.82	388.0	 1.0	0.00	0.390	POOR	0.01	0.80	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		388.0	109	345	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	16	1989-07-06 16:18:00	CST	Yes	JJD/JDE	USGS	6.42	46.6	 1.0	0.060	1.30	GOOD	0.03	0.60	MDDB	MEAS	1	Unspecified	WADE	QUNSP		46.6	36.0	59.9	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	17	1989-08-04 15:35:00	CST	Yes	SMR	USGS	10.07	580.0	 1.0	0.00	3.90	GOOD	0.08	1.20	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		580.0	108	325	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	18	1989-08-05 14:42:00	CST	Yes	JJD	USGS	13.06	1340	 1.0	0.00	0.00	GOOD	0.09	1.30	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		1340	110	828	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	19	1989-08-05 17:25:00	CST	Yes	JJD	USGS	13.24	1420	 1.0	0.00	0.00	GOOD	0.06	1.00	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		1420	110	853	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	20	1989-08-06 07:23:00	CST	Yes	JJD	USGS	13.42	1490	 1.0	0.00	-1.30	GOOD	0.00	1.00	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		1490	110	866	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	21	1989-09-02 07:05:00	CST	Yes	KAO	USGS	10.52	759.0	 1.0	0.00		POOR	0.04	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		759.0	106	540	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	22	1989-10-04 16:55:00	CST	Yes	JJD/JDE	USGS	6.50	52.5	 1.0	0.00	-4.00	GOOD	0.00	0.70	LGDB	MEAS	1	Unspecified	WADE	QUNSP		52.5	35.1	61.4	0.850	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	23	1989-12-10 12:41:00	CST	Yes	JJD	USGS	6.16	42.7		0.00		GOOD	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		42.7	31.0	49.8	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	24	1990-01-31 12:11:00	CST	Yes	jjd/jde	USGS	6.94	124.0		0.00		GOOD	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		124.0	36.0	72.3	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	25	1990-03-10 11:25:00	CST	Yes	jjd	USGS	11.16	843.0		0.00		GOOD	0.19	1.50	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		843.0	110	632	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	26	1990-05-02 09:07:00	CST	Yes	JDE	USGS	6.25	51.1		0.00		GOOD	0.00	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		51.1	36.5	38.2	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	27	1990-05-11 14:38:00	CST	Yes	JJD/JDE	USGS	12.82	1337		0.00		FAIR	-0.04	0.90		MEAS	1	Unspecified	UNSP			1337				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	28	1990-06-06 18:39:00	CST	Yes	JDE/JJD	USGS	6.56	81.9		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.9	33.0	57.0	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	29	1990-07-21 08:48:00	CST	Yes	JJD/JSR	USGS	7.54	211.0	 2.0	0.00	1.70	UNSP	0.00	0.80	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		211.0	110	225	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	30	1990-07-25 17:35:00	CST	Yes	JDE/JTS	USGS	6.36	69.8	 2.0	0.080	0.870	UNSP	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		69.8	31.0	46.8	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	31	1990-08-08 08:43:00	CST	Yes	JJD/JDE	USGS	6.03	34.4	 2.0	0.00	2.20	GOOD	0.01	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		34.4	25.0	35.1	0.957	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	32	1990-08-21 10:00:00	CST	Yes	JDE	USGS	13.18	1504	 1.0	0.00	3.00	GOOD	-0.04	2.60	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		1504	114	842	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	33	1990-08-21 14:26:00	CST	Yes	JDE	USGS	13.13	1455	 2.0	0.00	1.40	GOOD	-0.01	2.20	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		1455	114	772	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	34	1990-09-20 17:15:00	CST	Yes	JDE	USGS	6.14	43.9	 2.0	0.00	3.70	GOOD	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		43.9	28.0	43.8	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	35	1990-10-09 19:17:00	CST	Yes	JJD/JDE	USGS	8.95	412.9	 2.0	0.00	-2.70	GOOD	0.14	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		412.9	109	378	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	36	1991-03-06 14:17:00	CST	Yes	JDE/TJV	USGS	6.91	125.7	 2.0	0.00	4.90	UNSP	-0.01	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		125.7	41.0	66.4	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	37	1991-04-16 16:58:00	CST	Yes	JJD	USGS	11.44	1038	 2.0	0.00	4.90	GOOD	-0.01	1.00	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1038	109	658	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	38	1991-05-16 09:49:00	CST	Yes	JTS/JDE	USGS	6.28	62.5	 2.0	0.060	4.40	GOOD	0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		62.5	37.0	41.1	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	39	1991-06-05 10:14:00	CST	Yes	JTS/TAB	USGS	7.01	139.0	 2.0	0.00	4.50	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		139.0	41.0	76.7	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	40	1991-07-17 17:05:00	CST	Yes	JDE	USGS	6.01	36.6	 2.0	0.00	1.70	GOOD	-0.01	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.6	37.0	31.4	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	41	1991-08-01 12:04:00	CST	Yes	JTS	USGS	6.00	36.4	 2.0	0.00	4.90	GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.4	35.0	32.4	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	42	1991-11-06 11:03:00	CST	Yes	JTS	USGS	6.81	121.4	 2.0	0.090	0.00	GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		121.4	39.5	70.0	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	43	1991-12-11 12:30:00	CST	Yes	TLW	USGS	7.52	205.0	 2.0	0.00	0.00	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		205.0	42.0	97.5	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	44	1992-01-29 09:50:00	CST	Yes	TLW	USGS	6.38	83.0	 2.0	0.190	0.400	GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.0	38.0	45.6	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	45	1992-04-01 11:00:00	CST	Yes	TLW	USGS	7.08	163.0	 2.0	0.140	0.00	GOOD	-0.03	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		163.0	41.0	81.2	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	46	1992-05-28 11:30:00	CST	Yes	TLW	USGS	6.13	54.8		0.140	2.20	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		54.8	36.0	34.1	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	47	1992-07-15 13:30:00	CST	Yes	TLW/SJA	USGS	7.71	233.0	 2.0	0.00	0.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		233.0	43.0	109	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	48	1992-10-14 09:00:00	CST	Yes	TLW	USGS	6.00	40.9	 2.0	0.110	0.200	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.9	36.0	32.4	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	49	1992-12-03 10:30:00	CST	Yes	TLW	USGS	6.55	102.0	 3.0	0.00	0.00	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		102.0	40.0	57.4	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	50	1993-01-06 12:50:00	CST	Yes	SMR/TLW	USGS	10.17	684.0	 3.0	0.00	0.00	GOOD	-0.07	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		684.0	98.0	505	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	51	1993-03-11 09:15:00	CST	Yes	TLW	USGS	7.18	179.0	 3.0	0.00	-0.600	GOOD	-0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		179.0	42.0	81.5	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	52	1993-05-05 11:55:00	CST	Yes	TLW	USGS	7.05	154.0	 3.0	0.00	-4.30	GOOD	0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		154.0	41.0	73.4	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	53	1993-06-29 10:15:00	CST	Yes	TLW	USGS	8.01	300.0	 3.0	0.00	2.70	FAIR	-0.06	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		300.0	111	284	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	54	1993-08-18 10:40:00	CST	Yes	TLW	USGS	6.61	113.0	 3.0	0.00	3.70	GOOD	-0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		113.0	38.0	66.8	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	55	1993-10-21 10:25:00	CST	Yes	TLW	USGS	6.66	100.0	 3.0	-0.120	-1.00	GOOD	0.02	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		100.0	40.0	63.3	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	56	1993-12-06 13:20:00	CST	Yes	TLW	USGS	6.41	89.1	 3.0	0.00	3.20	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		89.1		55.5	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	57	1994-02-01 14:33:00	CST	Yes	TLW/CJB	USGS	6.57	108.0	 3.0	0.00	3.80	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		108.0	41.0	60.8	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	58	1994-04-07 09:00:00	CST	Yes	TLW	USGS	6.21	64.8	 3.0	0.00	-0.800	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		64.8	39.0	45.2	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	59	1994-05-25 14:20:00	CST	Yes	TLW/PCT	USGS	6.08	54.7	 3.0	0.00	5.20	GOOD	0.00	0.80	LGDB	MEAS	1	Unspecified	WADE	QUNSP		54.7	39.0	43.2	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	60	1994-07-14 11:30:00	CST	Yes	TLW	USGS	6.28	71.2	 3.0	0.00	-1.90	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.2	41.0	52.6	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	61	1994-10-13 08:00:00	CST	Yes	TLW	USGS	6.16	55.0	 3.0	-0.050	0.00	GOOD	-0.02	0.42	LGDB	MEAS	1	Unspecified	WADE	QUNSP		55.0	38.0	51.5	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	62	1994-12-09 12:10:00	CST	Yes	TLW	USGS	7.61	209.0	 3.0	-0.200	0.500	FAIR	0.00	0.80	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		209.0	108	216	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	63	1995-01-24 11:00:00	CST	Yes	TLW	USGS	6.84	139.0	 3.0	0.00	2.20	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		139.0	55.0	74.3	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	64	1995-03-15 10:30:00	CST	Yes	TLW	USGS	6.76	124.0	 3.0	0.00	-1.60	GOOD	0.04	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		124.0	60.0	79.7	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	65	1995-04-12 11:40:00	CST	Yes	TLW	USGS	10.48	763.0	 3.0	0.00	2.30	FAIR	-0.04	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		763.0	109	551	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	66	1995-04-29 09:50:00	CST	Yes	TLW	USGS	11.35	951.0	 3.0	0.00	-0.900	FAIR	-0.08	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		951.0	109	622	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	67	1995-06-28 11:10:00	CST	Yes	TLW	USGS	6.18	61.2	 3.0	0.00	-1.63	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		61.2	50.0	39.7	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05531300	68	1995-08-30 10:05:00	CST	Yes	TLW	USGS	6.05	49.1	 3.0	0.00	0.200	GOOD	-0.10	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		49.1	29.5	50.7	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
