#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:39 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06803080 Salt Creek at Pioneers Boulevard at Lincoln, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06803080	137	1994-06-20		Yes	MK	USGS	4.94	33.8	 1.0	-0.110		GOOD				MEAS	1	Unspecified	UNSP			33.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	138	1994-08-08 13:20:00	CDT	Yes	vcw	USGS	4.72	27.4	 1.0	0.010		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		27.4	44.5	22.9	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	139	1994-08-16 08:30:00	CDT	Yes	MCK/VCW	USGS	4.56	15.3	 1.0	-0.070		GOOD				MEAS	1	Unspecified	WADE	QUNSP		15.3	23.0	21.4	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	140	1994-09-28 08:40:00	CDT	Yes	pab/mk	USGS	4.50	14.6	 1.0	-0.020		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.6	25.0	22.4	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	141	1994-12-05 14:40:00	CST	Yes	vcw	USGS	4.64	22.1	 2.0	-0.170		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		22.1	35.5	24.3	0.909	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	142	1995-01-24 12:25:00	CST	Yes	dms	USGS	4.91	44.0	 2.0			GOOD	0.10	1.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		44.0	29.0	34.6	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	143	1995-03-13 12:50:00	CST	Yes	shh	USGS	4.91	51.2	 2.0	0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		51.2	27.0	37.4	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	144	1995-04-17 11:50:00	CDT	Yes	vcw	USGS	4.87	49.7	 2.0	0.00	3.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		49.7	31.0	39.9	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803080	145	1995-04-20 13:05:00	CDT	Yes	mk/shh	USGS	5.68	134.0	 2.0	0.080		GOOD	0.25	0.67	LGDB	MEAS	1	Unspecified	WADE	QUNSP		134.0	32.0	76.6	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
