#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:40 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06803495 Salt Creek at Fairgrounds at Lincoln, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06803495	1	1994-06-20		Yes	LCW	USGS		170.0		0.00		UNSP				UNSP	1	Unspecified	UNSP			170.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	2	2004-06-09 12:15:00	CDT	Yes	slo	USGS	9.95	113.2	 1.0	0.00		GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		113.2	120	75.0	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	3	2004-07-19 10:45:00	CDT	Yes	vcw	USGS	10.08	77.3	 1.0	0.00		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		77.3	79.5	52.9	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	4	2004-07-20 10:13:00	CDT	Yes	vcw	USGS	9.92	62.7	 1.0	0.00		GOOD	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		62.7	78.5	43.9	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	5	2004-07-20 10:14:00	CDT	Yes	gsn	USGS	9.92	60.2	 1.0	0.00		GOOD	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		60.2	78.5	45.1	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	6	2004-08-02 06:20:00	CDT	Yes	vcw	USGS	9.79	40.0	 1.0	0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.0	76.5	35.9	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	7	2004-09-13 07:40:00	CDT	Yes	vcw	USGS	9.67	29.4	 1.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		29.4	74.0	29.3	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	8	2005-02-02 11:45:00	CST	Yes	vcw	USGS	9.60	58.7	 2.0			GOOD	0.00	0.90	SICE	MEAS	1	Unspecified	WADE	QUNSP		58.7	82.5	53.9	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	9	2005-03-03 10:36:00	CST	Yes	gsn	USGS	9.62	61.5	 2.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		61.5	86.0	50.1	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	10	2005-04-08 08:40:00	CDT	Yes	vcw	USGS	9.43	45.5	 2.0	0.00		GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		45.5	87.0	44.5	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	11	2005-05-31 10:50:00	CDT	Yes	gsn	USGS	9.42	43.2	 2.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.2	78.0	38.3	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	12	2005-06-17 07:32:00	CDT	Yes	vcw	USGS	9.50	51.2	 2.0	0.00		GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		51.2	95.0	45.8	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	13	2005-07-07 08:06:00	CDT	Yes	vcw	USGS	9.40	36.8	 2.0	0.00		GOOD	-0.01	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.8	94.0	36.9	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	14	2005-07-18 07:46:00	CDT	Yes	mja	USGS	10.12	145.0	 2.0	0.00	-0.600	GOOD	-0.21	1.03	CLER	MEAS	1	Unspecified	WADE	QUNSP		145.0	108	103	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	15	2005-07-26 10:10:00	CDT	Yes	gsn/vcw	USGS	13.57	1680	 2.0			GOOD	-0.42	1.17		OTHR	1	Unspecified	CRAN	QUNSP		1680	175	836	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	16	2005-09-07 14:36:00	CDT	Yes	gsn	USGS	9.38	28.2	 2.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		28.2	75.0	31.0	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	17	2005-10-12 10:44:00	CDT	Yes	mja	USGS	9.97	107.0	 2.0	-0.060	-0.400	GOOD	-0.04	0.50	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	107.0	103	85.4	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	18	2005-12-06 12:22:00	CST	Yes	mja/jec	USGS	9.64	44.4	 2.0		-12.4	GOOD	0.00	1.10	SICE	MEAS	1	Unspecified	WADE	QUNSP		44.4	75.0	54.7	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	19	2006-01-13 11:11:00	CST	Yes	pab	USGS	9.55	39.4	 2.0	-0.140	-1.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	39.4	83.0	40.8	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	20	2006-02-27 16:07:00	CST	Yes	gsn	USGS	9.48	38.9	 2.0	-0.080	0.300	FAIR	-0.01	0.90	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	38.9	64.0	31.9	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	21	2006-04-11 11:58:00	CDT	Yes	gsn	USGS	9.57	50.0	 2.0	-0.070	1.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	50.0	47.0	40.4	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	22	2006-05-16 09:40:00	CDT	Yes	gsn	USGS	9.53	47.0	 2.0	-0.050	-0.600	FAIR	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	47.0	68.5	42.7	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	23	2006-08-30 07:55:00	CDT	Yes	pab	USGS	9.40	33.5	 2.0	-0.060	1.20	GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.5	54.0	34.1	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	24	2006-10-20 10:56:00	CDT	Yes	mja	USGS	9.37	34.1	 2.0	-0.040	6.00	FAIR	0.00	0.20	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	34.1	69.0	32.2	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	25	2006-12-15 12:13:00	CST	Yes	gsn	USGS	9.45	36.4	 2.0	-0.070	-1.40	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	36.4	66.0	37.9	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	26	2006-12-26 13:49:00	CST	Yes	gsn/jdm	USGS	9.33	25.1	 2.0	-0.080	-0.800	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	25.1	64.0	31.0	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	27	2007-01-05 13:09:00	CST	Yes	gsn/msc	USGS	9.95	126.0	 2.0	0.030	5.30	GOOD	0.00		CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	126.0	114	81.8	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803495	28	2007-01-11 11:14:00	CST	Yes	gns	USGS	9.57	51.3	 2.0	-0.050	-1.00	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	51.3	78.0	55.9	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
