#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:42 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06803500 Salt Creek at Lincoln, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06803500	1	1942-05-11		Yes	Carstens	USGS	24.46	19300				UNSP				UNSP	1		WADE	QSCMM	VPAA	19300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	4	1942-05-12		Yes	Catstens	USGS	12.09	3420				UNSP				UNSP	1		UNSP	QSCMM	VPAA	3420				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	6	1942-05-14		Yes	Carstens	USGS	5.69	205				UNSP				UNSP	1		UNSP	QSCMM	VPAA	205				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	7	1949-06-24		Yes	Schaefer	USGS	7.63	1340				UNSP				UNSP	1		UNSP	QSCMM	VPAA	1340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	8	1949-06-29		Yes	Burns	USGS	11.83	5520				UNSP				UNSP	1		UNSP	QSCMM	VPAA	5520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	9	1949-07-07		Yes	Jones	USGS	5.01	116				UNSP				UNSP	1		UNSP	QSCMM	VPAA	116				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	10	1949-07-15		Yes	Jones	USGS	5.30	201				UNSP				UNSP	1		UNSP	QSCMM	VPAA	201				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	11	1949-07-22		Yes	Jones	USGS	4.85	102				UNSP				UNSP	1		UNSP	QSCMM	VPAA	102				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	12	1949-08-05		Yes	Burnmeis	USGS	4.62	77.2				UNSP				UNSP	1		UNSP	QSCMM	VPAA	77.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	13	1949-08-26		Yes	Burnmeis	USGS	4.42	43.4				UNSP				UNSP	1		UNSP	QSCMM	VPAA	43.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	14	1949-09-08		Yes	Philipse	USGS	5.31	200				UNSP				UNSP	1		UNSP			200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	15	1949-09-22		Yes	Burns	USGS	4.56	62.3				UNSP	0.09			UNSP	1		UNSP	QSCMM	VPAA	62.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	16	1949-10-06		Yes	Burns	USGS	4.61	62.0				UNSP	0.04			UNSP	1		UNSP	QSCMM	VPAA	62.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	17	1949-10-26		Yes	Philipse	USGS	4.62	66.8				UNSP	0.06			UNSP	1		UNSP	QSCMM	VPAA	66.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	18	1949-11-09		Yes	CVB	USGS	4.64	71.5				UNSP	0.07			UNSP	1		UNSP	QSCMM	VPAA	71.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	19	1949-11-21		Yes	GEP	USGS	4.61	51.5				UNSP	-0.03			UNSP	1		UNSP	QSCMM	VPAA	51.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	20	1949-12-07		Yes	CVB	USGS	4.61	52.9				UNSP	-0.02			UNSP	1		UNSP	QSCMM	VPAA	52.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	21	1949-12-22		Yes	Burnmeis	USGS	4.72	71.0				UNSP	-0.01			UNSP	1		UNSP	QSCMM	VPAA	71.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	22	1950-01-18		Yes	GEP	USGS	4.62	52.8				UNSP	-0.03			UNSP	1		UNSP	QSCMM	VPAA	52.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	23	1950-02-02		Yes	Brenny	USGS	4.61	54.4				UNSP	-0.01			UNSP	1		UNSP	QSCMM	VPAA	54.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	24	1950-02-14		Yes	ILB	USGS	4.78	85.1				UNSP	0.01			UNSP	1		UNSP	QSCMM	VPAA	85.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	25	1950-03-03		Yes	JBB	USGS	5.01	124				UNSP	-0.01			UNSP	1		UNSP	QSCMM	VPAA	124				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	26	1950-03-14		Yes	ILB	USGS	4.74	96.8				UNSP	0.11			UNSP	1		UNSP	QSCMM	VPAA	96.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	27	1950-03-30		Yes	JBB	USGS	4.68	72.8				UNSP	0.04			UNSP	1		UNSP	QSCMM	VPAA	72.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	28	1950-04-13		Yes	JBB	USGS	4.58	60.4				UNSP	0.06			UNSP	1		UNSP	QSCMM	VPAA	60.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	29	1950-04-25		Yes	JBB	USGS	4.61	69.6				UNSP	0.09			UNSP	1		UNSP	QSCMM	VPAA	69.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	30	1950-05-05		Yes	Hungate	USGS	7.48	1390				UNSP	0.70			UNSP	1		UNSP	QSCMM	VPAA	1390	211	625	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	31	1950-05-09		Yes	Brenny	USGS	25.94	28500				UNSP	0.40			UNSP	1		UNSP	QSCMM	VPAA	28500	197	3910	7.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	35	1950-05-10		Yes	Burns	USGS	9.46	1990				UNSP	-0.23			UNSP	1		UNSP	QSCMM	VPAA	1990				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	36	1950-05-11		Yes	Burns	USGS	6.20	434				UNSP	-0.03			UNSP	1		UNSP	QSCMM	VPAA	434				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	37	1950-05-18		Yes	Burns	USGS	4.96	103				UNSP	0.24			UNSP	1		UNSP	QSCMM	VPAA	103				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	38	1950-05-24		Yes	Hungate	USGS	4.89	92.8				UNSP	0.26			UNSP	1		UNSP	QSCMM	VPAA	92.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	39	1950-06-06		Yes	Hungate	USGS	4.93	85.8				UNSP	0.19			UNSP	1		UNSP	QSCMM	VPAA	85.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	40	1950-06-22		Yes	Hungate	USGS	4.85	63.8				UNSP	0.15			UNSP	1		UNSP	QSCMM	VPAA	63.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	41	1950-07-03		Yes	Hungate	USGS	4.71	43.0				UNSP	0.15			UNSP	1		UNSP	QSCMM	VPAA	43.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	42	1950-08-03		Yes	Blessum	USGS	5.15	92.0				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	92.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	43	1950-08-24		Yes	JDH	USGS	4.83	41.5				UNSP	0.02			UNSP	1		UNSP	QSCMM	VPAA	41.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	44	1950-09-07		Yes	JDH	USGS	4.81	43.4				UNSP	0.06			UNSP	1		UNSP	QSCMM	VPAA	43.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	45	1950-09-13		Yes	JBB	USGS	4.80	41.5				UNSP	0.05			UNSP	1		UNSP	QSCMM	VPAA	41.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	46	1950-09-21		Yes	JDH	USGS	7.46	1120				UNSP	0.18			UNSP	1		UNSP	QSCMM	VPAA	1120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	47	1950-10-02		Yes	Burnmeis	USGS	9.06	1890				UNSP	0.01			UNSP	1		UNSP	QSCMM	VPAA	1890				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06803500	48	1950-10-11		Yes	Brenny	USGS	5.08	62.2				UNSP	-0.09			UNSP	1		UNSP	QSCMM	VPAA	62.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
