#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:09:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09498500 SALT RIVER NEAR ROOSEVELT, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09498500	793	1978-03-01		Yes	HWH/LLW	USGS	25.00			0.00		POOR				UNSP																	
USGS	09498500	794	1978-03-01		Yes	LLW/HWH	USGS	22.14			0.00		POOR				UNSP																	
USGS	09498500	795	1978-03-02		Yes	HWH/LLW	USGS	27.15			0.00		POOR				UNSP																	
USGS	09498500	796	1978-03-02		Yes	HWH/LLW	USGS	27.20	66000		0.00		UNSP				MEAS	1	Unspecified	UNSP			66000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09498500	798	1978-03-03		Yes	HWH/LLW	USGS	22.91	48600		0.00		FAIR				MEAS	1	Unspecified	UNSP			48600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09498500	797	1978-03-03		Yes	HWH/LLW	USGS	22.99	42000		0.00		UNSP				UNSP	1	Unspecified	UNSP			42000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09498500	827	1979-03-29		Yes	PHX	USGS	15.16	17200		0.00		POOR				MEAS	1	Unspecified	UNSP			17200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09498500	946	1984-09-26		Yes	HWS	USGS	6.87	658.0	12.0	0.750		GOOD	0.32	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		658.0		242	2.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09498500	947	1984-10-09		Yes	WLJ	USGS	7.36	973.0	12.0	0.630		FAIR	-0.01	1.67	CLER	MEAS	1	Unspecified	CRAN	QUNSP		973.0	145	386	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
