#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:01 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11254000 SAN JOAQUIN R NR MENDOTA CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11254000	1	1999-11-17 15:00:00	PST	Yes	WBB/DAG	USGS	3.39	147.0	 1.0	-0.040	0.100	POOR	0.00	1.50		MEAS	1	Unspecified	WADE	QUNSP		147.0	124	64.9	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	2	1999-11-18 08:00:00	PST	Yes	WBB/DAG	USGS	3.50	170.0	 1.0	-0.010	-0.100	FAIR	0.08	1.25		MEAS	1	Unspecified	WADE	QUNSP		170.0	151	91.3	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	3	1999-12-06 12:25:00	PST	Yes	DAG/SAH	USGS	2.05	5.15	 1.0	0.00	0.600	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		5.15	9.10	3.97	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	4	2000-02-11 09:00:00	PST	Yes	DAG	USGS	3.95	248.0	 1.0	-0.020	-0.200	GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		248.0	120	205	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	5	2000-03-09 16:45:00	PST	Yes	KES	USGS	3.72	206.0	 1.0	-0.020	0.00	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		206.0	114	177	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	6	2000-04-06 09:46:00	PDT	Yes	KES	USGS	3.94	254.0	 1.0	0.020	0.00	GOOD	0.05	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		254.0	112	207	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	7	2000-05-24 11:40:00	PDT	Yes	MCS/SAH	USGS	4.29	312.0	 1.0	-0.040	-0.100	GOOD	0.02	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		312.0	100	282	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	8	2000-06-28 13:10:00	PDT	Yes	SWA/WRB	USGS	5.78	641.0	 1.0	-0.180	0.200	GOOD	0.05	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		641.0	115	556	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11254000	9	2000-08-09 13:15:00	PDT	Yes	SWA/WRB	USGS	4.96	467.0	 1.0	-0.030	0.200	GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	BOAT	QUNSP		467.0	114	481	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
