#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:08 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11274000 SAN JOAQUIN R NR NEWMAN CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11274000	1	1912-04-30		Yes	BAR/BAR	USGS	1.87	491.0		0.00		UNSP				MEAS	1	Unspecified	UNSP			491.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	2	1912-05-16		Yes	BAR/BAR	USGS	7.15	3220		0.00		UNSP				MEAS	1	Unspecified	UNSP			3220				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	3	1912-06-12		Yes	BAR/BAR	USGS	14.40	7150		0.00		UNSP				MEAS	1	Unspecified	UNSP			7150				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	4	1912-07-19		Yes	BAR/BAR	USGS	2.00	333.0		0.00		UNSP				MEAS	1	Unspecified	UNSP			333.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	5	1912-08-21		Yes	BAR/BAR	USGS	0.85	105.0		0.00		UNSP				MEAS	1	Unspecified	UNSP			105.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	6	1912-10-10		Yes	RCR/RCR	USGS	0.45	56.0		0.00		UNSP				MEAS	1	Unspecified	UNSP			56.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	11	1913-11-05		Yes	LEE/LEE	USGS	1.25	80.0		0.00		UNSP	0.00			MEAS	1	Unspecified	UNSP			80.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	12	1914-02-06		Yes	LEI/LEI	USGS		12300		0.00		UNSP	0.05			MEAS	1	Unspecified	UNSP			12300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	13	1914-03-30		Yes	LEI/LEI	USGS		6170		0.00		UNSP	-0.05			MEAS	1	Unspecified	UNSP			6170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	14	1914-08-25		Yes	LEI/LEI	USGS	3.65	626.0		0.00		UNSP	-0.02			MEAS	1	Unspecified	UNSP			626.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	15	1914-10-14		Yes	RCR/RCR	USGS	2.12	219.0		0.00		UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			219.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	16	1915-02-01		Yes	LEI/LEI	USGS	7.70	3830		0.00		UNSP	0.20	2.30		MEAS	1	Unspecified	UNSP			3830				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	17	1915-04-01		Yes	LEI/LEI	USGS	8.00	4090		0.00		UNSP	0.02	2.50		MEAS	1	Unspecified	UNSP			4090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	18	1915-08-28		Yes	LEI/LEI	USGS	2.65	272.0		0.00		UNSP	0.00	0.66		MEAS	1	Unspecified	UNSP			272.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	19	1915-09-25		Yes	LEI/LEI	USGS	2.14	173.0		0.00		UNSP	0.00	0.50		MEAS	1	Unspecified	UNSP			173.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	20	1916-02-02		Yes	HDM/HDM	USGS	16.10	16300		0.00		UNSP	-0.10	4.00		MEAS	1	Unspecified	UNSP			16300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	21	1916-08-11		Yes	LEI/LEI	USGS	5.30	1720		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	UNSP			1720				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	22	1916-09-05		Yes	KUN/KUN	USGS	3.20	563.0		0.00		UNSP	-0.02	2.30		MEAS	1	Unspecified	UNSP			563.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	23	1916-09-25		Yes	LEI/LEI	USGS	2.16	252.0		0.00		UNSP	0.00	0.66		MEAS	1	Unspecified	UNSP			252.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	24	1916-11-06		Yes	LEI/LEI	USGS	3.50	910.0		0.00		UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			910.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	25	1916-12-02		Yes	KUN/KUN	USGS	3.22	799.0		0.00		UNSP	0.00	1.75		MEAS	1	Unspecified	UNSP			799.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11274000	26	1917-01-23		Yes	KUN/KUN	USGS	4.50	1640		0.00		UNSP	-0.02	2.80		MEAS	1	Unspecified	UNSP			1640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
