#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09342500 SAN JUAN RIVER AT PAGOSA SPRINGS, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09342500	728	1984-08-08		Yes	JWB	USGS	1.98	156.0	15.0	0.00		GOOD			HVDB	MEAS	1	Unspecified	WADE	QUNSP		156.0	59.0	66.6	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	729	1984-10-11		Yes	JWB	USGS	2.20	213.0	15.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		213.0	67.0	76.3	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	730	1984-11-29		Yes	JWB/DWG	USGS	1.86	114.0	15.0	0.00		GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		114.0	61.0	55.0	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	731	1985-01-10		Yes	DWG	USGS	1.82	104.0	15.0	0.00		GOOD	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		104.0	58.0	49.2	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	732	1985-03-27		Yes	JWB/ JK	USGS	2.42	337.0	15.0	0.00		FAIR	-0.03	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		337.0	86.0	137	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	733	1985-04-08		Yes	JWB	USGS	3.66	1080	15.0	0.00		GOOD	0.06	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1080	107	267	4.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	734	1985-05-09		Yes	JWB	USGS	5.56	2640	15.0	0.00		GOOD	-0.03	1.20		MEAS	1	Unspecified	CWAY	QUNSP		2640	119	442	5.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	735	1985-05-30		Yes	JWB	USGS	5.53	2710	15.0	0.00		GOOD	-0.04	1.20		MEAS	1	Unspecified	CWAY	QUNSP		2710	108	437	6.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09342500	736	1985-06-11		Yes	JWB	USGS	5.91	3060	15.0	0.00		GOOD	-0.06	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3060	118	483	6.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
