#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:29 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09365000 SAN JUAN RIVER AT FARMINGTON, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09365000	1742	1970-09-22		Yes	MCC	USGS	3.00	2900	14.0	-0.030		GOOD	0.00	0.80		MEAS	1	Unspecified	UNSP			2900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1743	1970-10-01		Yes	MCC	USGS	2.66	2250	14.0	-0.080		GOOD				MEAS	1	Unspecified	UNSP			2250				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1744	1970-10-13		Yes	MCC	USGS	2.55	2210	14.0	0.00		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			2210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1745	1970-10-26		Yes	MAD/ORT	USGS	2.52	2360	14.0	0.120		GOOD	0.02	0.75		MEAS	1	Unspecified	UNSP			2360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1746	1970-11-03		Yes	MCC	USGS	2.48	2050	14.0	-0.030		GOOD	0.01	0.60		MEAS	1	Unspecified	UNSP			2050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1747	1970-11-23		Yes	MCC	USGS	2.49	2190	14.0	0.050		GOOD	-0.01	0.50		MEAS	1	Unspecified	UNSP			2190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1748	1970-12-01		Yes	MCC	USGS	2.54	2220	14.0	0.010		GOOD	0.00	0.70		MEAS	1	Unspecified	UNSP			2220				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1749	1971-01-09		Yes	MCC	USGS	2.81	2240	14.0	-0.240		GOOD	-0.01	0.80		MEAS	1	Unspecified	UNSP			2240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1750	1971-01-25		Yes	MCC	USGS	3.26	2780	14.0	-0.360		GOOD	0.02	0.70		MEAS	1	Unspecified	UNSP			2780				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1751	1971-02-01		Yes	MCC	USGS	3.30	2980	14.0	-0.280		GOOD	-0.01	0.80		MEAS	1	Unspecified	UNSP			2980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1752	1971-02-17		Yes	MCC	USGS	1.72	957.0	14.0	-0.060		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			957.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1753	1971-03-02		Yes	MCC	USGS	3.26	3040	14.0	-0.210		GOOD	0.02	1.00		MEAS	1	Unspecified	UNSP			3040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1754	1971-03-17		Yes	MCC	USGS	1.77	980.0	14.0	-0.090		GOOD	0.00	0.70		MEAS	1	Unspecified	UNSP			980.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1755	1971-03-26		Yes	MCC	USGS	1.79	1040	14.0	-0.060		GOOD	-0.01	0.60		MEAS	1	Unspecified	UNSP			1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1756	1971-04-02		Yes	MCC	USGS	2.00	1180	14.0	-0.150		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			1180				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1757	1971-04-14		Yes	MCC	USGS	2.03	1300	14.0	-0.090		GOOD	-0.01	0.75		MEAS	1	Unspecified	UNSP			1300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1758	1971-05-03		Yes	MCC	USGS	1.32	627.0	14.0	0.020		GOOD	0.00	0.70		MEAS	1	Unspecified	UNSP			627.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1759	1971-05-24		Yes	MCC	USGS	2.09	1350	14.0	-0.110		GOOD	0.00	0.70		MEAS	1	Unspecified	UNSP			1350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1760	1971-06-01		Yes	MCC	USGS	2.36	1640	14.0	-0.180		GOOD	0.00	0.75		MEAS	1	Unspecified	UNSP			1640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1761	1971-06-09		Yes	MCC	USGS	2.95	2670	14.0	-0.130	-1.10	GOOD	0.04	0.75		MEAS	1	Unspecified	UNSP			2670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1762	1971-06-17		Yes	MCC	USGS	3.04	2590	14.0	-0.250		GOOD	-0.02	0.95		MEAS	1	Unspecified	UNSP			2590				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1763	1971-06-23		Yes	MCC	USGS	3.15	2670	14.0	-0.310		GOOD	0.03	0.90		MEAS	1	Unspecified	UNSP			2670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1764	1971-07-01		Yes	MCC	USGS	2.34	1640	14.0	-0.160		GOOD	-0.02	0.90		MEAS	1	Unspecified	UNSP			1640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1765	1971-07-13		Yes	MCC	USGS	1.77	1010	14.0	-0.060		GOOD	0.00	0.60		MEAS	1	Unspecified	UNSP			1010				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1792	1971-07-21		Yes	MCC	USGS	1.00	414.0	14.0	0.120		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			414.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1766	1971-07-26		Yes	MCC	USGS	1.61	962.0	14.0	0.060		GOOD	0.00	0.60		MEAS	1	Unspecified	UNSP			962.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1767	1971-08-03		Yes	MCC	USGS	1.31	638.0	14.0	0.040		GOOD	-0.01	0.50		MEAS	1	Unspecified	UNSP			638.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1768	1971-08-25		Yes	MCC	USGS	2.23	1600	14.0	-0.080		GOOD	0.36	1.00		MEAS	1	Unspecified	UNSP			1600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1769	1971-09-08		Yes	MCC	USGS	2.06	1390	14.0	-0.050		GOOD	-0.07	0.70		MEAS	1	Unspecified	UNSP			1390				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1770	1971-09-22		Yes	MCC	USGS	1.30	560.0	14.0	-0.030		GOOD	0.00	0.55		MEAS	1	Unspecified	UNSP			560.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1771	1971-10-01		Yes	MCC	USGS	2.64	2330	14.0	-0.010		FAIR	0.01	0.75		MEAS	1	Unspecified	UNSP			2330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1772	1971-10-15		Yes	MCC	USGS	1.57	802.0	14.0	-0.060		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			802.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1773	1971-10-29		Yes	MCC	USGS	1.61	887.0	14.0	-0.010		FAIR	0.00	0.60		MEAS	1	Unspecified	UNSP			887.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1774	1971-11-17		Yes	MCC	USGS	1.52	705.0	14.0	-0.100		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			705.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1775	1971-11-29		Yes	MCC	USGS	1.42	653.0	14.0	-0.060		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			653.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1776	1971-12-14		Yes	MCC	USGS	2.20	1560	14.0	-0.070		GOOD	0.01	0.60		MEAS	1	Unspecified	UNSP			1560				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1777	1972-01-03		Yes	MCC	USGS	2.51	2020	14.0	-0.080		GOOD	0.00	0.75		MEAS	1	Unspecified	UNSP			2020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1778	1972-01-10		Yes	MCC	USGS	2.46	1930	14.0	-0.080		GOOD	-0.01	0.55		MEAS	1	Unspecified	UNSP			1930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1779	1972-01-28		Yes	MCC	USGS	2.35	1930	14.0	0.020		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			1930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1780	1972-02-10		Yes	MCC	USGS	2.46	1870	14.0	-0.120		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			1870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1781	1972-02-28		Yes	MCC	USGS	2.52	1870	14.0	-0.180		GOOD	0.01	0.90		MEAS	1	Unspecified	UNSP			1870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1782	1972-03-20		Yes	MCC	USGS	2.76	2220	14.0	-0.200		FAIR	0.01	0.90		MEAS	1	Unspecified	UNSP			2220				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1783	1972-03-30		Yes	MCC	USGS	2.58	1940	14.0	-0.200		GOOD	0.00	0.55		MEAS	1	Unspecified	UNSP			1940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1784	1972-04-12		Yes	MCC	USGS	1.73	1010	14.0	-0.020		GOOD	0.01	0.70		MEAS	1	Unspecified	UNSP			1010				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1785	1972-04-28		Yes	MCC	USGS	1.89	1060	14.0	-0.140		GOOD	-0.01	0.55		MEAS	1	Unspecified	UNSP			1060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1786	1972-05-11		Yes	MCC	USGS	1.82	1100	14.0	-0.040		FAIR	0.01	0.70		MEAS	1	Unspecified	UNSP			1100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1787	1972-05-24		Yes	MCC	USGS	2.18	1460	14.0	-0.120		FAIR	0.00	0.75		MEAS	1	Unspecified	UNSP			1460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1788	1972-05-30		Yes	MCC	USGS	2.86	2340	14.0	-0.230		FAIR	2.00	0.75		MEAS	1	Unspecified	UNSP			2340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1789	1972-06-13		Yes	MCC	USGS	2.73	2050	14.0	-0.280		GOOD	-0.02	0.75		MEAS	1	Unspecified	UNSP			2050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1790	1972-06-21		Yes	MCC	USGS	1.98	1190	14.0	-0.120		GOOD	-0.01	0.60		MEAS	1	Unspecified	UNSP			1190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1791	1972-06-29		Yes	MCC	USGS	1.61	882.0	14.0	-0.020		GOOD	-0.01	0.55		MEAS	1	Unspecified	UNSP			882.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1793	1972-07-31		Yes	MCC	USGS	1.19	460.0	14.0	-0.020		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			460.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1794	1972-08-17		Yes	MCC	USGS	1.11	454.0	14.0	0.050		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			454.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1795	1972-09-01		Yes	MCC	USGS	1.61	734.0	14.0	-0.170		GOOD	0.01	0.50		MEAS	1	Unspecified	UNSP			734.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1796	1972-09-12		Yes	MCC	USGS	2.94	2490	14.0	-0.210		FAIR	-0.14	1.00		MEAS	1	Unspecified	UNSP			2490				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1797	1972-09-21		Yes	MCC	USGS	2.15	1340	14.0	-0.180		GOOD	-0.01	0.70		MEAS	1	Unspecified	UNSP			1340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1798	1972-10-01		Yes	MCC	USGS	1.24	471.0	14.0	-0.060		GOOD	0.00	0.45		MEAS	1	Unspecified	UNSP			471.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1799	1972-10-12		Yes	MCC	USGS	1.89	1090	14.0	-0.110		GOOD	0.01	0.55		MEAS	1	Unspecified	UNSP			1090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1800	1972-10-20		Yes	SCH	USGS	6.84	10600	14.0	-0.540		GOOD	-0.03	1.50		MEAS	1	Unspecified	UNSP			10600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1801	1972-10-21		Yes	MAD	USGS	4.26	5110	14.0	-0.060		GOOD	-0.10	1.00		MEAS	1	Unspecified	UNSP			5110				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1802	1972-10-26		Yes	MAD	USGS	2.56	2200	14.0	-0.010		GOOD	-0.01	0.70		MEAS	1	Unspecified	UNSP			2200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1803	1972-11-01		Yes	SCH	USGS	2.43	1790	14.0	-0.150		GOOD	0.00	1.25		MEAS	1	Unspecified	UNSP			1790				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1804	1972-11-16		Yes	SCH	USGS	2.10	1400	14.0	-0.080		GOOD	-0.01	1.00		MEAS	1	Unspecified	UNSP			1400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1805	1972-12-20		Yes	SCH	USGS	2.21	150.0	14.0	-0.020		GOOD	0.01	0.55		MEAS	1	Unspecified	UNSP			150.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1806	1972-12-28		Yes	SCH	USGS	2.28	1700	14.0	-0.060		GOOD	0.02	0.50		MEAS	1	Unspecified	UNSP			1700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1807	1973-01-11		Yes	MCC	USGS	2.24	1630	14.0	-0.060		GOOD	0.01	0.75		MEAS	1	Unspecified	UNSP			1630				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1808	1973-01-31		Yes	MCC	USGS	2.46	1980	14.0	-0.060		GOOD	-0.01	0.60		MEAS	1	Unspecified	UNSP			1980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1809	1973-02-28		Yes	MCC	USGS	3.62	3930	14.0	-0.050		GOOD	-0.08	1.00		MEAS	1	Unspecified	UNSP			3930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1810	1973-04-02		Yes	MCC	USGS	2.38	1600	14.0	-0.230		GOOD	0.01	0.55		MEAS	1	Unspecified	UNSP			1600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1811	1973-04-16		Yes	MCC	USGS	2.68	2020	14.0	-0.250		GOOD	-0.04	0.75		MEAS	1	Unspecified	UNSP			2020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1812	1973-04-26		Yes	MCC	USGS	2.88	2330	14.0	-0.250		GOOD	0.01	0.75		MEAS	1	Unspecified	UNSP			2330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1813	1973-05-15		Yes	MCC	USGS	5.08	6690	14.0	-0.200		GOOD	0.02	0.75		MEAS	1	Unspecified	UNSP			6690				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1814	1973-06-01		Yes	MCC	USGS	4.55	6290	14.0	16.0		GOOD	0.01	0.75		MEAS	1	Unspecified	UNSP			6290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1815	1973-06-12		Yes	ORR/MCC	USGS	6.31	8910	14.0	-0.600		GOOD	-0.01	1.00		MEAS	1	Unspecified	UNSP			8910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09365000	1816	1973-06-22		Yes	MCC	USGS	5.00	7300	14.0	0.130		GOOD	0.03	0.70		MEAS	1	Unspecified	UNSP			7300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
