#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:51 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09471040 SAN PEDRO RIVER AT CHARLESTON MESQUITE TRANSECT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09471040	1	2001-07-07 12:20:00	MST	Yes	jhh/dw	USGS	4.41	3.39		0.00		FAIR	0.00	1.10		MEAS	1	Unspecified	WADE	QUNSP		3.39	17.1	5.09	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	2	2001-07-12 14:10:00	MST	Yes	JHH	USGS	5.59	2.34		0.00		POOR	0.00	1.00		MEAS	1	Unspecified	WADE	QUNSP		2.34	12.9	6.75	0.350	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	3	2001-07-25 09:20:00	MST	Yes	JB	USGS	5.06	35.6		0.00		GOOD	-0.02	0.80		MEAS	1	Unspecified	WADE	QUNSP		35.6	16.3	15.9	2.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	4	2001-08-01 14:15:00	MST	Yes	JHH/JC	USGS	5.37	74.3		0.00		FAIR	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		74.3	17.0	20.9	3.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	5	2001-08-02 10:00:00	MST	Yes	JHH/JC	USGS	5.27	59.5		0.00		FAIR	0.05	1.00		MEAS	1	Unspecified	WADE	QUNSP		59.5	17.5	21.6	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	6	2001-08-15 15:30:00	MST	Yes	JHH	USGS	4.88	244.0		0.00		GOOD	0.02	1.00		MEAS	1	Unspecified	WADE	QUNSP		244.0	84.0	138	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	7	2001-11-01 16:30:00	MST	Yes	JHH	USGS	3.41	2.91		0.00		POOR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.91	11.5	7.66	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	8	2002-03-14 11:00:00	MST	Yes	JH	USGS	1.18	14.1		0.00		POOR	-0.02	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.1	18.6	12.2	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	9	2002-04-18 10:00:00	MST	Yes	JH/RS	USGS	4.02	7.41		0.00		GOOD	-0.01	1.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.41	15.4	7.24	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	10	2002-06-06 11:00:00	MST	Yes	FCB/JC	USGS	3.65	0.940		0.00		FAIR	-0.01	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.940	12.9	4.79	0.200	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	11	2002-06-06 12:30:00	MST	Yes	FCB/JC	USGS	3.64	0.870		0.00		FAIR	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.870	12.8	4.73	0.180	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471040	12	2002-07-24 13:00:00	MST	Yes	FCB	USGS	4.07	2.42		0.00		FAIR	-0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.42	13.4	7.94	0.300	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
