#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:52 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09471070 SAN PEDRO RIVER AT BOQUILLAS-UA TRANSECT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09471070	2	2000-07-07 14:20:00	MST	Yes	DWE/JHH	USGS	4.18	2.07		0.00		POOR	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		2.07	11.3	1.89	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	3	2001-07-12 16:00:00	MST	Yes	JHH	USGS	4.13	2.46		0.00		POOR	-0.01	0.75		MEAS	1	Unspecified	WADE	QUNSP		2.46	10.6	2.46	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	4	2001-07-25 11:10:00	MST	Yes	JHH/JB	USGS	4.95	37.2		0.00		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		37.2	26.7	22.3	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	5	2001-08-01 17:00:00	MST	Yes	JHH/JC	USGS	4.70	64.0		0.00		FAIR	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		64.0	23.0	26.9	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	6	2001-08-15 17:00:00	MST	Yes	JHH	USGS	6.10	226.2		0.00		FAIR	0.40	1.00		MEAS	1	Unspecified	WADE	QUNSP		226.2	62.0	107	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	7	2001-10-16 16:45:00	MST	Yes	JHH	USGS	3.85	2.61		0.00		POOR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		2.61	10.0	2.60	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	8	2002-03-14 13:00:00	MST	Yes	JH	USGS	4.60	12.6		0.00		POOR	-0.10	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		12.6	11.1	18.8	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	9	2002-04-18 13:00:00	MST	Yes	JH /RS	USGS	4.37	5.60		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		5.60	14.5	7.93	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09471070	10	2002-06-06 08:15:00	MST	Yes	FCB/JC	USGS	3.91	0.290		0.00		POOR	0.00	1.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.290	6.20	1.12	0.270	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
