#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:11:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09472000 SAN PEDRO RIVER NR REDINGTON, ARIZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09472000	606	1964-07-22 12:00:00	MST	Yes	BT/DC/PH	USGS	13.96	3980				FAIR			UNSP	UNSP	1		UNSP			3980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	607	1965-12-22 12:00:00	MST	Yes	TD/DC/GC	USGS	13.45	5020				POOR			UNSP	UNSP	1		UNSP			5020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	501	1981-10-19		Yes	SCJ	USGS	7.15	1.45	 7.0	0.00		GOOD	0.00	0.25		MEAS	1	Unspecified	WADE	QUNSP		1.45	5.70	1.80	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	501A	1981-12-15		Yes	SCJ	USGS		0.000		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	502	1982-02-04		Yes	SCJ	USGS	7.48	2.33		0.00		FAIR	0.00	0.33		MEAS	1	Unspecified	WADE	QUNSP		2.33	10.0	1.98	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	502A	1982-03-09		Yes	SCJ	USGS		0.000		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	502B	1982-04-07		Yes	SCJ	USGS		0.000		0.00		POOR				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	502C	1982-04-19		Yes	KH	USGS		0.970		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		0.970	3.90	2.52	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	503	1982-05-03		Yes	SCJ	USGS	8.70	360.0		0.00		UNSP				MEAS	1	Unspecified	UNSP			360.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	503A	1982-05-28		Yes	SCJ	USGS		0.000		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	503B	1982-06-02		Yes	SCJ	USGS				0.00		UNSP				UNSP																	
USGS	09472000	504	1982-07-28		Yes	SB	USGS	7.76	31.8		0.00		GOOD	-0.02	0.58		MEAS	1	Unspecified	WADE	QUNSP		31.8	50.0	18.3	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	507	1982-08-12		Yes	SCJ	USGS	8.32	201.0	 8.0	0.230		FAIR	-0.07	0.33		MEAS	1	Unspecified	WADE	QUNSP		201.0	56.0	51.4	3.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	505	1982-08-12		Yes	SCJ	USGS	9.60	900.0		0.00		UNSP				UNSP	1	Unspecified	UNSP			900.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	506	1982-08-12		Yes	SCJ	USGS	8.61	283.0		0.00		FAIR	-0.07	0.33		MEAS	1	Unspecified	WADE	QUNSP		283.0	70.0	66.3	4.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	508	1982-08-15		Yes	SCJ	USGS	10.50	2700	 8.0	0.900		POOR				UNSP	1	Unspecified	UNSP			2700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	509	1982-08-17		Yes	SCJ	USGS	8.25	180.0	 8.0	0.250		FAIR	-0.05	0.28		MEAS	1	Unspecified	WADE	QUNSP		180.0	64.0	62.8	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	510	1982-08-25		Yes	SCJ	USGS	7.48	1.86		0.00		FAIR	-0.01	0.33		MEAS	1	Unspecified	WADE	QUNSP		1.86	10.0	2.14	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	511	1982-09-11		Yes	SCJ	USGS	14.75	8700		0.660		POOR				UNSP	1	Unspecified	UNSP			8700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	512	1982-09-13		Yes	SCJ	USGS	8.88	434.0	 8.0	0.090		FAIR	-0.03	0.42		MEAS	1	Unspecified	WADE	QUNSP		434.0	113	110	3.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	512A	1982-09-29		Yes	KH	USGS				0.00		UNSP				UNSP																	
USGS	09472000	512B	1982-11-03		Yes	SCJ	USGS				0.00		UNSP				UNSP																	
USGS	09472000	513	1982-12-13		Yes	SCJ	USGS	7.82	33.8	71.0	-1.21		FAIR	0.00	0.33		MEAS	1	Unspecified	WADE	QUNSP		33.8	42.0	16.2	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	513A	1983-01-24		Yes	SCJ	USGS				0.00		UNSP				UNSP																	
USGS	09472000	514	1983-02-01		Yes	SCJ	USGS	7.76	29.0	71.0	-1.23		FAIR	0.00	0.33		MEAS	1	Unspecified	WADE	QUNSP		29.0	33.0	12.6	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	515	1983-02-04		Yes	SCJ	USGS	10.50	2000	 8.0	0.300		UNSP				UNSP	1	Unspecified	OTHR	Q-EST		2000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	516	1983-02-14		Yes	SCJ	USGS	7.84	31.4	71.0	-1.27		FAIR	-0.01	0.25		MEAS	1	Unspecified	WADE	QUNSP		31.4	27.0	13.4	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	517	1983-03-15		Yes	SCJ	USGS	8.35	76.5	71.0	-1.30		FAIR	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		76.5	53.0	28.0	2.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	518	1983-04-07		Yes	SCJ	USGS	8.13	34.3	71.0	-1.51		FAIR	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		34.3	46.0	16.1	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	518A	1983-05-24		Yes	SCJ	USGS				0.00		UNSP				UNSP																	
USGS	09472000	518B	1983-07-12		Yes	SCJ/SB	USGS				0.00		UNSP				UNSP																	
USGS	09472000	519	1983-08-15		Yes	SCJ/JAC	USGS	8.14	8.64	71.0	-2.16		GOOD	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		8.64	12.1	4.60	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	520	1983-10-02		Yes	-	USGS	21.40	25400		0.00		UNSP				UNSP	1	Unspecified	OTHR	QIDIR		25400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09472000	521	1983-10-07		Yes	SCJ	USGS	10.47	317.0	 9.0	-0.670		GOOD	-0.01	0.42		MEAS	1	Unspecified	WADE	QUNSP		317.0	87.0	77.4	4.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
