#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:12:37 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05578000 SANGAMON RIVER AT PETERSBURG, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05578000	37	1966-04-27 14:30:00	CST	Yes	HCW	USGS	22.40	12900				UNSP				UNSP	1		BRUS	QSCMM	VPAA	12900	750	4990	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	38	1967-12-14 15:30:00	CST	Yes	PBJ	USGS	23.75	14800				UNSP				UNSP	1		BRUS	QSCMM	VPAA	14800	768	6080	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	43	1973-03-19 14:30:00	CST	Yes	SLW	USGS	21.38	12900				GOOD				UNSP	1		BRDS	QSCMM	VPAA	12900	495	4240	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	44	1974-01-23 13:30:00	CST	Yes	SLC/WWC	USGS	24.16	21700				UNSP				UNSP	1		BRDS	QSCMM	VPAA	21700	755	6670	3.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	46	1977-05-11 12:30:00	CST	Yes	DPM	USGS	24.12	17700				UNSP				UNSP	1		BRUS	QSCMM	VPAA	17700	756	6650	2.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	56	1979-03-06 13:00:00	CST	Yes	MLH/ADD	USGS	21.29	13400				UNSP				UNSP	1		BRDS	QSCMM	VPAA	13400	620	4080	3.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	57	1979-04-19 07:15:00	CST	Yes	MLH	USGS	26.08	22200				UNSP				UNSP	1		BRUS	QSCMM	VPAA	22200	760	7090	3.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	102	1985-10-29		Yes	ALB	USGS	6.55	909.0	 3.0	0.500	4.70	GOOD	0.02	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		909.0	147	466	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	103	1985-11-25		Yes	EEZ/TRL	USGS	25.58	23500	 3.0	1.90	4.40	GOOD	0.00	1.75	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		23500	793	7270	3.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	104	1985-12-10		Yes	ALB	USGS	13.02	5200	 3.0	0.00	1.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5200	232	1780	2.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	105	1986-01-23		Yes	ALB	USGS	7.30	1200	 3.0	0.500	-3.20	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1200	173	588	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	106	1986-03-19		Yes	ALB	USGS	9.60	2940	 3.0	0.500	4.10	GOOD	-0.01	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2940	216	1140	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	107	1986-04-16		Yes	ALB	USGS	7.03	1160	 3.0	0.500	5.20	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1160	171	595	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	108	1986-05-21		Yes	ALB	USGS	8.34	2090	 3.0	0.700	1.90	GOOD	-0.04	0.90	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		2090	190	884	2.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05578000	109	1986-07-08		Yes	ALB	USGS	7.27	1360	 3.0	0.700	2.20	GOOD	0.00	1.00	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		1360	173	618	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
