#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:12:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11074000 SANTA ANA R BL PRADO DAM CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11074000	2983	1982-03-19		Yes	LD	USGS	4.43	1170	20.0	0.00	19.0	FAIR	0.00	1.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1170	198	552	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	2984	1982-04-01		Yes	LD	USGS	5.16	2230	20.0	0.00	14.0	FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		2230	185	642	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3007	1983-02-28		Yes	JA	USGS	6.35	4600	20.0	0.00	-3.20	POOR	0.00	2.17	CLER	MEAS	1	Unspecified	CWAY	QUNSP		4600	232	1140	4.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3008	1983-03-04		Yes	JB	USGS	6.60	5560	20.0	0.00	0.00	FAIR	0.05	1.75	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5560	238	1350	4.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3009	1983-03-08		Yes	JA	USGS	4.46	1060	20.0	0.00	5.00	FAIR	0.01	1.17	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1060	80.0	620	1.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3011	1983-04-06		Yes	JA	USGS	4.56	1130	20.0	0.00	0.900	FAIR	0.01	1.08	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1130	95.0	654	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3013	1983-05-05		Yes	JA	USGS	4.90	1610	20.0	0.00	3.90	FAIR	0.01	1.17	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1610	90.0	696	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3015	1983-06-03		Yes	JA	USGS	4.43	1010	20.0	0.00	3.10	FAIR	0.37	1.08	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1010	95.0	654	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3073	1986-02-18		Yes	MJD	USGS	5.30	2070	20.0	0.00	-6.30	FAIR	0.00	1.10	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2070	255	727	2.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3098	1988-11-07 09:30:00	PST	Yes	MJD	USGS	3.17	253.0	20.0	0.00	-5.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		253.0	35.0	55.2	4.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3099	1988-11-22 10:45:00	PST	Yes	JA	USGS	2.88	182.0	20.0	0.00		GOOD	0.01	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		182.0	34.1	39.9	4.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3100	1989-01-19 11:00:00	PST	Yes	JA	USGS	3.16	268.0	20.0	0.00	1.70	GOOD	0.01	0.52	CLER	MEAS	1	Unspecified	WADE	QUNSP		268.0	120	185	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3101	1989-02-09 11:30:00	PST	Yes	PBS/MJD	USGS	4.96	1570	20.0	0.00	-4.30	FAIR	0.00	1.25		MEAS	1	Unspecified	CWAY	QUNSP		1570	95.0	424	3.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11074000	3102	1989-02-24 12:10:00	PST	Yes	PBS	USGS	3.12	243.0	20.0	0.00	-4.00	POOR	0.00	1.33		MEAS	1	Unspecified	WADE	QUNSP		243.0	138	168	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
