#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:03 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11078000 SANTA ANA R A SANTA ANA CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11078000	1E	1988-11-25 13:45:00	PST	Yes	RGS	USGS		28.4	19.0	0.00		FAIR				MEAS	1	Unspecified	WADE	QUNSP		28.4	36.0	38.4	0.740	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	2E	1988-12-05 13:45:00	PST	Yes	RGS	USGS		0.030	19.0	0.00		GOOD			CLER	MEAS	1	Unspecified	OTHR	QFLUM		0.030				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	157	1988-12-21 10:45:00	PST	Yes	JMS/RGS	USGS	3.72	481.0	19.0	0.00	-4.00	POOR	-0.08	0.43		MEAS	1	Unspecified	WADE	QUNSP		481.0	182	312	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	3E	1989-01-04 14:45:00	PST	Yes	RGS	USGS		73.0	19.0	0.00		GOOD				MEAS	1	Unspecified	WADE	QUNSP		73.0	43.0	49.5	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	4E	1989-01-24 10:45:00	PST	Yes	RGS/BS	USGS		0.010	19.0	0.00		FAIR				MEAS	1	Unspecified	OTHR	QFLUM		0.010				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	5E	1989-02-07 10:45:00	PST	Yes	RGS/JMS	USGS		20.6	19.0	0.00		GOOD				MEAS	1	Unspecified	WADE	QUNSP		20.6	44.5	36.0	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	158	1989-02-10 10:00:00	PST	Yes	RGS/JG	USGS	3.32	475.0	19.0	0.360		FAIR	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		475.0	182	351	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	6	1990-01-02 10:35:00	PST	Yes	RGS	USGS		5.96		0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		5.96	18.0	14.9	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	7	1990-01-16 10:20:00	PST	Yes	RGS	USGS		2.83		0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		2.83	5.60	5.78	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	8	1990-02-07 09:00:00	PST	Yes	RGS	USGS		0.630		0.00		FAIR				MEAS	1	Unspecified	WADE	QUNSP		0.630	4.60	1.68	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	159	1990-02-18 10:50:00	PST	Yes	NKN/RGS	USGS	3.81	578.0	18.0	0.00	3.00	POOR	0.04	0.70		MEAS	1	Unspecified	WADE	QUNSP		578.0	185	366	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	9E	1990-02-20 10:20:00	PST	Yes	RGS	USGS		57.7		0.00		GOOD				MEAS	1	Unspecified	WADE	QUNSP		57.7	40.0	36.0	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	10E	1990-04-04 13:25:00	PDT	Yes	RGS	USGS		18.9		0.00		FAIR				MEAS	1	Unspecified	WADE	QUNSP		18.9	35.0	20.6	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	160	1991-01-04 09:46:00	PST	Yes	REB/MJD	USGS	2.82	71.2	19.0	-0.170		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		71.2	47.0	87.6	0.813	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	161	1991-02-28 13:00:00	PST	Yes	REB/MJD	USGS	3.65	1820	21.0	0.260		FAIR	0.52	1.20	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		1820	150	532	3.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	162	1991-03-01 11:05:00	PST	Yes	REB/MJD	USGS	4.57	2780	21.0	-0.140		FAIR	-0.47	1.40	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		2780	155	584	4.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	163	1991-03-04 13:15:00	PST	Yes	REB/MJD	USGS	4.40	2400	21.0	-0.160		FAIR	-0.25	1.20	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2400	155	540	4.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	164	1991-03-06 10:20:00	PST	Yes	MJD	USGS	2.01	2.77	21.0	0.00		GOOD	-0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.77	11.0	2.39	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11078000	165	1991-03-25 11:30:00	PST	Yes	REB/DK	USGS	2.76	210.0	21.0	-0.170		FAIR	0.09	0.60	MDDB	MEAS	1	Unspecified	WADE	QUNSP		210.0	57.0	122	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
