#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:16 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09480000 SANTA CRUZ RIVER NEAR LOCHIEL, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09480000	390	1975-07-22		Yes	Wil/ Dur	USGS	9.13	3330				UNSP				MEAS	1		UNSP			3330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	391	1975-07-22		Yes	Wil/ Dur	USGS	7.30	1750				UNSP				MEAS	1		UNSP			1750				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	421	1977-10-09		Yes	unknown	USGS	10.21	12000				POOR				MEAS	1		UNSP			12000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	422	1977-10-10		Yes	SCJ	USGS	2.70	71.1				FAIR	-0.01	0.43		MEAS	1		UNSP	QSCMM		71.1	30.0	25.6	2.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	434	1979-01-22		Yes	NC	USGS	2.79	24.4				GOOD	0.00	0.37		MEAS	1		UNSP	QSCMM		24.4	24.4	14.4	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	466	1981-10-27		Yes	JJL	USGS	2.71	0.310	 8.0	-1.48	2.00	GOOD	0.00	0.10		MEAS	1	Unspecified	WADE	QUNSP		0.310	2.40	0.360	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	467	1981-11-24		Yes	JJL	USGS	2.76	0.360	 8.0	-1.51	2.00	GOOD	0.00	0.20		MEAS	1	Unspecified	WADE	QUNSP		0.360	2.80	0.460	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	469	1982-01-26		Yes	JJL	USGS	2.74	0.360	 8.0	-1.49	2.00	GOOD	0.00	0.15		MEAS	1	Unspecified	WADE	QUNSP		0.360	2.80	0.430	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09480000	470	1982-02-23		Yes	JJL	USGS	2.73	0.370	 8.0	-1.47	-3.00	GOOD	0.00	0.17		MEAS	1	Unspecified	WADE	QUNSP		0.370	2.80	0.440	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
