#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:21 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09482500 SANTA CRUZ RIVER AT TUCSON, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09482500	987	1985-02-11 14:00:00	MST	Yes	SCJ	USGS	3.60	61.6	 7.0	0.00		FAIR	-0.03	0.33		MEAS	1	Unspecified	UNSP			61.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	988	1986-07-21 17:25:00	MST	Yes	RHR/JGB	USGS	3.78	583.0	 9.0	0.00	0.500	FAIR	-0.19	0.42		MEAS	1	Unspecified	CRAN	QUNSP		583.0	140	170	3.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	989	1988-07-19 08:45:00	MST	Yes	RHW/JTP	USGS	3.05	183.0	 9.0	0.00	-9.00	UNSP				MEAS	1	Unspecified	WADE	QUNSP		183.0	82.5	69.2	2.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	990	1988-07-19 09:05:00	MST	Yes	JTP	USGS	-2.79	144.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		144.0	81.5	62.3	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	991	1988-07-26		Yes	RHR/MRR	USGS	4.05	830.0	 9.0	0.00	0.100	GOOD				MEAS	1	Unspecified	OTHR	QIDIR		830.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	992	1988-07-26 07:22:00	MST	Yes	RHW/JTP	USGS	3.41	359.0	 9.0	0.00	4.00	UNSP	-0.13	0.80		MEAS	1	Unspecified	WADE	QUNSP		359.0	106	107	3.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	993	1988-07-26 08:35:00	MST	Yes	JTP/RHW	USGS	3.25	289.0	 9.0	0.00	6.20	UNSP				MEAS	1	Unspecified	WADE	QUNSP		289.0	96.0	99.3	2.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	994	1988-07-26 10:50:00	MST	Yes	JTP/RHW	USGS	3.04	222.0	 9.0	0.00	12.1	UNSP				MEAS	1	Unspecified	WADE	QUNSP		222.0	107	96.3	2.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09482500	995	1988-08-01 17:00:00	MST	Yes	RHW/JTP	USGS	3.21	202.0	 9.0	0.00	-21.0	UNSP	-0.50	0.75		MEAS	1	Unspecified	WADE	QUNSP		202.0	88.0	93.7	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
