#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:29 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09489000 SANTA CRUZ RIVER NEAR LAVEEN, AZ.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09489000	508	1962-09-29		Yes	PHX	USGS	17.26	7490		0.00		GOOD	0.31	4.42		UNSP	1	Unspecified	UNSP			7490				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	602	1977-10-13		Yes	PHX	USGS	14.50	1950		0.00		FAIR				MEAS	1	Unspecified	UNSP			1950				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	601	1977-10-13 09:00:00	MST	Yes	WLJ/BD	USGS	14.30	1890	 8.0	0.00		FAIR	0.06	0.83	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1890	182	850	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	614	1978-12-21		Yes	WLJ	USGS	13.73	1340		0.00		GOOD				MEAS	1	Unspecified	UNSP			1340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	642	1983-10-03		Yes	RSD/HWS	USGS	13.62	1320	 9.0	0.00	-5.00	GOOD	0.15	1.50		MEAS	1	Unspecified	CRAN	QUNSP		1320	182	650	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	643	1984-12-05		Yes	HMS	USGS	8.08	12.9	 9.0	-0.250	-1.00	FAIR	0.04	1.25		MEAS	1	Unspecified	WADE	QUNSP		12.9	31.7	12.9	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	644	1985-01-14		Yes	HMS/MKP	USGS	7.47	5.49	 9.0	-0.020	0.00	POOR	0.00	0.67	MDDB	MEAS	1	Unspecified	WADE	QUNSP		5.49		14.5	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	645	1985-04-25		Yes	MKP	USGS	7.52	7.96	 9.0	0.090	0.00	GOOD	0.00	1.25	MDDB	MEAS	1	Unspecified	WADE	QUNSP		7.96	16.9	9.76	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	646	1985-10-21		Yes	HMS	USGS	7.86	0.140	10.0	0.010	-18.0	POOR	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.140	5.20	2.23	0.060	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	647	1985-12-03		Yes	RSD	USGS	7.93	0.450	10.0	-0.010	2.30	POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.450	5.50	0.770	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	648	1987-09-21 13:00:00	MST	Yes	HMS	USGS	8.37	3.96	10.0	-0.120		FAIR	0.00	0.62	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.96	11.2	15.6	0.250	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	649	1987-11-05 12:30:00	MST	Yes	SDC	USGS	8.22	0.810	10.0	-0.250	0.500	FAIR	-0.01	0.28	LGDB	MEAS	1	Unspecified	WADE	QUNSP		0.810	20.0	9.26	0.090	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	650	1988-08-10 13:20:00	MST	Yes	HMS/JVP	USGS	8.56	10.2	10.0	-0.080	0.200	FAIR	0.01	0.66		MEAS	1	Unspecified	WADE	QUNSP		10.2	17.3	24.2	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	650A	1988-10-12 10:00:00	MST	Yes	JVP	USGS	7.52			0.00		UNSP				UNSP																	
USGS	09489000	650B	1988-12-14 11:57:00	MST	Yes	HMS	USGS	7.73			0.00		UNSP				UNSP																	
USGS	09489000	650C	1989-02-15 11:32:00	MST	Yes	HMS	USGS	7.88			0.00		UNSP				UNSP																	
USGS	09489000	650D	1989-04-11 12:00:00	MST	Yes	JJR/JVP	USGS	7.75			0.00		UNSP				UNSP																	
USGS	09489000	650E	1989-06-13 10:33:00	MST	Yes	JJR	USGS	7.74			0.00		UNSP				UNSP																	
USGS	09489000	651	1989-08-17 11:45:00	MST	Yes	HMS	USGS	8.11	1.61	10.0	-0.040		POOR	0.00	0.72	CLER	MEAS	1	Unspecified	WADE	QUNSP		1.61	12.9	17.8	0.090	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	651A	1989-10-11 10:22:00	MST	Yes	LMS/HMS	USGS	6.78			0.00		UNSP				UNSP																	
USGS	09489000	651B	1990-01-11 13:05:00	MST	Yes	HMS	USGS	6.75			0.00		UNSP				UNSP																	
USGS	09489000	651C	1990-05-16 11:55:00	MST	Yes	WLJ	USGS	6.77			0.00		UNSP				UNSP																	
USGS	09489000	651D	1990-07-17 15:00:00	MST	Yes	HMS	USGS	12.70			0.00		UNSP				UNSP																	
USGS	09489000	652	1990-07-17 18:00:00	MST	Yes	BLW/HMS	USGS	13.03	1270	10.0	0.240	0.00	FAIR	0.14	0.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1270	169	621	2.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	653	1990-07-26 11:45:00	MST	Yes	SB	USGS	8.20	0.050	10.0	-0.350	-17.0	FAIR	-0.01	0.17	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.050	1.40	0.110	0.480	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	654	1990-08-15 15:20:00	MST	Yes	WLJ/JS	USGS	13.02	1290	10.0	0.240	0.00	FAIR	-0.25	1.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1290	170	613	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	655	1990-08-23 16:07:00	MST	Yes	WLJ	USGS	7.90	0.050	10.0	-0.050	-16.7	UNSP				UNSP	1	Unspecified	UNSP			0.050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	655A	1990-09-14 10:35:00	MST	Yes	HMS	USGS	7.54			0.00		UNSP				UNSP																	
USGS	09489000	655B	1990-10-17 12:05:00	MST	Yes	HMS	USGS	7.12			0.00		UNSP				UNSP																	
USGS	09489000	655C	1990-12-21 13:30:00	MST	Yes	JS	USGS	7.00			0.00		UNSP				UNSP																	
USGS	09489000	655D	1990-12-26 11:06:00	MST	Yes	JVP	USGS	6.99			0.00		UNSP				UNSP																	
USGS	09489000	655E	1991-02-11 10:55:00	MST	Yes	JVP	USGS	7.34			0.00		UNSP				UNSP																	
USGS	09489000	655F	1991-03-05 13:55:00	MST	Yes	ALP	USGS	10.16			0.00		UNSP				UNSP																	
USGS	09489000	656	1991-03-07 11:40:00	MST	Yes	WLJ/HMS	USGS	8.57	13.3	10.0	-0.010		FAIR	-0.01	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		13.3	17.0	27.2	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	656A	1991-05-14 14:00:00	MST	Yes	TWM/HMS	USGS	7.26			0.00		UNSP				UNSP																	
USGS	09489000	656B	1991-07-11 11:00:00	MST	Yes	LWY/ORB	USGS	7.08			0.00		UNSP				UNSP																	
USGS	09489000	656C	1991-08-19 11:35:00	MST	Yes	HMS	USGS	7.07			0.00		UNSP				UNSP																	
USGS	09489000	656D	1991-09-10		Yes	ORB	USGS	7.07			0.00		UNSP			CLER	UNSP																	
USGS	09489000	656E	1991-10-15 14:05:00	MST	Yes	LWY	USGS	7.08			0.00		UNSP				UNSP																	
USGS	09489000	656F	1991-10-16 13:37:00	MST	Yes	LWY	USGS	7.08			0.00		UNSP				UNSP																	
USGS	09489000	656G	1991-12-16 15:05:00	MST	Yes	LWY	USGS	7.14			0.00		UNSP			CLER	UNSP																	
USGS	09489000	657	1992-03-09 10:35:00	MST	Yes	SDF/LWY	USGS	8.46	8.64	10.0	-0.020		GOOD	0.02	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		8.64	19.1	19.6	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	657A	1992-05-06 09:30:00	MST	Yes	SDF	USGS	7.56			0.00		UNSP			CLER	UNSP																	
USGS	09489000	657B	1992-05-27 10:00:00	MST	Yes	SDF	USGS	7.89			0.00		UNSP			CLER	UNSP																	
USGS	09489000	657C	1992-07-08 11:45:00	MST	Yes	SDF	USGS	7.18		10.0	0.00		UNSP			CLER	UNSP																	
USGS	09489000	657D	1992-09-04 09:37:00	MST	Yes	SDF	USGS	7.93			0.00		UNSP				UNSP																	
USGS	09489000	657E	1992-11-04 14:22:00	MST	Yes	WLJ	USGS	7.02			0.00		UNSP				UNSP																	
USGS	09489000	658	1992-12-29 15:40:00	MST	Yes	SDF/LMS	USGS	8.48	6.35	11.0	0.00	-3.50	FAIR	-0.01	0.92	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.35	15.0	17.0	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	659	1993-01-11 15:30:00	MST	Yes	HWS/LWY	USGS	15.44	3350	11.0	0.00		FAIR	0.06	1.11	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3350	182	1110	3.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09489000	659A	1993-02-04 13:50:00	MST	Yes	WLJ	USGS	8.08			0.00		UNSP				UNSP																	
USGS	09489000	659B	1993-04-28 16:30:00	MST	Yes	WLJ	USGS	8.07			0.00		UNSP				UNSP																	
USGS	09489000	659C	1993-07-02 17:52:00	MST	Yes	WLJ	USGS	7.07			0.00		UNSP				UNSP																	
USGS	09489000	659D	1993-09-22 11:20:00	MST	Yes	AS/WM	USGS	8.68			0.00		UNSP				UNSP																	
