#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:35 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02321958 SANTA FE RIVER AT RIVER RISE NR HIGH SPRINGS, FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02321958	1	2011-05-04 10:06:30	EDT	Yes	dbd	USGS		55.8				Poor		1.00		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	55.8	160	257	0.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02321958	2	2012-12-11 15:34:00	EST	Yes	ELR	USGS	2.18	216				Good				MEAS	1	main	WADE	QSCMM	VADV	216	162	372	0.58	FIRM	LDGE	EVEN	unkn	EVEN	STND	DNST	50.00
USGS	02321958	3	2013-03-21 10:25:41	EDT	Yes	ELR	USGS	2.03	174				Fair				MEAS	1	main	MBOT	QADCP	VADCP	174	128	496	0.35	FIRM	LDGE	EVEN	unkn	EVEN	STND	DNST	50.00
USGS	02321958	4	2013-05-09 10:40:30	EDT	Yes	ELR/TCC	USGS	6.59	1770				Good				MEAS	1	main channel	MBOT	QADCP	VADCP	1770	162	1090	1.63	FIRM	LDGE	EVEN	unkn	EVEN	UNFM	DNST	100.00
USGS	02321958	5	2013-08-21 17:45:05	EDT	Yes	ELR	USGS		763				Good				MEAS	1	main	MBOT	QADCP	VADCP	763	173	658	1.16	FIRM	LDGE	EVEN	unkn	EVEN	STND	DNST	75.00
USGS	02321958	6	2013-09-24 12:42:39	EDT	Yes	ELR	USGS		478				Good				MEAS	1	main	MBOT	QADCP	VADCP	478	160	516	0.93	FIRM	LDGE	EVEN	unkn	EVEN	STND	DNST	60.00
USGS	02321958	7	2013-10-22 10:46:00	EDT	Yes	ELR	USGS	2.56	301				Good	0.00	0.20	Unspecifed	MEAS	1	main	MBOT	QADCP	VADCP	301	173	480	0.63	FIRM	LDGE	EVEN	unkn	EVEN	STND	DNST	70.00
USGS	02321958	8	2013-12-03 13:12:30	EST	Yes	DMS	USGS	2.24	222				Good				MEAS	1	8	WADE	QSCMM	VADV	222	164	355	0.62	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	100.00
USGS	02321958	9	2014-02-13 13:16:00	EST	Yes	DMS	USGS	3.36	555				Good	0.00	1.00		MEAS	1	20140213	WADE	QSCMM	VADV	555	172	553	1.00	FIRM	CBLS	UNEV	unkn	EVEN	STND	DNST	150.00
USGS	02321958	10	2014-04-10 09:30:40	EDT	Yes	DMS	USGS	6.10	1590				Fair	0.00	0.30		MEAS	1	10	MBOT	QADCP	VADCP	1590	180	996	1.60	FIRM	CBLS	UNEV	unkn	EVEN	STND	DNST	100.00
USGS	02321958	11	2014-06-05 12:59:46	EDT	Yes	DMS	USGS	3.92	707				Good	0.00	0.30		MEAS	1	11	MBOT	QADCP	VADCP	707	180	642	1.10	FIRM	CBLS	UNEV	unkn	EVEN	STND	DNST	50.00
USGS	02321958	12	2014-08-06 13:05:52	EDT	Yes	DMS	USGS	3.33	508				Good	0.00	0.30		MEAS	1	12	MBOT	QADCP	VADCP	508	173	530	0.96	FIRM	CBLS	UNEV	unkn	EVEN	STND	DNST	150.00
USGS	02321958	13	2014-10-08 12:25:32	EDT	Yes	DMS	USGS	4.62	924				Good	0.00	0.30	Unspecifed	MEAS	1	13	MBOT	QADCP	VADCP	924	171	696	1.33	FIRM	CBLS	UNEV	unkn	UNEV	STND	DNST	150.00
USGS	02321958	14	2015-10-13 13:22:09	EDT	Yes	DMS	USGS	3.81	657				Good	0.00	0.30	Unspecifed	MEAS	1	14	MBOT	QADCP	VADCP	657	165	597	1.10	FIRM	CBLS	EVEN	unkn	EVEN	UNSP	DNST	100.00
USGS	02321958	15	2015-12-16 12:22:25	EST	Yes	DMS	USGS	2.46	261				Fair	0.00	0.30	Unspecifed	MEAS	1	15	MBOT	QADCP	VADCP	261	138	523	0.50	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	DNST	100.00
USGS	02321958	16	2016-02-02 11:24:00	EST	Yes	DMS	USGS	2.41	242				Good	0.00	0.90	Unspecifed	MEAS	1	16	WADE	QSCMM	VADV	242	165	389	0.62	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	DNST	100.00
USGS	02321958	17	2016-04-05 15:24:33	EDT	Yes	DMS	USGS	3.39	519				Fair			Unspecifed	MEAS	1	17	MBOT	QADCP	VADCP	519	179	581	0.89	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	DNST	100.00
USGS	02321958	18	2016-06-07 12:40:28	EDT	Yes	DMS	USGS	2.21	196				Poor	0.00		Unspecifed	MEAS	1	18	MBOT	QADCP	VADCP	196	172	395	0.50	UNSP	UNSP	UNSP	unkn	UNEV	UNSP	DNST	100.00
USGS	02321958	19	2016-08-09 10:27:03	EDT	Yes	DMS/MEO	USGS	2.12	191				Fair	0.00	0.30	DebrisLight	MEAS	1	19	MBOT	QADCP	VADCP	191	113	478	0.40	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	200.00
USGS	02321958	20	2016-10-05 10:13:12	EDT	Yes	DMS	USGS	2.70	304				Good	0.00	0.20	DebrisModerate	MEAS	1	20	MBOT	QADCP	VADCP	304	167	442	0.69	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	55.00
USGS	02321958	21	2016-12-14 11:00:13	EST	Yes	DMS	USGS	2.16	189				Fair	0.00	0.40	DebrisModerate	MEAS	1	21	MBOT	QADCP	VADCP	189	112	486	0.39	FIRM	LDGE	UNEV	unkn	UNEV	STND	DNST	270.00
USGS	02321958	22	2017-02-23 10:43:19	EST	Yes	DMS	USGS	2.12	185				Fair	0.00	1.00	DebrisLight	MEAS	1	22	WADE	QSCMM	VADV	185	161	329	0.56	FIRM	CBLS	UNEV	unkn	EVEN	STND	DNST	100.00
