#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:36 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02322000 SANTA FE RIVER NR HIGH SPRINGS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02322000	1	1929-05-30		Yes	mm	USGS	2.19	585				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	585	123	935	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	2	1929-09-22		Yes	WRE	USGS	4.19	1550				Unspecified	-0.01	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1550	133	1110	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	3	1929-09-29		Yes	WRE	USGS	7.01	3480				Unspecified	0.09	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3480	145	1640	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	4	1931-01-12		Yes	BSW/VA	USGS	3.16	1230				Unspecified	0.00	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1230	130	1080	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	5	1931-01-15		Yes	VA	USGS	3.06	1010				Unspecified	0.00	2.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1010	130	998	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	6	1931-01-23		Yes	VA	USGS	3.46	1270				Unspecified	0.00	2.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1270	131	1090	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	7	1931-02-11		Yes	VA	USGS	2.48	796				Unspecified	0.00	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	796	124	994	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	8	1931-03-14		Yes	VA	USGS	3.40	1330				Unspecified	-0.01	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1330	133	1120	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02322000	9	1931-04-13		Yes	VA	USGS	3.64	1460				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1460	134	1140	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
