#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:13:51 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11123500 SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11123500	48	1952-01-16		Yes	UNK	USGS	8.63	6350		0.00		FAIR				MEAS	1	Unspecified	UNSP			6350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	56	1952-03-17		Yes	UNK	USGS	7.06	1740		0.00		FAIR				MEAS	1	Unspecified	UNSP			1740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	187	1958-02-04		Yes	UNK	USGS	9.91	4880		0.00		FAIR				MEAS	1	Unspecified	CRAN	QUNSP		4880			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	188	1958-02-05		Yes	UNK	USGS	8.15	2320		0.00		GOOD				MEAS	1	Unspecified	UNSP			2320				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	192	1958-02-19		Yes	UNK	USGS	8.26	2900		0.00		FAIR				MEAS	1	Unspecified	UNSP			2900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	193	1958-02-20		Yes	UNK	USGS	7.55	1760		0.00		GOOD				MEAS	1	Unspecified	UNSP			1760				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	197	1958-03-16		Yes	UNK	USGS	7.61	1930		0.00		FAIR				MEAS	1	Unspecified	UNSP			1930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	199	1958-03-22		Yes	UNK	USGS	7.67	2060		0.00		GOOD				MEAS	1	Unspecified	UNSP			2060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11123500	322	1969-01-26		Yes	UNK	USGS	11.40	21400		0.00		FAIR				MEAS	1	Unspecified	UNSP			21400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
