#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:08 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11135250 SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11135250	1	2004-06-10 14:15:00	PDT	Yes	ERH	USGS	4.23	2.70	 1.0	0.200		FAIR	0.02	1.20		MEAS	1	Unspecified	WADE	QUNSP		2.70			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	2	2004-07-30 13:50:00	PDT	Yes	ERH	USGS	4.13	0.690	 1.0	0.00	0.700	POOR	0.00	0.90		MEAS	1	Unspecified	WADE	QUNSP		0.690			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	3	2004-11-22 11:38:00	PST	Yes	MCS	USGS	4.58	4.08	 1.1	-0.020	1.20	GOOD	0.01	1.00		UNSP	1	Unspecified	WADE	QUNSP		4.08			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	4	2004-12-08 15:10:00	PST	Yes	ERH/MCS	USGS	5.02	11.8	 1.1	-0.010	0.900	FAIR	-0.03	0.80		UNSP	1	Unspecified	WADE	QUNSP		11.8			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	5	2004-12-31 10:36:00	PST	Yes	RGG/GLP	USGS	16.13	5360	 1.1	-0.320	0.00	POOR	-0.16	1.50		UNSP	1	Unspecified	CRAN	QUNSP		5360	462	2620	2.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	6	2004-12-31 12:15:00	PST	Yes	RGG/GLP	USGS	15.96	5650	 1.1	0.080	0.00	FAIR	0.27	1.60		UNSP	1	Unspecified	CRAN	QUNSP		5650	463	2550	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	7	2005-01-11 14:35:00	PST	Yes	ERH/GLP	USGS	17.16	18800	 2.0	-1.13	0.100	POOR			CLER	UNSP	1	Unspecified	CRAN	QUNSP		18800	465	3070	6.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	8	2005-01-11 15:35:00	PST	Yes	ERH/GLP	USGS	16.09	17100	 2.0	-1.02	0.00	POOR			CLER	UNSP	1	Unspecified	CRAN	QUNSP		17100	460	2890	5.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	9	2005-01-14 16:45:00	PST	Yes	ERH/TLS	USGS	8.19	2140	 2.0	-3.15	-0.200	POOR				UNSP	1	Unspecified	UNSP			2140				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	10	2005-01-25 14:00:00	PST	Yes	MCS	USGS	6.68	2010	 2.0	-1.76	0.00	POOR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		2010	110	532	3.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	11	2005-01-25 14:50:00	PST	Yes	MCS	USGS	6.54	1900	 2.0	-1.72	-0.100	POOR			CLER	UNSP	1	Unspecified	CRAN	QUNSP		1900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	12	2005-02-08 11:10:00	PST	Yes	MCS	USGS	1.85	146.0	 2.0	1.05	-1.90	FAIR	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		146.0	81.0	167	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	13	2005-02-18 12:18:00	PST	Yes	RGG	USGS	4.26	794.0	 2.0	-0.540	-0.200	POOR				UNSP	1	Unspecified	CRAN	QUNSP		794.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	14	2005-02-22 14:45:00	PST	Yes	GLP/MEM	USGS	15.04	17000	 2.0	-0.030	0.00	POOR				UNSP	1	Unspecified	UNSP			17000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	15	2005-02-22 16:21:00	PST	Yes	GLP/MEM	USGS	15.29	17100	 2.0	-0.220	0.00	POOR				UNSP	1	Unspecified	UNSP			17100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	16	2005-03-04 13:00:00	PST	Yes	MEM	USGS	4.99	2080	 2.0	-0.010	0.100	POOR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		2080	101	471	4.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	17	2005-03-21 13:10:00	PST	Yes	MCS	USGS	3.58	678.0	 2.0	0.010	-0.300	FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		678.0	134	285	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	18	2005-04-15 13:25:00	PDT	Yes	MCS	USGS	2.88	178.0	 2.0	0.070	-1.70	FAIR	-0.02	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		178.0	111	116	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	19	2005-05-18 15:55:00	PDT	Yes	TLS	USGS	2.86	122.0	 2.0	0.00	-1.60	POOR	0.00	1.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		122.0	92.0	84.0	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	20	2005-05-31 14:05:00	PDT	Yes	MCS	USGS	2.47	43.7	 2.0	0.060	0.700	GOOD	0.00	0.75	CLER	UNSP	1	Unspecified	WADE	QUNSP		43.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	21	2005-07-12 13:55:00	PDT	Yes	MCS	USGS	2.23	9.56	 2.0	-0.060	-0.200	POOR	0.00	0.60	CLER	UNSP	1	Unspecified	WADE	QUNSP		9.56				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	22	2005-08-13 10:00:00	PDT	Yes	MEM	USGS	2.11	2.98	 2.0	-0.100	0.300	POOR	-0.01	0.67		MEAS	1	Unspecified	WADE	QUNSP		2.98	7.10	4.60	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	23	2005-09-12 12:00:00	PDT	Yes	MCS	USGS	2.19	4.65	 2.0	-0.130	0.00	FAIR	0.00	0.42	HVDB	MEAS	1	Unspecified	WADE	QUNSP		4.65				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	24	2005-10-03 10:55:00	PDT	Yes	MCS	USGS	2.23	3.76	 2.0	-0.200	3.60	FAIR	0.00	0.50	HVDB	MEAS	1	Unspecified	WADE	QUNSP		3.76				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	25	2005-11-02 12:30:00	PST	Yes	MCS	USGS	2.42	5.40	 2.0	-0.340	-0.400	FAIR	0.00	0.70	HVDB	UNSP	1	Unspecified	WADE	QUNSP		5.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	26	2005-12-16 11:20:00	PST	Yes	MCS	USGS	2.36	6.01	 3.0	-0.270	2.90	GOOD	0.00	0.30	HVDB	MEAS	1	Unspecified	WADE	QUNSP		6.01	14.2	6.78	0.890	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	27	2006-01-09 12:30:00	PST	Yes	MCS	USGS	2.72	54.6	 3.0	-0.160	0.900	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		54.6	27.0	31.3	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	28	2006-02-06 13:44:00	PST	Yes	MCS	USGS	2.35	22.8	 3.0	-0.070	0.400	POOR	0.00	0.42		MEAS	1	Unspecified	WADE	QSCMM	VADV	22.8	27.5	18.2	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	29	2006-03-10 11:10:00	PST	Yes	MCS	USGS	3.33	97.7	 3.0	-0.470	0.100	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	97.7	41.0	62.7	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11135250	30	2006-04-03 13:10:00	PDT	Yes	MCS	USGS	4.38	243.0	 3.0	-0.830	0.500	FAIR			CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	243.0	92.0	162	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
