#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:30 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02197320 SAVANNAH R. NR JACKSON, SC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02197320	1	1955-05-18 15:00:00	EST	Yes	WTU	USGS	5.97	5590		0.00		GOOD	-0.03	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5590	406	3200	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	2	1955-11-10 11:55:00	EST	Yes	WTU	USGS	5.02	4900		0.00		GOOD	0.01	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		4900	395	2670	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	3	1956-01-11 11:25:00	EST	Yes	WTU	USGS	4.33	4430		0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		4430	396	2370	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	4	1956-01-30 11:40:00	EST	Yes	WTU	USGS	3.91	4030		0.00		GOOD	-0.01	1.10	CLER	MEAS	1	Unspecified	BOAT	QUNSP		4030	380	2050	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	5	1956-08-07 11:30:00	EST	Yes	WTU	USGS	5.41	4940		0.00		GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	BOAT	QUNSP		4940	390	2590	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	6	1958-08-04 11:03:00	EST	Yes	WTU	USGS	6.27	5190		0.00		GOOD	-0.01	2.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5190	393	2800	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	7	1958-11-03 13:29:00	EST	Yes	WTU	USGS	5.61	4830		0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		4830	386	2580	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	8	1959-02-18 10:41:00	EST	Yes	WTU	USGS	8.96	8240		0.00		GOOD	0.05	1.90	CLER	MEAS	1	Unspecified	BOAT	QUNSP		8240	400	4360	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	9	1959-08-06 10:38:00	EST	Yes	WTU	USGS	7.84	7460		0.00		GOOD	0.04	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		7460	396	3610	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	10	1960-05-23 15:18:00	EST	Yes	BW	USGS	6.49	5680		0.00		GOOD	-0.01	0.90	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5680	392	3040	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	11	1960-07-12 10:45:00	EST	Yes	BW	USGS	6.65	5890		0.00		GOOD	0.01	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5890	391	2990	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	12	1960-12-15 10:45:00	EST	Yes	BW	USGS	7.03	6400		0.00		GOOD	0.06	1.00		MEAS	1	Unspecified	BOAT	QUNSP		6400	392	3390	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	13	1961-05-15 14:31:00	EST	Yes	BW	USGS	7.34	6570		0.00		GOOD	-0.05	1.40	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6570	390	3490	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02197320	14	1961-09-20 10:40:00	EST	Yes	BW	USGS	6.04	5530		0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		5530	394	2940	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
