#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:54 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01467470 Schuylkill River at Port Carbon, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01467470	1	1949-02-23		Yes	xyz	USGS		101				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		101				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	2	1949-03-25		Yes	xyz	USGS		368				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		368				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	3	1949-04-06		Yes	xyz	USGS		90.5				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		90.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	4	1949-04-14		Yes	xyz	USGS		88.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		88.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	5	1949-06-09		Yes	xyz	USGS		28.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		28.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	6	1949-06-27		Yes	xyz	USGS		18.8				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		18.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	7	1949-08-09		Yes	xyz	USGS		9.93				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		9.93				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	8	1949-09-21		Yes	xyz	USGS		8.06				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8.06				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467470	9	1949-10-14		Yes	xyz	USGS		9.28				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		9.28				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
