#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:54 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01467471 Schuylkill River ab Mill Creek at Port Carbon, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01467471	1	2005-08-23		Yes	RAL	USGS		10.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.4	19.0	14.5	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	2	2005-10-19 15:02:00	EDT	Yes	RAL/CAC	USGS	3.72	15.1				Fair	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.1	22.7	12.9	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	3	2005-12-13 12:55:00	EST	Yes	RAL/CAC	USGS	3.95	29.1				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.1	21.4	20.4	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	4	2006-01-12 16:23:00	EST	Yes	RAL	USGS	4.47	73.1				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	73.1	25.0	33.6	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	5	2006-03-14 16:00:00	EST	Yes	RAL/CAC	USGS	3.98	33.3				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.3	22.4	21.4	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	6	2006-05-12 16:45:00	EDT	Yes	RAL	USGS	4.12	42.2				Fair	0.01	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.2	23.8	24.8	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	7	2006-06-13 13:00:00	EDT	Yes	BWK/CAC	USGS	3.75	17.7				Fair	0.00			MEAS	1	Imported Channel 1	WADE	unspe	unkno	17.7	24.0	20.0	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	8	2006-08-14 14:00:00	EDT	Yes	BWK/DG	USGS	3.79	20.3				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.3	25.7	16.9	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	9	2006-09-08 15:45:00	EDT	Yes	RAL	USGS	3.96	32.6				Fair	0.00	0.30	DebrisModerate	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	32.6	21.9	13.7	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	10	2006-10-04 11:55:00	EDT	Yes	RAL	USGS	3.85	25.4				Fair	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	25.4	26.0	21.4	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01467471	11	2006-11-29 09:18:00	EST	Yes	jmn	USGS	4.42	84.4				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	84.4	27.6	39.5	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
