#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01468500 Schuylkill River at Landingville, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01468500	1	1947-07-17		Yes	rcl	USGS	6.83	1820				Good	-0.04		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1820	137	515	3.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	79	1948-12-30		Yes	htz	USGS	7.99	2570				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2570	129	776	3.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	310	1973-07-26		Yes	M/J	USGS	3.88	137				Good	0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	137	82.0	85.9	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	311	1973-10-23		Yes	P/B	USGS	3.82	139				Good	0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	139	95.0	78.9	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	312	1973-11-28		Yes	S/B	USGS	3.73	119				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	119	96.0	68.7	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	313	1974-01-18		Yes	B	USGS	4.52	280				Good	-0.01	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	280	103	150	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	314	1974-02-27		Yes	H	USGS	5.04	400				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	400	104	194	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	315	1974-03-28		Yes	M	USGS	4.86	345				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	345	107	168	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	316	1974-05-13		Yes	P	USGS	5.84	644				Unspecified	0.01	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	644	123	289	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	317	1974-06-19		Yes	H	USGS	3.93	143				Good	0.02	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	143	105	85.7	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	318	1974-08-06		Yes	B	USGS	4.13	183				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	183	99.0	95.3	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	319	1974-09-09		Yes	B	USGS	4.57	291				Good	0.03	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	291	105	146	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	320	1974-11-08		Yes	P	USGS	3.68	99.5				Unspecified	0.03	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	99.5	67.0	75.7	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	321	1974-12-06		Yes	B	USGS	3.90	141				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	141	61.0	88.6	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	322	1975-01-20		Yes	P	USGS	4.82	360				Unspecified	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	360	90.0	173	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	323	1975-02-27		Yes	D/E	USGS	6.36	891				Unspecified	-0.03	1.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	891	124	331	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	324	1975-04-09		Yes	S	USGS	4.92	395				Good	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	395	105	179	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	325	1975-05-28		Yes	P	USGS	4.34	276				Excellent	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	276	103	122	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	326	1975-07-09		Yes	K	USGS	4.18	234				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	234	105	108	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	327	1975-08-26		Yes	D	USGS	3.75	136				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	136	101	77.8	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	328	1975-09-26		Yes	hbg	USGS	12.53	5010				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	OTHR	other		5010				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	329	1975-11-24		Yes	P	USGS	4.71	373				Excellent	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	373	103	160	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	330	1976-02-05		Yes	M	USGS	4.87	386				Good	0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	386	98.0	170	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	331	1976-03-15		Yes	P	USGS	4.30	309				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	309	102	130	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	332	1976-04-28		Yes	M	USGS	3.87	186				Good	0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	186	101	100	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	333	1976-06-28		Yes	K	USGS	3.78	175				Fair	-0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	175	98.0	101	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	334	1976-08-09		Yes	M	USGS	4.03	177				Good	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	177	104	111	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	335	1976-09-17		Yes	G	USGS	4.41	364				Unspecified	0.17	1.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	364	76.0	178	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	336	1976-10-21		Yes	K	USGS	7.36	1540				Good	-0.17	1.70	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1540	121	465	3.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	338	1976-12-14		Yes	P	USGS	3.88	243				Excellent	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	243	62.0	117	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	337	1976-12-14		Yes	P	USGS	3.87	243				Excellent	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	243	98.0	126	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	339	1977-02-22		Yes	R	USGS	3.29	113				Unspecified	0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	113	56.0	64.4	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	340	1977-04-07		Yes	K	USGS	5.27	750				Fair	-0.01	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	750	106	236	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	341	1977-05-06		Yes	K	USGS	4.13	318				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	318	104	134	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	342	1977-06-20		Yes	K/D	USGS	3.29	106				Good	0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	106	52.0	80.6	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	343	1977-07-26		Yes	K	USGS	3.28	95.4				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	95.4	54.0	81.5	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	344	1977-10-06		Yes	K	USGS	3.78	217				Good	0.09	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	217	61.0	117	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	345	1977-12-12		Yes	K	USGS	4.05	294				Good	-0.02	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	294	60.0	133	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	346	1978-01-24		Yes	K	USGS	4.01	295				Good	0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	295	63.0	131	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	347	1978-03-02		Yes	K	USGS	3.38	139				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	139	61.0	94.8	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	348	1978-03-27		Yes	bm	USGS	9.97	3380				Fair	-0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3380	137	874	3.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01468500	349	1978-05-17		Yes	mlr	USGS	6.80	1560				Fair	0.05	1.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1560	121	439	3.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
