#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:14:59 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01470500 Schuylkill River at Berne, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01470500	1	1947-06-23		Yes	b	USGS	5.49	574				Good	-0.02	0.90		MEAS	1	Imported Channel 1	UNSP	other		574				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	2	1947-07-08		Yes	r	USGS	11.00	12900				Good	0.12	1.10		MEAS	1	Imported Channel 1	UNSP	other		12900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	3	1947-07-08		Yes	e	USGS	11.40	13900				Good	0.04	1.40		MEAS	1	Imported Channel 1	UNSP	other		13900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	4	1947-07-09		Yes	r	USGS	8.20	5100				Good	-0.06	1.20		MEAS	1	Imported Channel 1	UNSP	other		5100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	5	1947-07-16		Yes	r	USGS	7.97	4180				Good	-0.02	1.20		MEAS	1	Imported Channel 1	UNSP	other		4180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	6	1947-08-20		Yes	g	USGS	5.09	323				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		323				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	7	1947-08-25		Yes	r	USGS	4.91	243				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		243				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	8	1947-08-26		Yes	h	USGS	5.19	329				Good	-0.02	1.10		MEAS	1	Imported Channel 1	UNSP	other		329				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	9	1947-09-22		Yes	h	USGS	5.01	234				Good	0.02	0.60		MEAS	1	Imported Channel 1	UNSP	other		234				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	10	1947-09-24		Yes	s	USGS	5.05	240				Fair	-0.04	0.90		MEAS	1	Imported Channel 1	UNSP	other		240				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	11	1947-09-30		Yes	s	USGS	4.94	196				Poor	-0.01	1.40		MEAS	1	Imported Channel 1	UNSP	other		196				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	12	1947-10-08		Yes	s	USGS	4.87	167				Poor	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		167				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	13	1947-10-15		Yes	s	USGS	4.86	163				Fair	0.01	1.00		MEAS	1	Imported Channel 1	UNSP	other		163				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	14	1947-10-20		Yes	b	USGS	4.86	148				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		148				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	15	1947-10-22		Yes	s	USGS	4.87	161				Poor	0.03	1.20		MEAS	1	Imported Channel 1	UNSP	other		161				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	16	1947-10-28		Yes	s	USGS	4.87	163				Unspecified	0.05	0.80		MEAS	1	Imported Channel 1	UNSP	other		163				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	17	1947-11-04		Yes	l	USGS	8.22	3330				Good	0.00	0.90		MEAS	1	Imported Channel 1	UNSP	other		3330				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	18	1947-11-05		Yes	r	USGS	6.58	1290				Fair	-0.10	2.20		MEAS	1	Imported Channel 1	UNSP	other		1290				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	19	1947-11-13		Yes	s	USGS	7.24	2450				Good	-0.05	2.40		MEAS	1	Imported Channel 1	UNSP	other		2450				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	21	1947-11-21		Yes	g	USGS	5.58	636				Good	-0.01	1.10		MEAS	1	Imported Channel 1	UNSP	other		636				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	22	1947-11-26		Yes	s	USGS	6.09	1050				Fair	-0.01	2.00		MEAS	1	Imported Channel 1	UNSP	other		1050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	23	1947-12-04		Yes	s	USGS	5.48	530				Fair	-0.01	1.20		MEAS	1	Imported Channel 1	UNSP	other		530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	24	1947-12-11		Yes	p	USGS	5.35	445				Good	-0.02	1.60		MEAS	1	Imported Channel 1	UNSP	other		445				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	25	1947-12-16		Yes	p	USGS	5.98	967				Fair	0.09	2.30		MEAS	1	Imported Channel 1	UNSP	other		967				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	26	1947-12-18		Yes	b	USGS	5.50	486				Good	-0.01	0.80		MEAS	1	Imported Channel 1	UNSP	other		486				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	27	1947-12-22		Yes	l	USGS	5.40	433				Good	-0.10	0.70		MEAS	1	Imported Channel 1	UNSP	other		433				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	28	1947-12-31		Yes	r	USGS	5.33	401				Good	-0.02	1.00		MEAS	1	Imported Channel 1	UNSP	other		401				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	29	1948-01-07		Yes	s	USGS	5.56	514				Fair	-0.01	1.60		MEAS	1	Imported Channel 1	UNSP	other		514				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	20	1948-01-07		Yes	l	USGS	5.58	635				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		635				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	30	1948-01-12		Yes	s	USGS	5.48	452				Poor	-0.02	1.60		MEAS	1	Imported Channel 1	UNSP	other		452				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	31	1948-01-16		Yes	t	USGS	5.63	388				Good	-0.04	0.80	IceCover	MEAS	1	Imported Channel 1	UNSP	other		388				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	32	1948-01-20		Yes	s	USGS	5.43	325				Poor	0.05	1.20	IceCover	MEAS	1	Imported Channel 1	UNSP	other		325				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	33	1948-01-29		Yes	s	USGS	6.23	419				Poor	0.01	1.30	IceCover	MEAS	1	Imported Channel 1	UNSP	other		419				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	34	1948-02-06		Yes	s	USGS	6.20	379				Fair	-0.02	0.90	IceCover	MEAS	1	Imported Channel 1	UNSP	other		379				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	35	1948-02-11		Yes	s	USGS	6.18	292				Poor	0.02	1.20	IceCover	MEAS	1	Imported Channel 1	UNSP	other		292				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	36	1948-02-12		Yes	d	USGS	6.20	309				Fair	0.01	0.80	IceCover	MEAS	1	Imported Channel 1	UNSP	other		309				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	37	1948-02-17		Yes	s	USGS	6.59	599				Poor	0.01	1.30	IceCover	MEAS	1	Imported Channel 1	UNSP	other		599				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	38	1948-02-20		Yes	b	USGS	7.11	2110				Good	-0.03	1.50		MEAS	1	Imported Channel 1	UNSP	other		2110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	39	1948-02-25		Yes	s	USGS	5.95	887				Good	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		887				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	40	1948-03-03		Yes	s	USGS	6.39	1280				Good	-0.02	1.50		MEAS	1	Imported Channel 1	UNSP	other		1280				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	42	1948-03-08		Yes	s	USGS	6.08	947				Good	-0.05	1.30		MEAS	1	Imported Channel 1	UNSP	other		947				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	41	1948-03-08		Yes	r	USGS	6.17	1100				Good	29.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		1100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	43	1948-03-15		Yes	s	USGS	5.80	777				Fair	-0.02	1.20		MEAS	1	Imported Channel 1	UNSP	other		777				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	44	1948-03-16		Yes	s	USGS	7.39	2380				Fair	0.59	2.00		MEAS	1	Imported Channel 1	UNSP	other		2380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	45	1948-03-17		Yes	r	USGS	7.54	3000				Good	-0.07	1.50		MEAS	1	Imported Channel 1	UNSP	other		3000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	46	1948-03-26		Yes	h	USGS	6.23	920				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		920				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	47	1948-03-31		Yes	h	USGS	5.89	745				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		745				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	48	1948-04-06		Yes	h	USGS	6.34	1170				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		1170				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	49	1948-04-15		Yes	h	USGS	8.13	3660				Good	0.00	1.40		MEAS	1	Imported Channel 1	UNSP	other		3660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	50	1948-04-22		Yes	h	USGS	6.03	947				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		947				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	51	1948-04-29		Yes	h	USGS	5.67	661				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		661				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	52	1948-05-07		Yes	h	USGS	7.10	2260				Good	0.06	1.00		MEAS	1	Imported Channel 1	UNSP	other		2260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	53	1948-05-13		Yes	h	USGS	7.20	2710				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		2710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	54	1948-05-19		Yes	h	USGS	6.72	1610				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		1610				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	55	1948-05-24		Yes	h	USGS	6.04	1020				Good	-0.02	0.60		MEAS	1	Imported Channel 1	UNSP	other		1020				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	56	1948-06-03		Yes	h	USGS	5.53	597				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		597				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	57	1948-06-08		Yes	h	USGS	6.19	964				Good	-0.06	0.60		MEAS	1	Imported Channel 1	UNSP	other		964				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	58	1948-06-15		Yes	h	USGS	5.30	451				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		451				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	59	1948-06-21		Yes	h	USGS	5.47	464				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		464				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	60	1948-06-28		Yes	h	USGS	5.32	394				Good	-0.04	1.00		MEAS	1	Imported Channel 1	UNSP	other		394				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	61	1948-07-07		Yes	h	USGS	5.02	271				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		271				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	62	1948-07-15		Yes	h	USGS	5.08	299				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		299				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	63	1948-07-21		Yes	r	USGS	4.90	242				Good	0.03	0.80		MEAS	1	Imported Channel 1	UNSP	other		242				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01470500	64	1948-07-30		Yes	h	USGS	4.93	258				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		258				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
