#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:02 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01472000 Schuylkill River at Pottstown, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01472000	5	1927-11-18		Yes	CHY	USGS	7.78	11600				Unspecified	-0.55	2.70		MEAS	1	Imported Channel 1	UNSP	other		11600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	26	1933-09-16		Yes	LMT/SNY	USGS	4.85	5010				Unspecified	-0.03	1.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5010	284	1680	2.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	29	1934-01-08		Yes	JMS	USGS	5.78	7270				Unspecified	-0.03	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7270	285	2180	3.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	38	1935-07-12		Yes	G.W	USGS	5.17	5480				Unspecified	-0.06	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5480	288	1820	3.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	42	1936-03-11		Yes	LMT/JMS	USGS	8.90	14100				Unspecified	0.36	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14100	344	2970	4.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	62	1938-12-06		Yes	RTZ/KTS	USGS	10.64	18500				Unspecified	0.08	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	18500	343	3510	5.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	65	1939-02-17		Yes	WCG	USGS	5.04	5400				Unspecified	-0.02	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5400	284	1640	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	76	1940-03-04		Yes	JMS/B.B	USGS	9.69	15800				Unspecified	-0.01	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	15800	344	3250	4.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	77	1940-03-06		Yes	JMS/D.B	USGS	4.94	5270				Unspecified	-0.04	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5270	284	1540	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	78	1940-03-16		Yes	JMS/JHM	USGS	6.28	7560				Unspecified	-0.10	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7560	299	2150	3.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	80	1940-04-21		Yes	EAB	USGS	7.58	10700				Unspecified	-0.06	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10700	294	2370	4.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	102	1942-05-23		Yes	WJA	USGS	19.94	50400				Unspecified	0.13	3.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	50400	357	6890	7.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	103	1942-05-23		Yes	WJA	USGS	20.15	50000				Unspecified	0.05	1.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	50000	357	6980	7.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	104	1942-05-24		Yes	D.B/WJA	USGS	15.39	32500				Unspecified	-0.90	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	32500	355	5270	5.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	105	1942-05-25		Yes	D.B/WJA	USGS	7.28	9200				Unspecified	-0.13	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9200	300	2390	3.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	106	1942-05-27		Yes	WJA	USGS	4.97	5350				Unspecified	-0.02	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5350	285	1740	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	117	1943-05-21		Yes	WJA	USGS	5.08	5260				Unspecified	-0.03	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5260	283	1460	3.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	139	1945-03-01		Yes	HMR/RCL	USGS	5.54	6190				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6190	279	1520	4.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	144	1945-07-27		Yes	RCL/RTZ	USGS	5.45	5190				Good	0.06	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5190	280	1440	3.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	153	1946-06-03		Yes	BTN/RUD	USGS	8.50	10900				Good	-0.11	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10900	285	2590	4.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	167	1947-05-28		Yes	TRT	USGS	5.92	5530				Good	-0.04	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5530	285	1550	3.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	169	1947-07-22		Yes	BTN	USGS	5.74	5520				Good	-0.03	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5520	283	1560	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	179	1948-05-06		Yes	EVN	USGS	6.44	6910				Good	-0.09	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6910	286	1860	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	223	1950-12-08		Yes	CBL	USGS	9.26	13100				Good	0.62	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13100	318	2940	4.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	240	1951-12-21		Yes	EVN	USGS	5.63	6220				Fair	0.18	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6220	284	1640	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	243	1952-03-12		Yes	GNR	USGS	10.71	18400				Good	-0.58	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	18400	340	3490	5.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	252	1952-11-23		Yes	BTN/SLY	USGS	12.05	21300				Good	-0.51	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	21300	339	3950	5.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	254	1953-01-12		Yes	CHD	USGS	5.34	5730				Good	-0.05	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5730	282	1620	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	255	1953-02-16		Yes	ATR	USGS	4.91	5120				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5120	282	1580	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	278	1955-03-24		Yes	YHL/GDK	USGS	6.43	7780				Good	-0.13	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7780	284	1930	4.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	284	1955-08-19		Yes	WHT/ATR	USGS	17.43	40800				Fair	-0.35	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	40800	342	6130	6.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	286	1955-10-18		Yes	EVN	USGS	5.68	6420				Good	-0.04	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6420	282	1720	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	300	1957-04-11		Yes	ATR	USGS	5.18	5290				Good	-0.03	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5290	280	1770	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	329	1960-04-08		Yes	ATR	USGS	5.74	6430				Good	-0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6430	272	1850	3.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	357	1963-03-11		Yes	BHN	USGS	5.69	6540				Good	-0.14	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6540	280	1700	3.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	368	1964-05-04		Yes	BTO	USGS	5.30	5720				Good	-0.03	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5720	283	1530	3.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	395	1967-05-12		Yes	YHL	USGS	5.34	5720				Good	-0.08	1.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5720	278	1750	3.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	415	1969-07-31		Yes	RLD/W.F	USGS	9.44	12800				Good	-0.18	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12800	294	2910	4.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	416	1969-07-31		Yes	RLD/W.F	USGS	9.26	12400				Good	-0.17	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12400	294	2930	4.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	422	1970-04-02		Yes	RLD/J.K	USGS	7.18	8760				Good	0.08	0.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8760	295	2260	3.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	423	1970-04-02		Yes	RLD/J.K	USGS	7.28	8940				Good	0.09	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8940	295	2310	3.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	424	1970-04-04		Yes	J.K/RLD	USGS	10.26	15400				Fair	-0.19	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	15400	347	3340	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	425	1970-04-04		Yes	J.K/RLD	USGS	10.10	14700				Fair	-0.06	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14700	357	3400	4.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	450	1972-12-08		Yes	rld/v.c	USGS	6.19	6120				Good	-0.05	1.30	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6120	288	2200	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	452	1973-02-03		Yes	V.C/RLD	USGS	8.30	11200				Good	0.01	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11200	443	3470	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	456	1973-05-30		Yes	V.C/RLD	USGS	5.72	6300				Unspecified	-0.05	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6300	416	2200	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	461	1973-12-22		Yes	T.P	USGS	11.38	17100				Unspecified	-0.44	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	17100	329	4640	3.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	462	1973-12-27		Yes	V.C	USGS	7.62	9790				Fair	0.02	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9790	398	3050	3.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	472	1974-12-09		Yes	T.D	USGS	7.32	11000				Fair	-0.23	1.70	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11000	349	3740	2.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	478	1975-02-25		Yes	K.K/N/Z	USGS	9.06	14400				Good	-0.02	2.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14400	330	6720	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	481	1975-03-20		Yes	K.K/L.B	USGS	10.49	17100				Good	0.06	1.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	17100	330	4620	3.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	489	1975-09-25		Yes	T.D	USGS	11.03	18800				Good	0.03	1.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	18800	330	4900	3.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	493	1976-01-27		Yes	RLD/T.D	USGS	17.77	41500				Poor	0.10	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	41500	345	7490	5.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	500	1976-10-13		Yes	C/D	USGS	4.27	3730				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3730	331	2580	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	501	1976-12-01		Yes	C	USGS	2.11	982				Fair	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	982	324	1750	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	502	1977-01-03		Yes	C	USGS	2.02	906				Fair	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	906	264	1480	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	504	1977-01-26		Yes	C/S	USGS	1.74	850				Fair	-0.01	1.50	IceShore	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	850	347	1710	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	503	1977-01-26		Yes	C/S	USGS	1.76	885				Fair	-0.01	1.50	IceShore	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	885	347	1700	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	505	1977-02-02		Yes	C/L	USGS	1.68	706				Fair			IceShore	MEAS	1	Imported Channel 1	UNSP	other		706				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	506	1977-02-02		Yes	C/L	USGS	1.65	746				Fair	-0.01	1.30	IceShore	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	746	365	1690	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	507	1977-02-15		Yes	C	USGS	2.78	2120				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2120	394	2220	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	508	1977-04-06		Yes	M/S	USGS	7.08	9180				Fair	-0.10	1.90		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	9180	344	3460	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	509	1977-05-17		Yes	S	USGS	2.48	1310				Good	0.00	2.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1310	356	1610	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	510	1977-06-29		Yes	D/S	USGS	2.12	1050				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		1050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	511	1977-08-10		Yes	D	USGS	1.91	829				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	829	320	1590	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	512	1977-09-21		Yes	S	USGS	1.57	494				Fair	0.00	2.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	494	294	1420	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	513	1977-10-12		Yes	M	USGS	3.10	2100				Fair	-0.03	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2100	333	1970	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	514	1977-11-14		Yes	D	USGS	4.26	3710				Good	-0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3710	330	2260	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	515	1977-12-14		Yes	C	USGS	3.23	2140				Fair	0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2140	330	1980	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	516	1978-02-14		Yes	D	USGS	2.88	1490				Fair	0.00	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1490	335	1860	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	517	1978-03-22		Yes	S	USGS	5.99	7030				Good	0.04	2.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7030	330	3140	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	518	1978-05-09		Yes	D	USGS	3.13	2120				Unspecified			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2120	322	2110	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	519	1978-06-13		Yes	C	USGS	2.91	1920				Fair	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1920	300	2040	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	520	1978-07-24		Yes	M/R	USGS	1.81	720				Poor	-0.02	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	720	276	1610	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	521	1978-09-08		Yes	C	USGS	1.79	832				Poor	-0.01		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	832	295	1680	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	522	1978-10-04		Yes	D/M	USGS	1.68	808				Poor	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	808	240	1600	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	523	1978-12-06		Yes	C	USGS	2.68	1630				Poor	-0.01	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1630	308	1880	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	524	1979-01-23		Yes	C	USGS	6.02	7210				Good	-0.08	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7210	330	3200	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	525	1979-03-07		Yes	C	USGS	7.40	9480				Fair	-0.09	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9480	329	3510	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	526	1979-04-12		Yes	S	USGS	3.78	3040				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3040	333	2330	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	527	1979-06-05		Yes	C	USGS	2.99	1980				Poor	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1980	311	2070	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	528	1979-07-06		Yes	C	USGS	2.05	902				Fair	-0.01	1.40	Clear	MEAS	1	Imported Channel 1	UNSP	other		902				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	529	1979-08-31		Yes	G	USGS	1.65	540				Poor	0.00	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	540	268	1480	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	530	1979-10-29		Yes	C	USGS	2.98	1970				Poor	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1970	295	1940	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	531	1979-12-05		Yes	C	USGS	2.86	1880				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1880	301	1910	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	532	1980-01-24		Yes	C	USGS	2.31	1160				Poor	-0.01	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1160	278	1720	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	533	1980-03-19		Yes	C	USGS	5.40	5740				Good	-0.07	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5740	331	2740	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	534	1980-05-14		Yes	C	USGS	4.37	3890				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3890	331	2420	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	535	1980-07-09		Yes	C	USGS	1.65	698				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	698	274	1610	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	536	1980-08-08		Yes	C/P	USGS	1.46	470				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	470	135	240	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	537	1980-10-29		Yes	C	USGS	1.41	419				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	419	129	258	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	538	1981-01-14		Yes	C/G	USGS	1.56	285				Poor	0.00	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	285	120	312	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01472000	539	1981-02-17		Yes	C	USGS	2.80	1700				Fair	0.00	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1700	294	1870	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
