#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:36 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04235600 SENECA RIVER (ERIE CANAL) NEAR PORT BYRON NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04235600	1	1996-11-20 09:35:00	EST	Yes	skm/hjz	USGS	78.47	8300				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8300	277	4240	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	2	1996-11-20 11:10:00	EST	Yes	skm/hjz	USGS	78.49	8510				Good	-0.01	1.40	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	8510	277	4270	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	3	1996-12-03 09:20:00	EST	Yes	mjw/rlm	USGS	79.53	10300				Good	0.02	1.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10300	275	4530	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	4	1996-12-03 10:40:00	EST	Yes	mjw/hjz	USGS	79.57	10200				Good	0.07	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10200	275	4540	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	5	1997-03-13 10:40:00	EST	Yes	skm/jem	USGS	76.99	6450				Good	0.01	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6450	270	3830	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	6	1997-03-13 12:30:00	EST	Yes	dss/jem	USGS	77.00	6570				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6570	270	3850	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	7	1997-10-01 10:48:00	EST	Yes	hjz/cos	USGS	73.72	1960				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1960	309	2990	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	8	1997-12-16 09:35:00	EST	Yes	rlm/cac	USGS	75.01	4370				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4370	263	3380	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	9	1997-12-16 10:32:00	EST	Yes	hjz/mjw	USGS	75.02	4400				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4400	275	3310	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	10	1998-04-03 12:17:00	EST	Yes	hjz/mjw	USGS	77.11	6480				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6480	312	3860	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	11	1998-06-24 10:19:00	EST	Yes	hjz/mjw	USGS	74.12	2740				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2740	273	3090	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	12	1998-08-26 11:25:00	EST	Yes	hjz/mjw	USGS	73.60	901				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	901	256	2960	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	13	1998-09-15 10:18:00	EST	Yes	hjz/mjw	USGS	73.40	532				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	532	249	2910	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	14	1998-10-20 09:30:00	EST	Yes	hjz/mjw	USGS	73.46	1210				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1210	266	2930	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	15	1998-12-02 09:06:00	EST	Yes	cac/rlm	USGS	74.14	2770				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2770	245	3090	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	16	1998-12-02 10:00:00	EST	Yes	hjz/mjw	USGS	74.13	2860				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2860	260	3090	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	17	1999-03-30 09:15:00	EST	Yes	cac/rlm	USGS	75.53	4450				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4450	259	3500	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	18	1999-03-30 09:55:00	EST	Yes	hjz/mjw	USGS	75.53	4590				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4590		3450	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	19	1999-04-22 09:54:00	EST	Yes	hjz/mjw	USGS	73.69	1550				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1550		2980	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	20	1999-05-26 09:47:00	EST	Yes	hjz/mjw	USGS	73.66	1340				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1340		2980	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	21	1999-06-23 13:19:00	EST	Yes	hjz/mjw	USGS	73.49	705				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	705		2930	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	22	1999-07-19 09:28:00	EST	Yes	hjz/mjw	USGS	73.23	733				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	733		2870	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	23	1999-08-23 09:22:00	EST	Yes	hjz/mjw	USGS	73.36	726				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	726		2900	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	24	1999-09-15 09:28:00	EST	Yes	hjz/mjw	USGS	73.39	685				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	685		2910	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	25	1999-10-21 08:53:00	EST	Yes	hjz/mjw	USGS	73.78	1770				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1770		3000	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	26	1999-11-09 09:42:00	EST	Yes	hjz/mjw	USGS	73.20	626				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	626		2860	0.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	27	1999-12-07 09:00:00	EST	Yes	rlm/skm	USGS	74.41	3200				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3200	251	3130	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	28	1999-12-07 09:32:00	EST	Yes	hjz/mjw	USGS	74.41	3550				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3550		3160	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	29	2000-01-12 09:08:00	EST	Yes	hjz/mjw	USGS	74.16	2950				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2950		3100	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	30	2000-03-01 08:57:00	EST	Yes	hjz/mjw	USGS	78.55	9480				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9480		4250	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	31	2000-04-25 08:43:00	EST	Yes	hjz/mjw	USGS	78.47	8870				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8870		4230	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	32	2000-04-25 09:43:00	EST	Yes	hjz/mjw	USGS	78.47	8900				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8900		4230	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	33	2000-05-24 08:38:00	EST	Yes	hjz/mjw	USGS	77.40	6820				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6820		3940	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	34	2000-06-20 08:34:00	EST	Yes	hjz/mjw	USGS	75.33	4690				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4690		3390	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	35	2000-07-31 09:02:00	EST	Yes	hjz/mjw	USGS	73.67	1230				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1230		2980	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	36	2000-07-31 13:48:00	EST	Yes	hjz/mjw	USGS	73.61	1040				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1040		2960	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	37	2000-08-29 08:47:00	EST	Yes	hjz/mjw	USGS	73.55	857				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	857		2950	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	38	2000-09-26 08:32:00	EST	Yes	hjz/mjw	USGS	73.93	1950				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1950		3040	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	39	2000-10-24 08:34:00	EST	Yes	hjz/mjw	USGS	73.74	2060				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2060		2720	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	40	2000-11-08 08:31:00	EST	Yes	hjz/mjw	USGS	73.64	1660				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1660		2970	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	42	2000-12-13 09:30:00	EST	Yes	skm/jem	USGS	73.86	2030				Good	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2030	252	3070	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	41	2000-12-13 09:58:00	EST	Yes	hjz/mjw	USGS	73.86	2210				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2210		3020	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	43	2001-02-13 09:20:00	EST	Yes	HJZ/MJW	USGS	75.19	3770				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3770		3360	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04235600	44	2001-03-27 09:25:00	EST	Yes	HJZ/MJW	USGS	77.28	6600				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6600		3910	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
