#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:39 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04237500 SENECA RIVER AT BALDWINSVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04237500	1	1949-11-14		Yes	X	USGS	2.17	1480				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	2	1949-12-13		Yes	X	USGS	2.30	1400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	3	1950-01-17		Yes	X	USGS	3.18	3250				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	4	1950-02-13		Yes	X	USGS	3.34	3870				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3870				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	5	1950-03-14		Yes	X	USGS	3.87	5590				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	6	1950-03-30		Yes	X	USGS	8.30	14500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	7	1950-04-13		Yes	X	USGS	6.57	11300				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	8	1950-05-08		Yes	X	USGS	2.79	2870				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2870				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	9	1950-06-09		Yes	X	USGS	2.67	2310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	10	1950-07-21		Yes	X	USGS	2.00	1580				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1580				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	11	1950-08-16		Yes	X	USGS	1.91	1410				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1410				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	12	1950-09-19		Yes	X	USGS	2.29	2000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2000	230	870	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	13	1950-10-16		Yes	X	USGS	3.14	3510				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3510	242	1090	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	14	1950-11-10		Yes	X	USGS	3.22	4240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4240	241	1120	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	15	1950-12-11		Yes	GS	USGS	6.07	11100				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		11100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	16	1951-01-13		Yes	X	USGS	4.59	7330				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7330	246	1450	5.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	17	1951-02-21		Yes	GS	USGS	5.86	10800				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		10800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	18	1951-03-20		Yes	X	USGS	5.33	9230				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9230	244	1530	6.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	19	1951-04-03		Yes	GS	USGS	6.42	11400				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		11400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	20	1951-04-11		Yes	X	USGS	4.51	6970				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6970	241	1430	4.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	21	1951-05-17		Yes	X	USGS	2.60	2560				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2560	228	833	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	22	1951-06-19		Yes	X	USGS	2.79	2710				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2710	238	888	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	23	1951-07-18		Yes	X	USGS	2.50	2350				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2350	230	771	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	24	1951-08-15		Yes	X	USGS	1.73	1200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1200	220	604	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	25	1951-09-12		Yes	X	USGS	1.44	1020				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1020	217	558	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	26	1951-10-01		Yes	X	USGS	1.75	1370				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1370	223	694	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	27	1951-12-06		Yes	X	USGS	2.61	2280				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2280	236	833	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	28	1952-01-16		Yes	X	USGS	3.54	4160				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4160	238	1150	3.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	29	1952-02-12		Yes	X	USGS	4.24	6230				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6230	247	1360	4.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	30	1952-03-10		Yes	X	USGS	3.70	5250				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5250	242	1240	4.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	31	1952-04-08		Yes	X	USGS	4.46	6600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6600	246	1440	4.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	32	1952-05-06		Yes	X	USGS	2.25	2090				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2090	231	790	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	33	1952-06-10		Yes	X	USGS	2.61	2550				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2550	240	915	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	34	1952-07-15		Yes	X	USGS	2.01	1650				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1650	230	770	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	35	1952-08-12		Yes	X	USGS	1.80	1310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1310	220	681	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	36	1952-10-17		Yes	X	USGS	2.01	1540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	37	1952-11-19		Yes	X	USGS	1.62	847				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	847				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	38	1952-12-11		Yes	X	USGS	2.79	2770				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	39	1953-01-15		Yes	X	USGS	2.80	3030				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3030				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04237500	40	1953-02-16		Yes	X	USGS	3.22	3610				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3610				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
