#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:44 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10183500 SEVIER RIVER NEAR KINGSTON, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10183500	640	1980-09-03		Yes	DCE	USGS	1.05	50.4	 5.0	0.020	0.400	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		50.4	38.0	35.7	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	641	1980-10-01		Yes	DCE	USGS	1.22	86.9	 4.0	0.00	-1.00	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		86.9	40.0	52.8	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	642	1980-10-30		Yes	DCE	USGS	1.62	189.0	 4.0	0.00	-6.40	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		189.0	59.0	91.0	2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	643	1981-01-08		Yes	DCE	USGS	1.60	186.0	 4.0	0.00	-5.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		186.0	50.0	84.8	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	644	1981-03-04		Yes	DCE	USGS	1.54	173.0	 4.0	0.00	-2.10	UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		173.0	59.0	82.4	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	645	1981-04-02		Yes	DCE	USGS	1.39	133.0	 4.0	0.00	1.50	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		133.0	58.0	69.8	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	646	1981-04-29		Yes	DCE	USGS	1.09	57.8	 4.0	0.00	-4.10	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		57.8	36.0	44.8	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	647	1981-06-02		Yes	DCE	USGS	1.41	128.0	 5.0	0.020	2.40	GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		128.0	58.0	67.8	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10183500	648	1981-06-30		Yes	DCE	USGS	0.81	17.5	 5.0	0.010	2.90	UNSP	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		17.5	20.0	10.2	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
