#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:49 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10205000 SEVIER RIVER NEAR SIGURD, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10205000	747	1980-09-04		Yes	DCE	USGS	0.32	4.06	16.0	0.100	0.00	FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		4.06	10.5	5.62	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	748	1980-10-02		Yes	DCE	USGS	1.79	121.0	17.0	0.100	2.50	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		121.0	41.0	71.3	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	749	1981-01-09		Yes	DCE	USGS	2.61	252.0	17.0	0.100	-0.800	FAIR	0.00	0.50		MEAS	1	Unspecified	CWAY	QUNSP		252.0	52.0	116	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	750	1981-03-05		Yes	DCE	USGS	1.58	80.1	17.0	0.00	-0.900	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		80.1	36.0	55.8	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	751	1981-04-14		Yes	DCE	USGS	0.62	11.1	17.0	0.00	-0.900	UNSP	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		11.1	31.0	23.6	0.470	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	752	1981-05-15		Yes	DCE	USGS	1.25	48.4	17.0	0.00	-1.20	FAIR	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		48.4	34.0	47.8	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	753	1981-06-16		Yes	DCE	USGS	0.69	15.8	17.0	0.030	3.30	GOOD	-0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		15.8	32.0	28.8	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	754	1981-07-15		Yes	DCE	USGS	1.26	60.0	17.0	0.100	2.70	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		60.0	38.0	50.3	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	755	1981-09-02		Yes	DCE	USGS	1.53	83.4	17.0	0.070	0.500	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		83.4	37.0	62.0	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	756	1981-10-05		Yes	DCE	USGS	1.23	55.6	18.0	0.040	0.700	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		55.6	45.0	56.4	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	757	1981-11-13		Yes	DCE	USGS	1.73	105.0	18.0	0.040	-4.50	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		105.0	39.0	71.0	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	758	1981-12-08		Yes	DCE	USGS	1.81	116.0	18.0	0.040	-4.10	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		116.0	41.0	74.4	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	759	1982-02-17		Yes	LGS	USGS	2.74	279.0	18.0	0.040	-1.10	GOOD	0.00	0.58		MEAS	1	Unspecified	CWAY	QUNSP		279.0	48.0	111	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	760	1982-03-23		Yes	LGS	USGS	2.27	188.0	18.0	0.040	-2.10	GOOD	0.00	1.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		188.0	44.2	114	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	761	1982-04-19		Yes	LGS	USGS	1.02	39.1	18.0	0.040	3.20	FAIR	-0.09	0.92	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.1	32.8	41.5	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	762	1982-06-21		Yes	LGS	USGS	1.91	139.0	18.0	0.040	3.00	FAIR	0.00	1.08		MEAS	1	Unspecified	WADE	QUNSP		139.0	42.0	83.0	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10205000	763	1982-07-28		Yes	LGS	USGS	0.28	2.71	18.0	0.040	-13.4	FAIR	0.00	0.58		MEAS	1	Unspecified	WADE	QUNSP		2.71	23.8	16.0	0.170	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
