#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:15:57 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10224000 SEVIER RIVER NEAR LYNNDYL, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10224000	550	1980-09-04		Yes	LGS/MRE	USGS	3.44	112.0	 5.0	0.00	-1.80	GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		112.0	78.0	103	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	550A	1980-09-11		Yes	LRH/RWC	USGS	3.70	148.0		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		148.0	81.0	105	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	550B	1980-09-23		Yes	MDR	USGS	2.82	52.9		0.00		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		52.9	64.0	48.4	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	550C	1980-09-24		Yes	MDR	USGS	2.69	41.8	 5.0	0.00	4.50	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		41.8	61.0	43.3	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	550D	1980-10-08		Yes	MDR	USGS	2.70	44.7	 5.0	0.00	-3.90	GOOD	0.00	0.33		MEAS	1	Unspecified	WADE	QUNSP		44.7	63.0	43.2	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	550E	1980-10-09		Yes	MDR	USGS	2.70	43.0	 5.0	-0.020	-4.90	GOOD				MEAS	1	Unspecified	WADE	QUNSP		43.0	63.0	44.9	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	551	1980-10-15		Yes	LGS	USGS	2.60	37.0	 5.0	-0.020	-4.60	GOOD	0.01	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		37.0	50.5	39.3	0.890	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	552	1980-11-14		Yes	LGS	USGS	2.88	62.1	 5.0	0.00	4.40	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		62.1	67.5	63.1	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	552A	1980-11-20		Yes	VLJ	USGS	2.83	52.0	 5.0	0.00	-6.80	GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		52.0	64.0	56.4	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	552B	1980-11-21		Yes	VLJ	USGS	2.82	55.0	 5.0	0.00	0.00	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		55.0	64.0	59.2	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	553	1980-12-10		Yes	LGS	USGS	2.25	19.6	 5.0	0.00	3.20	GOOD	0.01	1.00		MEAS	1	Unspecified	WADE	QUNSP		19.6	30.6	21.9	0.890	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	554	1981-01-22		Yes	LGS	USGS	3.54	124.0	 5.0	0.00	-1.40	GOOD	0.01	2.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		124.0	79.5	106	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10224000	555	1981-02-19		Yes	LGS	USGS	4.91	332.0	 5.0	0.00	-7.80	GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		332.0	87.0	204	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
