#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:13 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12413040 SF COEUR D ALENE R ABV DEADMAN GULCH NR MULLAN ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12413040	1	1998-05-19 09:28:00	PDT	Yes	KFK/HRC	USGS	4.21	77.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	77.5	30.0	27.6	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	2	1998-09-10 10:32:00	PDT	Yes	HRC/ZLT	USGS	3.59	10.5				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.5	14.0	9.44	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	3	1998-10-22 12:41:00	PDT	Yes	KFK/HRC	USGS	3.57	9.68				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.68	13.2	10.1	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	4	1998-11-16 15:43:00	PST	Yes	KFK/KLH	USGS	3.68	16.4				Good	-0.02	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.4	15.0	13.3	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	5	1998-12-14 15:15:00	PST	Yes	HRC	USGS	3.75	19.9				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.9	11.0	9.84	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	6	1999-01-20 09:21:00	PST	Yes	ZLT/JOG	USGS	3.74	21.8				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.8	14.0	13.1	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	7	1999-03-22 11:28:00	PST	Yes	HRC/JOG	USGS	4.18	56.0				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	56.0	17.0	23.5	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	8	1999-03-31 07:15:00	PST	Yes	ZLT/JOG	USGS	4.09	45.9				Good	-0.03	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	45.9	15.5	20.0	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413040	9	1999-04-19 09:00:00	PDT	Yes	HRC/JOG	USGS	4.61	115				Fair	0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	115	30.0	32.6	3.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
