#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:15 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12413150 SF COEUR D ALENE RIVER AT SILVERTON ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12413150	1	1934-01-24		Yes	xxx	USGS		1070				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	2	1934-01-27		Yes	xxx	USGS		557				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		557				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	3	1934-02-01		Yes	xxx	USGS		365				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		365				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	104	1979-10-09		Yes	DNU	USGS	3.91	45.5				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	45.5	35.0	31.8	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	105	1979-12-04		Yes	DNU	USGS	4.90	199				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	199	43.0	60.8	3.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	106	1980-02-13		Yes	DNU	USGS	4.06	54.1				Good	0.02	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	54.1	40.0	36.1	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	107	1980-04-10		Yes	DNU	USGS	4.68	144				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	41.5	45.2	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	108	1980-04-30		Yes	DNU	USGS	6.83	952				Good	-0.08	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	952	52.0	149	6.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	109	1980-06-25		Yes	JRW	USGS	5.31	320				Good	-0.03	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	320	40.0	83.8	3.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	110	1980-08-06		Yes	FKC	USGS	4.37	98.4				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	98.4	36.0	42.4	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	111	1980-10-15		Yes	SAG/U	USGS	4.07	54.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	54.5	33.0	35.3	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	112	1980-12-08		Yes	SAG	USGS	4.50	108				Good	0.01	1.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	108	42.0	47.6	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	113	1980-12-28		Yes	DNU	USGS	6.85	984				Good	-0.04	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	984	53.0	155	6.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	114	1981-02-24		Yes	DNU	USGS	5.18	297				Good	-0.01	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	297	44.0	73.5	4.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	115	1981-04-15		Yes	DNU	USGS	4.87	201				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	201	41.0	58.0	3.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	116	1981-06-03		Yes	U/G	USGS	5.74	515				Poor	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	515	49.0	108	4.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	117	1981-07-28		Yes	DNU	USGS	4.52	122				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	122	30.0	38.6	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	118	1981-09-23		Yes	JRW	USGS	4.00	63.3				Good	0.10	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	63.3	25.0	33.7	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	119	1981-11-18		Yes	JRW	USGS	4.46	114				Good	-0.02	0.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	114	28.0	49.0	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	120	1982-02-04		Yes	DNU	USGS	3.98	51.7				Good	0.00	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.7	36.0	24.7	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	121	1982-04-08		Yes	DNU	USGS	4.92	182				Good	-0.03	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	182	43.0	65.1	2.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	122	1982-06-15		Yes	JOG	USGS	7.05	1010				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1010	54.0	163	6.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	123	1982-08-02		Yes	JOG	USGS	4.55	113				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	113	36.0	35.4	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413150	124	1982-10-18		Yes	JOG	USGS	4.10	71.0				Good	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	71.0	31.5	27.6	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
