#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:17 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12413355 SF COEUR D ALENE RIVER ABV PINE CR NR PINEHURST ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12413355	1	2008-09-25 14:25:00	PDT	Yes	KFK/HRC	USGS	87.41	108				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	108	65.5	166	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413355	2	2008-09-25 14:35:00	PDT	Yes	HRC/KFK	USGS	87.41	113				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	113	66.0	170	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413355	3	2008-10-16 14:13:00	PDT	Yes	DLH/KFK	USGS	87.34	94.5				Good	0.00	0.60	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	94.5	74.5	70.5	1.34	FIRM	GRVL	EVEN	unkn	UNSP	UNSP	DNST	400.00
USGS	12413355	4	2008-11-13 10:40:00	PST	Yes	HRC/KFK	USGS	88.21	316				Good	-0.03	1.00	DebrisLight	UNSP	1	Imported Channel 1	WADE	QSCMM	VADV	316	73.0	126	2.52	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	DNST	400.00
USGS	12413355	5	2008-12-09 14:07:00	PST	Yes	KFK	USGS	87.48	129				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	VADV	129	75.0	83.9	1.54	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	DNST	400.00
USGS	12413355	6	2009-01-09 11:28:00	PST	Yes	KFK/JOG	USGS	89.70	1010				Good		0.20	Clear	UNSP	1	Imported Channel 1	CWAY	QADCP	VADCP	1010				SOFT	SAND	EVEN	unkn	EVEN	UNSP	DNST	75.00
USGS	12413355	7	2009-02-09 12:08:00	PST	Yes	KFK	USGS	87.55	149				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	149	79.0	88.4	1.68	FIRM	GRVL	UNEV	unkn	UNEV	UNSP	DNST	300.00
USGS	12413355	8	2009-03-17 11:23:30	PDT	Yes	KFK	USGS	88.15	322				Good	0.00	0.90	Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	VADV	322	75.5	125	2.57	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	DNST	400.00
USGS	12413355	9	2009-04-30 11:25:30	PDT	Yes	KFK	USGS	88.78	586				Good	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	586	82.0	178	3.29	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	DNST	400.00
