#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12413470 SF COEUR D ALENE RIVER NR PINEHURST ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12413470	1	1987-07-28 11:55:00	PDT	Yes	G/L	USGS	7.78	131				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	131	75.0	95.2	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	2	1987-08-17 14:30:00	PDT	Yes	JOG	USGS	7.85	116				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	116	74.0	95.4	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	3	1987-09-18 12:35:00	PDT	Yes	DJL	USGS	7.61	86.8				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	86.8	77.0	91.0	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	4	1987-10-02 13:00:00	PDT	Yes	G/C	USGS	7.58	85.9				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	85.9	47.0	31.0	2.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	5	1987-11-13 12:45:00	PST	Yes	JOG	USGS	7.58	80.6				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.6	52.0	33.4	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	6	1987-12-15 10:45:00	PST	Yes	JOG	USGS	7.79	145				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	145	78.0	101	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	7	1988-01-11 10:40:00	PST	Yes	JOG	USGS	7.56	83.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	83.9	50.0	34.4	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	8	1988-02-23 14:00:00	PST	Yes	JOG	USGS	7.91	193				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	77.0	118	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	9	1988-03-25 10:40:00	PST	Yes	JOG	USGS	8.50	429				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	429	77.0	159	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413470	10	1988-04-07 11:05:00	PDT	Yes	DNU	USGS	10.08	1360				Good	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1360	98.0	291	4.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
