#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:51 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05056995 SHEYENNE RIVER ON HWY 200 NEAR COOPERSTOWN, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05056995	924	2009-04-12 12:17:00	CDT	Yes	CDL/DCT	USGS	18.77	3310				FAIR				MEAS																	
USGS	05056995	925	2009-04-16 09:24:00	CDT	Yes	CDL/DCT	USGS	19.80	5090				POOR			CLER	MEAS																	
USGS	05056995	926	2009-04-18 14:44:00	CDT	Yes	CDL/DCT	USGS	20.22	5990				FAIR			UNSP	MEAS																	
USGS	05056995	927	2009-04-23 09:12:00	CDT	Yes	CDL/DCT	USGS	19.42	4320				FAIR				MEAS																	
USGS	05056995	928	2009-05-07 13:30:00	CDT	Yes	JBK	USGS	16.15	1710				FAIR			UNSP	MEAS																	
USGS	05056995	929	2009-05-20 11:00:00	CDT	Yes	EGD	USGS	12.54	655				GOOD			UNSP	MEAS																	
USGS	05056995	937	2010-03-24 09:47:00	CDT	Yes	KMH/DMG	USGS	17.45	2280				GOOD			CLER	MEAS																	
USGS	05056995	938	2010-03-28 11:36:00	CDT	Yes	KMH	USGS	16.40	1850				GOOD			CLER	MEAS																	
USGS	05056995	939	2010-04-01 13:58:00	CDT	Yes	CDL/DCT	USGS	17.64	2360				GOOD			UNSP	MEAS																	
USGS	05056995	940	2010-04-07 09:46:00	CDT	Yes	AGL/PMS	USGS	18.00	2600				FAIR			UNSP	MEAS																	
USGS	05056995	941	2010-04-14 09:37:00	CDT	Yes	DCT/DMG	USGS	18.24	2770				GOOD			UNSP	MEAS																	
USGS	05056995	943	2010-05-25 11:16:59	CDT	Yes	DCT/LJS	USGS	15.48	1450				GOOD			CLER	MEAS																	
USGS	05056995	949	2011-04-10 10:10:00	CDT	Yes	JDM/BMH	USGS	19.38	4060				FAIR			SICE	MEAS																	
