#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:52 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05057000 SHEYENNE RIVER NR COOPERSTOWN, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05057000	1	1945-03-29		Yes	NELSON	USGS	6.96	383.0	****	0.00	-0.300	GOOD	-0.01	1.00		UNSP	1	Unspecified	UNSP			383.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	2	1945-04-04		Yes	NELSON	USGS	5.84	220.0	****	0.00	3.80	GOOD	-0.01	1.50		UNSP	1	Unspecified	UNSP			220.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	3	1945-04-09		Yes	NELSON	USGS	5.39	145.0	****	0.00	-3.30	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			145.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	4	1945-04-17		Yes	NELSON	USGS	5.04	107.0	****	0.00	0.00	GOOD	0.00	0.65		UNSP	1	Unspecified	UNSP			107.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	5	1945-05-01		Yes	NELSON	USGS	4.76	75.8	****	0.00	-0.300	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			75.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	6	1945-06-06		Yes	NELSON	USGS	4.89	91.2	****	0.00	2.60	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			91.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	7	1945-06-29		Yes	NELSON	USGS	4.28	30.6	****	-0.020		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			30.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	8	1945-08-02		Yes	NELSON	USGS	4.19	23.0	****	-0.030		GOOD	0.00	0.65		UNSP	1	Unspecified	UNSP			23.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	9	1945-09-04		Yes	NELSON	USGS	3.57	2.54	****	-0.040		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			2.54				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	10	1945-10-04		Yes	NELSON	USGS	3.73	4.42	****	-0.060		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			4.42				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	11	1945-11-03		Yes	NELSON	USGS	4.06	14.8	****	-0.030		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			14.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	12	1945-12-05		Yes	NELSON	USGS	3.89	10.0	****	0.00	3.00	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			10.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	13	1946-01-04		Yes	NELSON	USGS	4.04	8.81	****	0.180		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			8.81				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	14	1946-02-01		Yes	WOHL,NLS	USGS	4.30	9.50	****	0.420		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			9.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	15	1946-03-09		Yes	NELSON	USGS	4.12	9.53	****	0.240		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			9.53				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	16	1946-03-19		Yes	MCCREERY	USGS	9.95	509.0	****	2.13		GOOD	0.04	1.00		UNSP	1	Unspecified	UNSP			509.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	17	1946-03-23		Yes	MCCREERY	USGS	11.22	783.0	****	1.63		GOOD	0.06	1.17		UNSP	1	Unspecified	UNSP			783.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	18	1946-03-28		Yes	NELSON	USGS	9.76	803.0	****	0.00	-0.900	GOOD	0.00	1.33		UNSP	1	Unspecified	UNSP			803.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	19	1946-03-31		Yes	NELSON	USGS	10.46	934.0	****	0.00	0.900	GOOD	0.01	1.00		UNSP	1	Unspecified	UNSP			934.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05057000	20	1946-04-10		Yes	NELSON	USGS	6.20	260.0	****	0.00	-2.30	GOOD	-0.02	1.25		UNSP	1	Unspecified	UNSP			260.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
