#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:16:55 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05058600 SHEYENNE RIVER NR KATHRYN, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05058600	1	1995-03-03 10:35:00	CST	Yes	JBK	USGS	4.63	94.9	 1.0			FAIR	0.00	1.00	SICE	MEAS	1	Unspecified	ICE	QSCMM		94.9	48.0	138	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	2	1995-03-17 10:25:00	CST	Yes	MJV/JDW	USGS	13.35	1720	 1.0			UNSP	-0.04	1.00	CICE	MEAS	1	Unspecified	CRAN	QUNSP		1720	96.0	834	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	3	1995-03-21 14:40:00	CST	Yes	RAC	USGS	13.73	2660	 1.0	0.00	1.90	GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2660	98.0	906	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	4	1995-03-29 11:25:00	CST	Yes	MJV/LAC	USGS	16.80	3720	 1.0	0.00	3.30	UNSP	0.01	0.90		MEAS	1	Unspecified	CRAN	QUNSP		3720	126	1250	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	5	1995-04-07 09:15:00	CDT	Yes	JBK	USGS	17.46	3680	 1.0	0.00	-3.70	UNSP	-0.06			MEAS	1	Unspecified	CRAN	QUNSP		3680	128	1300	2.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	6	1995-05-08 13:40:00	CDT	Yes	JBK	USGS	7.70	851.0	 1.0	-0.260		FAIR	0.03	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		851.0	67.0	340	2.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	7	1995-06-21 12:25:00	CDT	Yes	JBK	USGS	3.67	97.5	 1.0	0.00	6.50	GOOD	0.01	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		97.5	48.0	50.5	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	8	1995-08-02 12:30:00	CDT	Yes	JBK	USGS	4.89	286.0	 1.0	0.00	-1.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		286.0	55.0	110	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05058600	9	1995-09-27 14:15:00	CDT	Yes	JBK	USGS	3.72	96.4	 1.0	0.00	-2.70	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		96.4	48.5	51.9	1.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
