#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:17:50 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06862850 SMOKY HILL R BL SCHOENCHEN, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06862850	5	1982-03-19 12:55:00	CST	Yes	JTR/RH	USGS	6.87	1240				FAIR	0.55	1.00		UNSP	1	Unspecified	UNSP			1240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	17	1984-04-04 09:00:00	CST	Yes	CGS	USGS	2.39	40.2				GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			40.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	20	1985-07-29 19:20:00	CDT	Yes	LKM/MH	USGS	3.38	53.2				FAIR	-0.02	1.00		UNSP	1	Unspecified	UNSP			53.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	21	1985-07-30 16:25:00	CDT	Yes	LKM/MH	USGS	5.04	243.0				POOR	0.27	1.00		UNSP	1	Unspecified	UNSP			243.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	29	1987-04-02 13:30:00	CST	Yes	RAS	USGS	6.77	620.0				FAIR	-0.08	1.00		UNSP	1	Unspecified	UNSP			620.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	30	1987-04-15 11:30:00	CDT	Yes	CGS/RS	USGS	7.97	923.0				GOOD	-0.18	1.00		UNSP	1	Unspecified	UNSP			923.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	35	1987-08-25 16:35:00	CDT	Yes	RAS	USGS	1.86	6.19	 3.0			FAIR	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		6.19	12.4	7.83	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	36	1987-10-06 12:00:00	CDT	Yes	RAS	USGS	1.44	0.040	 4.0			EXCL	0.00		MDDB	MEAS	1	Unspecified	OTHR	QFLUM		0.040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06862850	37	1987-11-17 11:25:00	CST	Yes	RAS	USGS	1.92	3.81	 4.0			GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		3.81	12.8	7.98	0.480	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
