#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:17:54 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06864050 SMOKY HILL R NR BUNKER HILL, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06864050	7	1939-07-02		Yes	FER	USGS	5.88	1220				UNSP	-0.13	2.00		UNSP	1	Unspecified	CRAN	QUNSP		1220	173	510	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	8	1939-07-03		Yes	FER/BRO	USGS	11.38	5610				UNSP	0.01	1.50		UNSP	1	Unspecified	CRAN	QUNSP		5610	250	1800	3.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	9	1939-08-28		Yes	BRO/BR	USGS	7.64	2520				UNSP	0.24	1.00		UNSP	1	Unspecified	UNSP			2520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	10	1939-08-29		Yes	BRO/BRO	USGS	6.60	1820				UNSP	-0.39	1.00		UNSP	1	Unspecified	CRAN	QUNSP		1820	174	638	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	24	1941-06-10		Yes	SCA	USGS	15.14	11700				UNSP	-0.25	2.00		UNSP	1	Unspecified	CRAN	QUNSP		11700	282	3040	3.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	26	1941-07-02		Yes	SCA	USGS	4.19	594.0				UNSP	-0.01	1.00		UNSP	1	Unspecified	CRAN	QUNSP		594.0	162	273	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	31	1941-11-13		Yes	SCA	USGS	2.46	529.0				UNSP	0.00	1.00		UNSP	1	Unspecified	WADE	QUNSP		529.0	72.5	38.5	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	40	1942-06-23		Yes	WIL	USGS	4.88	892.0				UNSP	-0.05	1.50		UNSP	1	Unspecified	CRAN	QUNSP		892.0	169	371	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	62	1944-05-10		Yes	PAL	USGS	4.19	534.0				UNSP	0.01	1.50		UNSP	1	Unspecified	UNSP			534.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	66	1944-08-17		Yes	EDE/KLA	USGS	4.30	628.0				UNSP	0.07	1.00		UNSP	1	Unspecified	CRAN	QUNSP		628.0	145	278	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	76	1945-06-27		Yes	KLA	USGS	9.01	3570				UNSP	0.56	1.50		UNSP	1	Unspecified	CRAN	QUNSP		3570	187	1010	3.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	94	1946-10-08		Yes	FER	USGS	15.36	11400				UNSP	0.40	2.00		UNSP	1	Unspecified	UNSP			11400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	95	1946-10-11		Yes	FER	USGS	10.28	4630				UNSP	0.24	2.50		UNSP	1	Unspecified	CRAN	QUNSP		4630	190	1330	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	96	1946-10-14		Yes	FER	USGS	5.30	1100				UNSP	-0.05	2.00		UNSP	1	Unspecified	CRAN	QUNSP		1100	146	403	2.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	110	1947-06-04		Yes	SUL/MAR	USGS	7.56	2310				UNSP	-0.01	1.00		UNSP	1	Unspecified	CRAN	QUNSP		2310	170	764	3.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	132	1948-06-30		Yes	FER	USGS	5.49	1110				UNSP	-0.06	1.00		UNSP	1	Unspecified	CRAN	QUNSP		1110	141	387	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	134	1948-07-16		Yes	FER	USGS	6.42	1680				UNSP	0.00	2.00		UNSP	1	Unspecified	CRAN	QUNSP		1680	168	535	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	152	1949-06-08		Yes	SUL/YOU	USGS	12.78	7180				UNSP	0.31	1.00		UNSP	1	Unspecified	CRAN	QUNSP		7180	218	1900	3.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	153	1949-06-13		Yes	FER	USGS	6.68	1750				UNSP	0.01	2.00		UNSP	1	Unspecified	CRAN	QUNSP		1750	170	601	2.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	161	1949-10-10		Yes	SUL/BER	USGS	13.79	7860				UNSP	-0.94	1.50		UNSP	1	Unspecified	CRAN	QUNSP		7860	284	2350	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	178	1950-07-27		Yes	HOL/BER	USGS	9.24	3410				UNSP	-0.28	1.00		UNSP	1	Unspecified	CRAN	QUNSP		3410	188	1120	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	179	1950-08-14		Yes	FER	USGS	15.72	11200				UNSP	0.40	3.00		UNSP	1	Unspecified	CRAN	QUNSP		11200	264	2760	4.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	180	1950-08-30		Yes	FER	USGS	9.79	4240				UNSP	-0.53	2.00		UNSP	1	Unspecified	CRAN	QUNSP		4240	188	1350	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	195	1951-05-22		Yes	BRO/MAR	USGS	22.96	37500				UNSP	-0.34	1.00		UNSP	1	Unspecified	UNSP			37500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06864050	197	1951-06-18		Yes	FER	USGS	5.30	1310				UNSP	-0.03	1.75		UNSP	1	Unspecified	UNSP			1310				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
