#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:17:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06865500 SMOKY HILL R NR LANGLEY, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06865500	720	1987-09-01 11:20:00	CDT	Yes	JM	USGS	5.29	230.0	32.0			FAIR	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		230.0	64.0	104	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	721	1987-10-14 14:20:00	CDT	Yes	JM	USGS	4.55	92.1	33.0			FAIR	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		92.1	66.0	75.6	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	722	1987-11-19 09:40:00	CST	Yes	JM	USGS	4.45	73.4	33.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		73.4	60.0	73.7	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	723	1988-01-12 12:30:00	CST	Yes	JM	USGS	4.65	110.0	33.0			FAIR	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		110.0	62.0	87.8	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	724	1988-02-18 10:10:00	CST	Yes	JM	USGS	4.60	98.5	33.0			GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		98.5	61.0	79.9	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	725	1988-03-30 08:35:00	CST	Yes	JM	USGS	4.51	81.1	33.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.1	61.0	78.8	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	726	1988-05-13 09:25:00	CDT	Yes	JM	USGS	4.48	77.7	33.0			FAIR	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		77.7	61.0	69.0	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	727	1988-06-22 07:55:00	CDT	Yes	JM	USGS	4.32	48.7	33.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		48.7	57.0	67.7	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	728	1988-08-02 08:20:00	CDT	Yes	JM	USGS	5.91	328.0	33.0			GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		328.0	71.0	183	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	729	1988-09-13 10:45:00	CDT	Yes	JM	USGS	4.36	52.4	33.0			GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		52.4	58.5	74.2	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	730	1988-11-02 11:05:00	CST	Yes	CAD/RJM	USGS	4.02	18.6	33.0			FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		18.6	51.0	21.8	0.850	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	731	1988-12-07 14:15:00	CST	Yes	CAD	USGS	3.89	11.7	33.0			GOOD	0.00	0.58	LGDB	MEAS	1	Unspecified	WADE	QUNSP		11.7	48.0	16.3	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	732	1989-01-18 09:15:00	CST	Yes	DDW	USGS	3.84	10.2	33.0			GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		10.2	31.5	10.6	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	733	1989-03-01 09:30:00	CST	Yes	CAD	USGS	3.80	8.13	33.0			POOR	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		8.13	19.5	5.22	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	734	1989-04-11 07:50:00	CDT	Yes	DDW	USGS	3.83	7.38	33.0			GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.38	19.0	7.07	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	735	1989-06-08 15:00:00	CDT	Yes	PJF/ESW	USGS	4.18	25.8	33.0			FAIR	0.04	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		25.8	30.0	14.0	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	736	1989-07-27 12:20:00	CDT	Yes	ESW	USGS	4.27	37.7	33.0			GOOD	0.00	0.67	LGDB	MEAS	1	Unspecified	WADE	QUNSP		37.7	38.0	28.5	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	737	1989-08-28 12:00:00	CDT	Yes	ESW	USGS	4.73	62.1	33.0			FAIR	0.00	0.50	MDDB	MEAS	1	Unspecified	WADE	QUNSP		62.1	32.0	39.0	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	738	1989-09-13 15:25:00	CDT	Yes	JEP	USGS	5.78	164.0	33.0			FAIR	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		164.0	87.5	209	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	739	1989-10-04 09:15:00	CDT	Yes	ESW/PJF	USGS	6.55	259.0	33.0			GOOD	0.00	1.25	MDDB	MEAS	1	Unspecified	WADE	QUNSP		259.0	90.0	285	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	740	1989-11-20 12:50:00	CST	Yes	ESW	USGS	4.22	35.2	33.0			GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		35.2	28.0	20.6	1.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	741	1990-01-03 11:35:00	CST	Yes	MPH	USGS	3.96	17.5	33.0			GOOD	0.00	0.92	CLER	MEAS	1	Unspecified	WADE	QUNSP		17.5	53.0	52.4	0.330	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	742	1990-03-08 09:15:00	CST	Yes	ESW	USGS	4.06	26.1	33.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		26.1	27.0	16.2	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	743	1990-04-19 12:10:00	CDT	Yes	SES/ESW	USGS	4.15	33.6	33.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.6	49.5	27.5	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	744	1990-05-31 12:30:00	CDT	Yes	ESW	USGS	4.93	121.0	33.0			GOOD	0.00	0.67	LGDB	MEAS	1	Unspecified	WADE	QUNSP		121.0	78.0	88.4	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	745	1990-07-12 09:20:00	CDT	Yes	ESW	USGS	4.70	64.7	33.0			GOOD	0.00	0.58	MDDB	MEAS	1	Unspecified	WADE	QUNSP		64.7	75.0	64.2	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	746	1990-07-25 12:20:00	CDT	Yes	ESW/MPH	USGS	4.69	70.5	33.0			GOOD	0.00	0.58	MDDB	MEAS	1	Unspecified	WADE	QUNSP		70.5	75.0	63.8	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06865500	747	1990-08-02 09:00:00	CDT	Yes	DDW/PJF	USGS	8.04	714.0	33.0			GOOD	-0.14	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		714.0	71.5	329	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
