#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:17:59 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06870200 SMOKY HILL R AT NEW CAMBRIA, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06870200	301	1987-09-03 16:05:00	CDT	Yes	JM	USGS	10.28	1030	27.0			GOOD	-0.02	1.25	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1030	106	617	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	302	1987-10-13 16:40:00	CDT	Yes	JM	USGS	6.58	235.0	27.0			GOOD	0.01	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		235.0	82.0	208	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	303	1987-11-17 14:55:00	CST	Yes	JM	USGS	6.45	216.0	27.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		216.0	81.0	204	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	304	1988-02-17 15:50:00	CST	Yes	JM	USGS	7.63	484.0	28.0			FAIR	0.00	1.20	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		484.0	104	353	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	305	1988-03-31 15:10:00	CST	Yes	JM	USGS	6.81	349.0	28.0			FAIR	0.02	1.20	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		349.0	101	277	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	306	1988-05-12 13:45:00	CDT	Yes	JM	USGS	6.06	185.0	28.0			FAIR	0.02	0.92	LGDB	MEAS	1	Unspecified	WADE	QUNSP		185.0	81.0	173	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	307	1988-06-21 13:40:00	CDT	Yes	JM	USGS	5.20	89.6	28.0			FAIR	0.01	0.58	LGDB	MEAS	1	Unspecified	WADE	QUNSP		89.6	69.0	104	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	308	1988-08-01 16:20:00	CDT	Yes	JM	USGS	5.07	80.6	28.0			GOOD	0.00	0.58	LGDB	MEAS	1	Unspecified	WADE	QUNSP		80.6	67.0	95.6	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06870200	309	1988-09-12 16:35:00	CDT	Yes	JM	USGS	5.17	96.8	28.0			GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		96.8	69.0	103	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
