#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13011000 SNAKE RIVER NR MORAN WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13011000	527	1973-10-03 09:30:00	MDT	Yes	LK	USGS	3.24	725				Good	0.00	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	725	192	458	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	578	1973-11-08 11:40:00	MST	Yes	LK	USGS	2.63	452				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	452	189	323	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	579	1973-12-11 09:30:00	MST	Yes	LK	USGS	2.63	442				Excellent	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	442	182	335	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	580	1974-01-17 14:45:00	MDT	Yes	LK	USGS	2.70	462				Excellent	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	462	186	332	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	581	1974-02-27 14:25:00	MDT	Yes	LK	USGS	2.74	478				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	478	190	325	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	582	1974-04-03 09:30:00	MDT	Yes	LK	USGS	4.66	1740				Excellent	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1740	203	700	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	583	1974-05-15 09:30:00	MDT	Yes	LK	USGS	7.86	5740				Excellent	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5740	226	1400	4.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	584	1974-06-07 12:20:00	MDT	Yes	LK	USGS	7.25	4810				Excellent	0.00	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4810	218	1260	3.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	585	1974-07-25 09:30:00	MDT	Yes	LK	USGS	6.05	3260				Excellent	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3260	211	1000	3.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	586	1974-08-29 12:00:00	MDT	Yes	LK	USGS	6.46	3830				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3830	216	1100	3.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	587	1974-10-10 10:45:00	MDT	Yes	LK	USGS	2.83	504				Excellent	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	504	196	363	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	588	1974-11-22 12:45:00	MST	Yes	DS	USGS	2.58	371				Excellent	0.00	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	371	173	324	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	589	1975-02-26 15:15:00	MDT	Yes	BP	USGS	2.63	400				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	400	189	309	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	590	1975-04-15 11:55:00	MDT	Yes	BP	USGS	2.67	413				Excellent	0.00	0.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	413	191	305	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13011000	591	1975-05-29 12:30:00	MDT	Yes	BP	USGS	4.93	2140				Excellent	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2140	202	765	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
