#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:31 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13081500 SNAKE R NR MINIDOKA ID (AT HOWELLS FERRY)
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13081500	914	1963-11-07		Yes	WOD	USGS	1.60	70.6				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	70.6	77.0	84.4	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	991	1966-11-10		Yes	WOD	USGS	2.30	291				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	291	100	148	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	992	1966-11-25		Yes	WOD	USGS	2.25	296				Unspecified	0.00	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	296	98.0	144	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	993	1966-12-23		Yes	WOD	USGS	2.61	350				Unspecified	-0.06	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	350	105	190	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	994	1967-01-24		Yes	WOD	USGS	2.22	279				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		279				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	995	1967-02-20		Yes	WOD	USGS	2.70	512				Unspecified	0.03	1.60		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	512	423	1620	0.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	996	1967-03-09		Yes	WOD	USGS	2.77	522				Unspecified	-0.02	1.50		MEAS	1	Imported Channel 1	UNSP	other		522				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	1014	1968-03-22		Yes	WOD	USGS	2.64	381				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		381				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	1164	1977-10-08 16:05:00	MDT	Yes	HB	USGS	3.55	1000				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1000	435	1820	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	1165	1977-11-05 11:50:00	MST	Yes	HB	USGS	2.64	489				Good	0.00	1.20		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	489	429	1480	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13081500	1166	1977-12-14 08:00:00	MST	Yes	RWE	USGS	1.51	87.6				Excellent	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.6	69.0	77.5	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
