#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:37 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13090500 SNAKE RIVER NR TWIN FALLS ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13090500	220	2009-06-02 10:55:00	MDT	Yes	RWE/PAS	USGS	2.60	819				Fair		0.80	Unspecifed	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	819	382	4310	0.19	FIRM	LDGE	UNEV	unkn	UNSP	UNSP	DNST	400.00
USGS	13090500	220	2009-06-02 10:55:00	MDT	Yes	RWE/PAS	USGS	2.60	819				Fair		0.80	Unspecifed	UNSP	2	Channel 2	UNSP	QADCP	VADCP	819	382	4310	0.19	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	DNST	400.00
USGS	13090500	221	2009-07-23 13:00:00	MDT	Yes	RWE/PAS	USGS	5.15	3950				Fair	0.12	0.70	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	3950	370	5090	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	DNST	300.00
USGS	13090500	222	2009-07-29 12:45:00	MDT	Yes	RER/PAS	USGS	3.81	2150				Fair	0.03	0.50	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	2150	361	4750	0.45	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	223	2009-08-04 11:13:00	MDT	Yes	PAS/RWE	USGS	2.79	1180				Fair	0.00	0.40	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	1180	369	4440	0.27	FIRM	BLDR	EVEN	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	224	2009-08-12 09:04:00	MDT	Yes	RWE/RER	USGS	2.23	704				Fair	0.00	0.80	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	704	374	4310	0.16	FIRM	BLDR	EVEN	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	225	2009-10-23 11:08:00	MDT	Yes	PAS/RER	USGS	3.46	1740				Fair	0.00	0.50	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	1740	362	4620	0.38	FIRM	BLDR	UNEV	unkn	UNEV	UNSP	DNST	300.00
USGS	13090500	226	2010-01-05 13:32:00	MST	Yes	PAS/RER	USGS	4.64	3040				Fair	0.00	0.30	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	3040	375	5130	0.60	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	227	2010-01-28 09:57:30	MST	Yes	pas/rer	USGS	4.41	2840				Fair	0.00	0.50	Clear	MEAS	1	snk twin	MBOT	QADCP	VADCP	2840	391	5130	0.55	FIRM	BLDR	EVEN	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	228	2010-03-31 12:57:30	MDT	Yes	pas	USGS	2.25	744				Fair	0.00	0.80	Clear	MEAS	1	snktwin	MBOT	QADCP	VADCP	744	340	4200	0.18	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	DNST	300.00
USGS	13090500	229	2010-04-28 13:30:00	MDT	Yes	PAS/RER	USGS	2.06	636				Fair	0.00	0.80	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	636	330	3960	0.16	FIRM	BLDR	UNEV	unkn	UNEV	UNSP	DNST	300.00
USGS	13090500	230	2010-07-12 13:52:00	MDT	Yes	PAs	USGS	3.71	2030				Fair	0.00	0.80	Clear	UNSP	1	Imported Channel 1	MBOT	QADCP	VADCP	2030	337	4560	0.44	FIRM	BLDR	UNEV	unkn	UNEV	UNSP	DNST	300.00
