#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:38 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13094000 SNAKE RIVER NR BUHL ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13094000	273	1981-09-22 08:45:00	MDT	Yes	GM	USGS	3.08	3.00				Unspecified	0.00	2.00	DebrisLight	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3.00	235	3980	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	274	1981-11-18 08:00:00	MST	Yes	GM	USGS	2.60	3040				Good	-0.01	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3040	241	3990	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	275	1982-01-13 10:40:00	MST	Yes	DJL	USGS	2.81	3.00				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3.00	250	4030	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	276	1982-03-02 11:15:00	MST	Yes	RLB	USGS	3.83	4.00				Fair	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4.00	250	4.00	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	277	1982-04-09 12:00:00	MST	Yes	RLB	USGS	8.32	14.0				Good	0.02	2.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	14.0	250	4.00	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	278	1982-06-23 10:45:00	MDT	Yes	RLB	USGS	2.16	2.00				Good	0.00	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2.00	240	3.00	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	279	1982-08-18 10:51:00	MDT	Yes	RLB	USGS	2.80	3.00				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3.00	240	4.00	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	280	1982-12-01 09:20:00	MST	Yes	RLB	USGS	7.69	13000				Good	-0.02	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13000	257	4.00	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	281	1983-02-01 13:30:00	MST	Yes	RLB	USGS	6.77	10000				Good	0.01	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10000	250	4.00	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	282	1983-03-22 11:30:00	MST	Yes	RLB	USGS	2.75	3110				Good	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3110	235	4.00	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	283	1983-05-12 10:30:00	MDT	Yes	RLB	USGS	11.22	22900				Good	0.06	1.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	22900	290	5820	3.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	284	1983-06-30 11:45:00	MDT	Yes	RLB	USGS	7.17	11800				Good	0.00	2.00	DebrisModerate	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	11800	250	4.00	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	285	1983-08-11 08:50:00	MDT	Yes	RLB	USGS	3.28	3920				Good	0.01	1.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3920	240	4.00	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	286	1983-10-03 10:37:00	MDT	Yes	MDC	USGS	4.39	5360				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5360	260	4340	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	287	1983-11-21 11:50:00	MST	Yes	MDC	USGS	8.44	14100				Good	-0.02	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	14100	260	5.00	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	288	1984-01-10 12:00:00	MST	Yes	MDC	USGS	9.05	16300				Good	0.01	1.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	16300	260	5130	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	289	1984-03-01 10:15:00	MST	Yes	RLB	USGS	4.44	5450				Good	0.00	1.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5450	245	4.00	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	290	1984-04-03 11:05:00	MST	Yes	MDC	USGS	8.16	13500				Good	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13500	250	4.00	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	291	1984-05-25 14:00:00	MDT	Yes	RLB	USGS	10.93	22100				Good	-0.01	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	22100	285	5.00	3.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	292	1984-07-17 09:12:00	MDT	Yes	RLB	USGS	2.90	3420				Good	0.00	1.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3420	240	4070	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	293	1984-08-28		Yes	RLB	USGS	3.77	4450				Good	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4450	245	4110	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	294	1984-12-04		Yes	RLB	USGS	7.47	12000				Good	-0.28	1.80	IceShore	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	12000	255	4830	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	295	1985-03-05		Yes	MDC	USGS	5.02	6200				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6200	245	4370	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13094000	296	1985-05-20		Yes	MDC	USGS	6.14	8900				Good	0.03	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	8900	251	4640	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
