#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:43 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13154500 SNAKE RIVER AT KING HILL ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13154500	1	1910-02-06		Yes	OWH/ADP	USGS	4.80	9970				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	9970	374	2910	3.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	2	1910-08-17		Yes	LC	USGS	4.72	4990				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4990	300	2200	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	3	1910-09-04		Yes	LC	USGS	4.72	5060				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5060	305	2230	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	4	1910-09-29		Yes	OWH	USGS	5.66	7180				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7180	315	2510	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	5	1910-10-12		Yes	LC	USGS	5.99	7890				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7890	320	2970	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	6	1910-11-10		Yes	LC	USGS	6.82	10100				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10100	380	2970	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	7	1911-02-15		Yes	GCB	USGS	6.76	9890				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	9890	375	2890	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	8	1911-03-12		Yes	LC	USGS	8.11	14500				Unspecified	0.06			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	14500	402	3420	4.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	9	1911-05-15		Yes	ABP	USGS	9.77	19500				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	19500	413	4110	4.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	10	1911-05-20		Yes	JCD	USGS	12.40	29800				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	29800	425	5180	5.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	11	1911-05-29		Yes	JCD	USGS	10.67	22600				Unspecified	0.02			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	22600	416	4480	5.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	12	1911-06-12		Yes	JCD	USGS	12.24	30000				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	30000	425	5120	5.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	13	1911-06-30		Yes	HLS	USGS	11.30	24900				Unspecified	-0.20			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	24900	418	4770	5.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	14	1911-07-08		Yes	HLS	USGS	8.50	15000				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	15000	399	3570	4.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	15	1911-08-19		Yes	LC	USGS	5.06	5610				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5610	313	2210	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	16	1911-09-23		Yes	GCB	USGS	5.44	6720				Unspecified	0.01			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6720	418	2430	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	17	1911-11-01		Yes	HLS	USGS	7.20	11700				Unspecified	0.00			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	11700	390	3100	3.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	18	1912-01-14		Yes	LC	USGS	7.86	13100				Unspecified	0.02			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13100	400	3200	4.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	19	1912-08-09		Yes	RCP	USGS	7.76	12900				Unspecified	-0.07			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	12900	398	3230	3.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	20	1913-04-03		Yes	RCP	USGS	8.01	13400				Unspecified	0.21	4.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13400	397	3330	4.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	21	1913-08-29		Yes	LWJ	USGS	5.58	6610				Unspecified	0.00	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6610	315	2400	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	22	1914-08-01		Yes	LWR	USGS	5.55	6560				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6560	319	2360	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	23	1914-08-26		Yes	CGP	USGS	5.49	6340				Unspecified	-0.02	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6340	315	2330	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	24	1915-04-18		Yes	GCB	USGS	6.75	9190				Unspecified	-0.15	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	9190	379	2780	3.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	25	1915-08-13		Yes	AWH	USGS	5.27	6250				Unspecified	0.00	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6250	310	2370	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	26	1915-10-07		Yes	GCB	USGS	6.98	10500				Unspecified	-0.05	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10500	383	2950	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	27	1915-11-03		Yes	GCB	USGS	7.72	12600				Unspecified	0.00	1.60		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	12600	398	3240	3.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	28	1916-07-07		Yes	LWR	USGS	8.73	16000				Unspecified	0.00	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	16000	408	3620	4.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	29	1916-08-22		Yes	GCB	USGS	5.66	6580				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6580	321	2410	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	30	1916-09-15		Yes	LWR	USGS	6.34	8420				Unspecified	0.12	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	8420	350	2650	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	31	1916-11-08		Yes	CGP	USGS	7.96	13700				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13700	395	3320	4.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	32	1917-03-03		Yes	TRN	USGS	7.56	13700				Unspecified	-0.02	4.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13700	392	3330	3.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	33	1917-09-21		Yes	GCB	USGS	5.98	7330				Unspecified	0.01	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7330	340	2540	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	34	1917-09-21		Yes	GCB	USGS	6.01	7570				Unspecified	0.04	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7570	340	2530	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	35	1918-05-15		Yes	GCB	USGS	7.94	13200				Unspecified	-0.12	1.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13200	396	3300	4.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	36	1918-12-09		Yes	TRN	USGS	8.40	15400				Unspecified	-0.02	2.20		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	15400	396	3580	4.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	37	1919-04-23		Yes	GCB	USGS	8.08	13000				Unspecified	-0.04	1.70		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	13000	396	3180	4.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	38	1919-04-24		Yes	GCB	USGS	7.98	12900				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	12900	395	3170	4.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	39	1919-05-31		Yes	AGH	USGS	5.82	7050				Unspecified	-0.02	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7050	316	2410	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	40	1919-07-24		Yes	AGF	USGS	5.61	6510				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6510	310	2220	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	41	1919-08-30		Yes	BAH	USGS	5.52	6230				Unspecified	0.05	2.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6230	310	2250	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	42	1919-10-27		Yes	BAH	USGS	6.80	9840				Unspecified	0.00	2.00		UNSP	1	Imported Channel 1	CWAY	unspe	unkno	9840	340	2700	3.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	43	1920-01-08		Yes	BAH	USGS	7.18	10600				Unspecified	0.01	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10600	370	2780	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	44	1920-02-04		Yes	BAH	USGS	7.47	11300				Unspecified	0.00	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	11300	370	2960	3.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	45	1920-02-17		Yes	BAH	USGS	7.10	10400				Unspecified	0.01	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10400	370	2850	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	46	1920-04-23		Yes	LLB	USGS	7.21	10800				Unspecified	0.00	2.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10800	376	2910	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13154500	47	1920-05-05		Yes	CGP/ADR	USGS	5.58	6460				Unspecified	0.03	2.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6460	315	2260	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
