#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:44 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13171100 SNAKE RIVER IRR DIST CANAL NR GRAND VIEW ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13171100	1	1985-07-15		Yes	RAS	USGS	4.19	176				Good	0.00	0.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	176	23.5	89.9	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	2	1985-08-19		Yes	RAS	USGS	4.18	186				Fair	0.00	0.70	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	186	23.5	92.6	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	3	1985-09-13		Yes	RAS	USGS	3.10	115				Good	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	115	23.5	65.6	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	4	1985-10-11		Yes	RAS	USGS	3.00	112				Fair	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	112	23.5	63.5	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	5	1986-03-26		Yes	RAS	USGS	1.74	57.0				Poor	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	57.0	20.0	36.8	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	6	1986-05-21		Yes	RAS	USGS	3.86	166				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	166	23.5	85.7	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	7	1986-06-11		Yes	RAS	USGS	4.07	181				Fair	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	181	23.5	87.0	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	8	1986-07-15		Yes	RAS	USGS	4.28	180				Fair	0.00	0.80	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	180	23.5	92.6	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	9	1986-08-25		Yes	RAS	USGS	4.26	176				Fair	0.00	0.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	176	23.5	93.9	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	10	1986-09-25 14:40:00	MDT	Yes	RAS	USGS	2.83	107				Fair	0.00	0.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	107	23.5	61.6	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	11	1986-10-17 13:10:00	MDT	Yes	RAS	USGS	2.22	65.8				Poor	0.00	0.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	65.8	20.5	45.2	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	11A	1986-11-17		Yes	RAS	USGS		0.00				Unspecified				UNSP																	
USGS	13171100	11B	1987-03-11		Yes	RAS	USGS		0.00				Unspecified				UNSP																	
USGS	13171100	12	1987-04-08 13:20:00	MDT	Yes	RAS	USGS	3.40	128				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	128	23.5	72.6	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	13	1987-05-07 15:10:00	MDT	Yes	RAS	USGS	4.20	177				Good	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	177	23.5	90.1	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	14	1987-06-18 08:45:00	MDT	Yes	DED	USGS	4.23	178				Good	0.02	1.30	DebrisLight	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	178	23.5	93.2	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	15	1987-07-08 11:45:00	MDT	Yes	AKL/JTB	USGS	4.18	170				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	170	23.5	91.6	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	16	1987-08-13 14:10:00	MDT	Yes	AKL/FWY	USGS	4.16	179				Good	0.02	2.00	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	179	23.5	92.4	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	17	1987-09-14 11:00:00	MDT	Yes	AKL	USGS	3.80	145				Fair	0.00	1.50	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	145	23.5	84.7	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	18	1987-10-05 11:20:00	MDT	Yes	AKL	USGS	3.31	126				Fair	0.00	1.20	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	126	23.0	69.7	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	19	1987-10-27 12:30:00	MST	Yes	AKL	USGS	2.39	78.0				Good	0.00	1.00	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	78.0	21.2	50.5	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	20	1988-04-12 13:36:00	MDT	Yes	AKL	USGS	3.53	158				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	158	23.0	77.2	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	21	1988-05-03 10:38:00	MDT	Yes	AKL	USGS	3.95	179				Good	0.01	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	179	23.0	87.0	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	22	1988-06-07 15:00:00	MDT	Yes	AKL	USGS	4.18	161				Good	0.01	1.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	161	23.0	89.8	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	23	1988-06-09 10:35:00	MDT	Yes	AKL	USGS	4.18	159				Good	0.00	1.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	159	23.0	91.6	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	24	1988-07-28 15:30:00	MDT	Yes	AKL	USGS	4.44	197				Good	0.00	1.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	197	23.0	94.3	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	25	1988-08-16 16:00:00	MDT	Yes	AKL	USGS	4.23	178				Good	-0.01	1.00	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	178	23.0	89.3	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	26	1988-09-14 14:50:00	MDT	Yes	AKL	USGS	3.83	152				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	152	24.0	83.5	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	27	1988-10-19 10:45:00	MDT	Yes	KDR	USGS	3.04	107				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	107	24.0	61.5	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	27A	1988-12-08		Yes	KDR	USGS	0.58	0.00				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		0.00				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	28	1989-04-26 11:18:00	MDT	Yes	AKL	USGS	4.20	193				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	23.0	88.7	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	29	1989-05-31 11:55:00	MDT	Yes	AKL	USGS	4.02	178				Good	0.01	1.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	178	24.0	87.5	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	30	1989-07-06 14:15:00	MDT	Yes	AKL	USGS	4.30	197				Unspecified	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	197	24.0	96.6	2.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	31	1989-08-10 13:10:00	MDT	Yes	AKL	USGS	4.32	194				Good	0.00	1.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	194	23.0	93.2	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13171100	32	1989-09-12 14:55:00	MDT	Yes	AKL	USGS	3.85	154				Good	0.02	1.00	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	154	23.0	79.4	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
