#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:18:50 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13269000 SNAKE RIVER AT WEISER ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13269000	1	1911-01-05		Yes	ABP/L C	USGS	6.25	12600				Unspecified	0.04			MEAS	1	Imported Channel 1	UNSP	other		12600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	2	1911-01-05		Yes	ABP/L C	USGS	6.25	12600				Unspecified	0.04			MEAS	1	Imported Channel 1	UNSP	other		12600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	3	1911-02-02		Yes	L C	USGS	12.10	55200				Unspecified	0.10			MEAS	1	Imported Channel 1	UNSP	other		55200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	4	1911-02-16		Yes	L C	USGS	6.75	15300				Unspecified	-0.05			MEAS	1	Imported Channel 1	UNSP	other		15300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	5	1911-03-14		Yes	L C	USGS	9.06	30100				Unspecified	0.07			MEAS	1	Imported Channel 1	UNSP	other		30100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	6	1911-04-22		Yes	ABP	USGS	7.50	19500				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		19500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	7	1911-05-31		Yes	JCD	USGS	10.55	40700				Unspecified	-0.06			MEAS	1	Imported Channel 1	UNSP	other		40700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	8	1911-06-06		Yes	JCD	USGS	11.92	51000				Unspecified	0.01			MEAS	1	Imported Channel 1	UNSP	other		51000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	9	1911-06-10		Yes	JCD	USGS	13.02	61400				Unspecified	-0.05			MEAS	1	Imported Channel 1	UNSP	other		61400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	10	1911-06-22		Yes	OWH	USGS	13.67	67600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		67600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	11	1911-07-10		Yes	OWH	USGS	8.54	24900				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		24900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	12	1911-07-21		Yes	OWH	USGS	5.86	10500				Unspecified	-0.01			MEAS	1	Imported Channel 1	UNSP	other		10500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	13	1911-07-27		Yes	OWH	USGS	5.29	8120				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8120				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	14	1911-09-10		Yes	L C	USGS	5.01	6380				Unspecified	-0.02			MEAS	1	Imported Channel 1	UNSP	other		6380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	15	1911-10-03		Yes	L C	USGS	5.55	8860				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	16	1911-12-10		Yes	L C	USGS	6.56	13900				Unspecified	0.01			MEAS	1	Imported Channel 1	UNSP	other		13900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	17	1912-02-13		Yes	HLS	USGS	7.85	21000				Unspecified	0.00			MEAS	1	Imported Channel 1	UNSP	other		21000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	18	1912-08-06		Yes	L C	USGS	5.69	9280				Unspecified	-0.01			MEAS	1	Imported Channel 1	UNSP	other		9280				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	19	1912-11-01		Yes	RCP	USGS	7.57	19100				Unspecified	0.02	4.00		MEAS	1	Imported Channel 1	UNSP	other		19100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	20	1913-01-17		Yes	HLS	USGS	6.45	11600				Unspecified	30.00	2.50		MEAS	1	Imported Channel 1	UNSP	other		11600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	21	1913-02-25		Yes	GCB	USGS	6.66	13800				Unspecified	0.00	2.00		MEAS	1	Imported Channel 1	UNSP	other		13800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	22	1913-03-20		Yes	LC	USGS	7.72	19400				Unspecified	-0.08	2.30		MEAS	1	Imported Channel 1	UNSP	other		19400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	23	1913-05-02		Yes	LWJ	USGS	9.51	32200				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		32200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	24	1913-08-06		Yes	GCB	USGS	6.26	12300				Unspecified	-0.06	2.00		MEAS	1	Imported Channel 1	UNSP	other		12300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	25	1913-10-17		Yes	CGP	USGS	7.16	17300				Unspecified	-0.02	3.00		MEAS	1	Imported Channel 1	UNSP	other		17300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	26	1913-12-11		Yes	LWJ	USGS	6.79	15300				Unspecified	0.02	2.00		MEAS	1	Imported Channel 1	UNSP	other		15300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	27	1914-02-19		Yes	LWR	USGS	6.96	15800				Unspecified	-0.05	3.30		MEAS	1	Imported Channel 1	UNSP	other		15800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	28	1914-04-07		Yes	AWH	USGS	10.18	38000				Unspecified	0.06	3.80		MEAS	1	Imported Channel 1	UNSP	other		38000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	29	1914-06-27		Yes	LWR	USGS	8.94	28300				Unspecified	0.00	4.80		MEAS	1	Imported Channel 1	UNSP	other		28300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	30	1914-08-19		Yes	LWR	USGS	4.93	6480				Unspecified	0.04	1.80		MEAS	1	Imported Channel 1	UNSP	other		6480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	31	1914-08-21		Yes	LWR	USGS	5.02	6810				Unspecified	0.03	1.30		MEAS	1	Imported Channel 1	UNSP	other		6810				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	32	1915-04-25		Yes	AWH	USGS	7.00	15600				Unspecified	-0.01	3.00		MEAS	1	Imported Channel 1	UNSP	other		15600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	33	1915-07-12		Yes	AWH	USGS	2.38	8640				Unspecified	0.04	2.70		MEAS	1	Imported Channel 1	UNSP	other		8640				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	34	1915-09-03		Yes	AWH	USGS	4.84	6170				Unspecified	0.01	1.70		MEAS	1	Imported Channel 1	UNSP	other		6170				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	35	1916-02-18		Yes	GCB	USGS	5.50	23600				Unspecified	-0.03	2.40		MEAS	1	Imported Channel 1	UNSP	other		23600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	36	1916-08-25		Yes	GCB	USGS	2.34	8110				Unspecified	0.03	2.00		MEAS	1	Imported Channel 1	UNSP	other		8110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13269000	37	1916-12-17		Yes	AWH	USGS	4.05	14600				Unspecified	0.02	2.30		MEAS	1	Imported Channel 1	UNSP	other		14600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
