#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:19:03 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05114000 SOURIS RIVER NR SHERWOOD, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05114000	1	1930-04-06		Yes	NELSON	USGS	8.83	709.0	****	0.00	-1.13	UNSP	-0.02	1.25		UNSP	1	Unspecified	UNSP			709.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	2	1930-04-23		Yes	BATCHELD	USGS	3.25	218.0	****	0.00	3.80	UNSP	-0.02	0.75		UNSP	1	Unspecified	UNSP			218.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	3	1930-05-25		Yes	NELSON	USGS	1.53	65.0	****	0.00	1.40	UNSP	0.00	1.25		UNSP	1	Unspecified	UNSP			65.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	4	1930-06-25		Yes	NELSON	USGS	0.72	19.9	****	0.00	-0.500	UNSP	0.01	0.66		UNSP	1	Unspecified	UNSP			19.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	5	1930-08-07		Yes	NELSON	USGS	0.42	5.22	****	0.00	-0.210	UNSP	0.00	0.41		UNSP	1	Unspecified	UNSP			5.22				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	6	1930-11-03		Yes	NELSON	USGS	0.75	1.34	****	0.00	-0.840	UNSP				UNSP	1	Unspecified	UNSP			1.34				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	7	1931-04-02		Yes	NELSON	USGS	0.77	3.56	****	0.00	-0.650	UNSP	0.00	0.16		UNSP	1	Unspecified	UNSP			3.56				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	8	1931-05-20		Yes	NELSON	USGS	0.50	6.50	****	0.00	-0.220	UNSP	0.00			UNSP	1	Unspecified	UNSP			6.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	9	1931-11-17		Yes	NELSON	USGS	-0.17	0.100	****	0.00	-0.110	UNSP				UNSP	1	Unspecified	UNSP			0.100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	10	1932-04-08		Yes	NELSON	USGS	2.57	93.8	****	0.00	-0.620	UNSP	0.01	0.83		UNSP	1	Unspecified	UNSP			93.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	11	1932-04-23		Yes	NELSON	USGS	0.96	29.5	****	0.00	-1.70	UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			29.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	12	1932-05-17		Yes	NELSON	USGS	0.45	10.8	****	0.00	0.00	UNSP	0.00	0.41		UNSP	1	Unspecified	UNSP			10.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	13	1932-08-17		Yes	NLSN,BUR	USGS	-0.27	0.000	****	0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	14	1932-11-21		Yes	OAKLAND	USGS	-0.21	0.500	****	0.00		UNSP				UNSP	1	Unspecified	UNSP			0.500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	15	1933-03-29		Yes	OAKLAND	USGS	9.73	762.0	****	0.00	-1.59	UNSP	0.10	0.75		UNSP	1	Unspecified	UNSP			762.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	16	1933-03-31		Yes	OAKLAND	USGS	13.10	1360	****	0.00	-35.0	UNSP	-0.04	1.00		UNSP	1	Unspecified	UNSP			1360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	17	1933-04-03		Yes	OAKLAND	USGS	6.44	566.0	****	0.00	1.40	UNSP	-0.08	0.75		UNSP	1	Unspecified	UNSP			566.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	18	1933-04-04		Yes	OAKLAND	USGS	5.72	470.0	****	0.00	-0.800	UNSP	-0.05	0.83		UNSP	1	Unspecified	UNSP			470.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	19	1933-04-06		Yes	OAKLAND	USGS	4.18	304.0	****	0.00	-0.300	UNSP	0.00	0.75		UNSP	1	Unspecified	UNSP			304.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	20	1933-04-15		Yes	OAKLAND	USGS	2.54	138.0	****	0.00	-3.50	UNSP	0.00	0.66		UNSP	1	Unspecified	UNSP			138.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	21	1933-05-06		Yes	OAKLAND	USGS	1.05	39.3	****	0.00	-1.80	UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			39.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	22	1933-06-09		Yes	NELSON	USGS	4.96	430.0	****	0.00	0.900	UNSP	-0.07	1.50		UNSP	1	Unspecified	UNSP			430.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	23	1933-07-01		Yes	OAKLAND	USGS	1.21	50.5		0.00	1.60	UNSP	0.00	0.66		UNSP	1	Unspecified	UNSP			50.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	24	1933-08-23		Yes	NELSON	USGS	-0.11	0.700		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	25	1933-11-22		Yes	NELSON	USGS	0.17	0.990		0.00	-0.250	UNSP	0.00	0.16		UNSP	1	Unspecified	UNSP			0.990				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	26	1934-03-20		Yes	OAKLAND	USGS	4.94	221.0		0.00	-1.88	UNSP	0.00	0.66		UNSP	1	Unspecified	UNSP			221.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	27	1934-04-26		Yes	NELSON	USGS	1.06	45.2		0.00	0.00	UNSP	0.00	0.58		UNSP	1	Unspecified	UNSP			45.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	28	1934-06-10		Yes	NELSON	USGS	0.08	5.41		0.00	0.00	UNSP	0.00	0.25		UNSP	1	Unspecified	UNSP			5.41				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05114000	29	1935-03-25		Yes	COLBY	USGS	1.55	17.4		0.00	-0.380	UNSP	0.00	0.33		UNSP	1	Unspecified	UNSP			17.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
