#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:19:13 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05122000 SOURIS RIVER NR BANTRY, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05122000	1	1937-04-06		Yes	COLBY	USGS		3.00	****	0.00		UNSP				UNSP	1	Unspecified	UNSP			3.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	2	1937-04-08		Yes	COLBY	USGS		10.0	****	0.00		UNSP				UNSP	1	Unspecified	UNSP			10.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	3	1937-04-10		Yes	COLBY	USGS	1.51	14.4	****	0.00	-0.520	UNSP	0.01	0.41		UNSP	1	Unspecified	UNSP			14.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	4	1937-04-13		Yes	COLBY	USGS	1.50	25.6	****	0.00	-0.210	UNSP	-0.03	0.50		UNSP	1	Unspecified	UNSP			25.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	5	1937-04-16		Yes	COLBY	USGS	1.32	23.5	****	0.00	-0.080	UNSP	0.00	0.41		UNSP	1	Unspecified	UNSP			23.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	6	1937-04-18		Yes	COLBY	USGS	0.96	12.3	****	0.00	-0.040	UNSP	0.00	0.41		UNSP	1	Unspecified	UNSP			12.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	7	1937-04-20		Yes	COLBY	USGS	0.98	14.1	****	0.00	-0.700	UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			14.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	8	1937-05-03		Yes	COLBY	USGS	0.62	4.57	****	0.00	0.200	UNSP	0.00	0.33		UNSP	1	Unspecified	UNSP			4.57				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05122000	9	1937-05-15		Yes	COLBY	USGS	0.50	2.01	****	0.00	0.500	UNSP	0.00	0.25		UNSP	1	Unspecified	UNSP			2.01				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
