#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:19:30 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06711565 SOUTH PLATTE RIVER AT ENGLEWOOD, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06711565	14	1983-04-27		Yes	HEH/RR	USGS	4.39	2480		0.00		UNSP				UNSP	1	Unspecified	UNSP			2480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	15	1983-05-04		Yes	HEH/JB	USGS	4.26	2460		0.00		UNSP				UNSP	1	Unspecified	UNSP			2460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	16	1983-05-12		Yes	HEH/EJC	USGS	4.44	2770		0.00		UNSP				UNSP	1	Unspecified	UNSP			2770				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	28	1984-05-16		Yes	HEH/DD	USGS	4.97	3910		0.00		UNSP				UNSP	1	Unspecified	UNSP			3910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	33	1984-09-24		Yes	HH	USGS	1.98	189.0	 1.0	0.020		GOOD	-0.01	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		189.0	129	150	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	34	1984-10-29		Yes	HEH/GBO	USGS	3.08	958.0	 2.0	0.020	1.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		958.0	162	361	2.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	35	1984-11-21		Yes	HEH/G B	USGS	2.83	709.0	 2.0	0.020	-3.00	UNSP	0.00	0.83	CLER	MEAS	1	Unspecified	CRAN	QUNSP		709.0	160	288	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	36	1984-12-19		Yes	HEH	USGS	1.87	119.0	 2.0	-0.030	-4.00	GOOD	-0.06	0.07	CLER	MEAS	1	Unspecified	WADE	QUNSP		119.0	127	131	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06711565	37	1985-01-14		Yes	HEH	USGS	2.34	419.0	 2.0	0.050	5.00	UNSP	0.01	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		419.0	130	194	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
