#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:19:39 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06754000 SOUTH PLATTE RIVER NEAR KERSEY, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06754000	185	1984-08-14		Yes	RMN	USGS	3.36	75.7	 2.0	0.00		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		75.7	50.0	57.8	1.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	186	1993-04-07 14:10:00	MDT	Yes	DES/RAK	USGS	4.36	1035		0.00		POOR	0.02	2.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		1035	198	389	2.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	187	1993-05-05 09:55:00	MDT	Yes	DES/RAK	USGS	3.19	235.0		0.00		FAIR	-0.01	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		235.0	174	132	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	691	1995-10-06		Yes	GES	USGS	4.47	1140	21.0	0.100		UNSP	0.02	1.75		MEAS	1	Unspecified	UNSP			1140				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	692	1995-10-10		Yes	USG	USGS	4.28	1040	21.0	0.190		UNSP	0.01	1.08		MEAS	1	Unspecified	UNSP			1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	693	1995-10-30		Yes	GES	USGS	4.41	1000	21.0	0.020		UNSP	0.00	1.58		MEAS	1	Unspecified	UNSP			1000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	694	1995-11-07		Yes	USG	USGS	4.00	692.0	21.0	0.080		UNSP	0.00	1.00		MEAS	1	Unspecified	UNSP			692.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	695	1995-11-28		Yes	GES	USGS	3.98	719.0	21.0	0.130		UNSP	0.00	1.00		MEAS	1	Unspecified	UNSP			719.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	696	1995-12-14		Yes	USG	USGS	4.22	860.0	21.0	0.060		UNSP	-0.01	1.33		MEAS	1	Unspecified	UNSP			860.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06754000	697	1996-01-05		Yes	GES	USGS	4.14	802.0	21.0	0.070		UNSP	0.01	1.66		MEAS	1	Unspecified	UNSP			802.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
