#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:19:49 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06765000 SOUTH PLATTE RIVER AT PAXTON, NEBR.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06765000	1	1939-08-10		Yes	AWH	USGS	1.05	16.3				UNSP	0.03		UNSP	UNSP	1		UNSP	QSCMM		16.3	14.0	10.6		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	2	1939-08-18		Yes	FH	USGS	0.84	4.40				UNSP	0.01		UNSP	UNSP	1		UNSP	QSCMM		4.40	12.0	3.80		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	3	1939-08-31		Yes	FH	USGS	0.77	3.00				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		3.00	10.0	2.30		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	4	1939-09-15		Yes	FH	USGS	0.69	1.10				UNSP	0.02		UNSP	UNSP	1		UNSP	QSCMM		1.10	8.00	2.00		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	5	1939-09-28		Yes	AWH	USGS	0.78	3.40				UNSP	0.01		UNSP	UNSP	1		UNSP	QSCMM		3.40	11.0	3.50		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	6	1939-10-12		Yes	FH	USGS	1.09	14.2				UNSP	0.04		UNSP	UNSP	1		UNSP	QSCMM		14.2	23.0	10.4		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	7	1939-10-22		Yes	FH	USGS	1.11	17.6				UNSP	0.02		UNSP	UNSP	1		UNSP	QSCMM		17.6	22.0	12.2		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	8	1939-11-05		Yes	FH	USGS	1.15	23.8				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		23.8	24.0	14.2		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06765000	9	1939-11-29		Yes	FH	USGS	1.21	29.8				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		29.8	28.0	18.8		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
