#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:20:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12422000 SPOKANE RIVER BELOW GREEN ST AT SPOKANE, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12422000	1M	1952-10-09		Yes	ADM	USGS		2110				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	2M	1973-08-16		Yes	ADM	USGS		653				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		653				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	40	1999-04-16 09:00:00	PDT	Yes	RRS	USGS	10.53	10200				Fair			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10200	175	2040	5.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	41	1999-06-02 16:19:00	PDT	Yes	RRS/GJP	USGS	15.84	23500				Poor	0.00	0.20	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	23500			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	42	1999-08-03 11:20:00	PDT	Yes	GJP/RRS	USGS	6.05	1950				Poor	0.00	0.20	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1950			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	43	2002-02-01 12:43:00	PST	Yes	SCC	USGS	9.18	8670				Good			Clear	MEAS	1	Imported Channel 1	UNSP	other		8670				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	44	2002-03-01 11:55:00	PST	Yes	SCC	USGS	9.88	10100				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		10100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	45	2002-04-19 07:57:00	PDT	Yes	SCC	USGS	18.32	26600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		26600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	46	2002-05-31 07:42:00	PDT	Yes	SCC	USGS	17.90	25600				Good			Clear	MEAS	1	Imported Channel 1	UNSP	other		25600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422000	47	2004-09-14		Yes	ADM	USGS		1060				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
