#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:20:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12422500 SPOKANE RIVER AT SPOKANE, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12422500	119	1941-02-14 11:20:00	PST	Yes	CRM	USGS	19.68	4770				Unspecified	-0.15	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	4770	237	1840	2.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	120	1941-04-16 09:45:00	PST	Yes	CRM	USGS	19.01	3470				Unspecified	-0.03	1.40		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	3470	232	1670	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	123	1942-02-06 10:00:00	PST	Yes	WEJ/CRM	USGS	19.91	5250				Unspecified	0.01	1.60		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	5250	241	1910	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	125	1942-05-07 13:55:00	PDT	Yes	WEJ/CKM	USGS	19.65	4490				Unspecified	0.13	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	4490	244	1810	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	127	1942-06-05 09:45:00	PDT	Yes	CKM/WEJ	USGS	19.77	5070				Unspecified	-0.02	1.60		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	5070	240	1860	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	129	1942-09-03 10:00:00	PDT	Yes	CRM/WEJ	USGS	17.31	1030				Unspecified	-0.08	1.30		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	1030	225	1270	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	132	1943-05-17 10:25:00	PDT	Yes	CRM	USGS	23.59	17200				Unspecified	0.40	1.90		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	17200	265	2790	6.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	133	1943-11-10 10:00:00	PDT	Yes	WEJ	USGS	18.20	2060				Unspecified	0.12	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	2060	230	1490	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	135	1944-01-06 14:15:00	PDT	Yes	CRM	USGS	19.09	3510				Unspecified	-0.33	1.60		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	3510	232	1680	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	137	1944-05-01 09:50:00	PDT	Yes	CRM	USGS	21.44	9160				Unspecified	-0.01	1.40		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	9160	247	2240	4.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	139	1944-09-05 10:05:00	PDT	Yes	CRM	USGS	17.74	1480				Unspecified	0.09	1.40		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	1480	226	1390	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	141	1945-05-11 12:10:00	PDT	Yes	WEJ/CRM	USGS	24.98	22500				Unspecified	-0.06	1.60		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	22500	275	3160	7.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	142	1945-06-07 09:55:00	PDT	Yes	CRM/WEJ	USGS	22.44	12200				Unspecified	0.04	1.50		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	12200	260	2520	4.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	143	1945-08-28 10:20:00	PDT	Yes	CRM	USGS	17.24	979				Unspecified	0.01	1.50		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	979	216	1260	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	144	1945-08-29 14:30:00	PDT	Yes	WJH	USGS	17.21	928				Fair	0.00	1.50		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	928	218	1270	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	145	1945-12-04 14:00:00	PST	Yes	WC/WJ	USGS	19.89	5590				Excellent	0.80	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	5590	235	1850	3.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	146	1946-02-14 11:10:00	PST	Yes	WJH	USGS	19.48	4420				Good	-0.02	1.30		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	4420	230	1790	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	147	1946-05-10 11:30:00	PST	Yes	WHR/WEJ	USGS	26.12	27800				Good	0.09	1.90		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	27800	284	3520	7.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	148	1946-08-26 09:55:00	PST	Yes	WEJ	USGS	17.11	858				Unspecified	0.15	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	858	222	1260	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	154	1947-07-07 09:20:00	PST	Yes	WEJ	USGS	18.24	2100				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	2100	230	1470	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	156	1947-08-07 09:45:00	PST	Yes	WEJ	USGS	17.57	1290				Unspecified	0.00	1.60		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	1290	225	1340	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	164	1948-05-28		Yes	SWD	USGS	28.09	39800				Good				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	39800	290	4020	9.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	166	1948-06-08 14:00:00	PDT	Yes	WEJ	USGS	26.65	29400				Unspecified	-0.04	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	29400	282	3620	8.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	180	1949-06-13 09:12:00	PST	Yes	WEJ/WHC	USGS	22.25	11700				Unspecified	0.52	2.30		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	11700	262	2460	4.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	181	1949-06-21 09:15:00	PST	Yes	WHC	USGS	18.47	2440				Unspecified	0.03	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	2440	230	1520	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	183	1949-08-18 09:55:00	PST	Yes	WEJ	USGS	17.57	1210				Unspecified	0.09	1.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	1210	224	1350	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	184	1949-09-02 05:55:00	PST	Yes	WEJ/WHC	USGS	16.71	470				Unspecified	0.06	1.00		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	470	180	371	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	194	1950-08-04 12:35:00	PDT	Yes	WEJ	USGS	18.48	2450				Unspecified	-0.01	1.20		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	2450	233	1550	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	196	1950-09-28 10:30:00	PST	Yes	REB	USGS	18.14	1990				Good	-0.01	1.10		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	1990	223	1420	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	197	1950-11-09 14:15:00	PST	Yes	REH	USGS	19.31	4020				Good	0.23	1.40		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	4020	235	1720	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	198	1950-12-10 08:10:00	PST	Yes	REB	USGS	20.32	6180				Good	0.01	1.10		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	6180	232	1930	3.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12422500	199	1951-02-02 09:50:00	PST	Yes	REH	USGS	19.75	4710				Good	0.00	1.40		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	4710	240	1860	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
